City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,1 Bed,3 Beds,2 Beds,Studio,1 – 2 Beds,3 – 4 Beds,4 Beds,1 – 4 Beds
San Diego,Condos,CA,92108,"[{'bedroom_type': '1 Bed', 'price': '$1,75'}]","6780 Friars Rd, San Diego, CA 92108",https://www.apartments.com/6780-friars-rd-san-diego-ca-unit-233/cqppzqd/,1 BA,640 Sq Ft,640,12 Month Lease,Available Now,"$1,75",,,,,,,
Los Angeles,Condos,CA,90291,"[{'bedroom_type': '3 Beds', 'price': '$4,85'}]","Los Angeles, CA 90291",https://www.apartments.com/27-s-venice-blvd-los-angeles-ca/jw78f06/,3 BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,"$4,85",,,,,,
San Jose,Condos,CA,95127,"[{'bedroom_type': '2 Beds', 'price': '$2,45'}]","247 N Capitol Ave, San Jose, CA 95127",https://www.apartments.com/247-n-capitol-ave-san-jose-ca-unit-263/jgw99n7/,1 BA,828 Sq Ft,828,12 Month Lease,Available Now,,,"$2,45",,,,,
Los Angeles,Condos,CA,90068,"[{'bedroom_type': 'Studio', 'price': '$1,49'}]","Los Angeles, CA 90068",https://www.apartments.com/3767-fredonia-dr-los-angeles-ca/cmtmkje/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,,,,"$1,49",,,,
Huntington Beach,Condos,CA,92649,"[{'bedroom_type': 'Studio', 'price': '$1,70'}]","Huntington Beach, CA 92649",https://www.apartments.com/17088-st-andrews-ln-huntington-beach-ca/lny8pxg/,1 BA,500 Sq Ft,500,12 Month Lease,Available Now,,,,"$1,70",,,,
San Diego,Condos,CA,92108,"[{'bedroom_type': '2 Beds', 'price': '$2,49'}]","2218 River Run Dr, San Diego, CA 92108",https://www.apartments.com/2218-river-run-dr-san-diego-ca-unit-100/fb57wrr/,2 BAs,942 Sq Ft,942,12 Month Lease,Available Now,,,"$2,49",,,,,
Morgan Hill,Condos,CA,95037,"[{'bedroom_type': '3 Beds', 'price': '$2,79'}]","Morgan Hill, CA 95037",https://www.apartments.com/16885-barnell-ave-morgan-hill-ca/j7m5dd5/,1½ BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,,"$2,79",,,,,,
Oakland,Condos,CA,94611,"[{'bedroom_type': '1 Bed', 'price': '$2,45'}]","51 Echo Ave, Oakland, CA 94611",https://www.apartments.com/51-echo-ave-oakland-ca-unit-51a/xgj0m9q/,1 BA,550 Sq Ft,550,12 Month Lease,Available Now,"$2,45",,,,,,,
Sacramento,Condos,CA,95838,"[{'bedroom_type': '2 Beds', 'price': '$1,34'}]","Sacramento, CA 95838",https://www.apartments.com/431-morrison-ave-sacramento-ca/4jdevdh/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,,,"$1,34",,,,,
Red Bluff,Condos,CA,96080,"[{'bedroom_type': '2 Beds', 'price': '$77'}]","Red Bluff, CA 96080",https://www.apartments.com/500-rio-st-red-bluff-ca/fdyncqs/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,,,$77,,,,,
