City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,1 Bed,1 – 2 Beds,Studio,3 Beds,4 Beds
Gardena,Condos,CA,90247,"[{'bedroom_type': '2 Beds', 'price': '$1,99'}]","Gardena, CA 90247",https://www.apartments.com/13320-s-vermont-ave-gardena-ca/9pzs6x5/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,"$1,99",,,,,
Pacifica,Condos,CA,94044,"[{'bedroom_type': '1 Bed', 'price': '$2,60'}]","Pacifica, CA 94044",https://www.apartments.com/1079-rio-vista-dr-pacifica-ca/m8zk5pl/,1 BA,650 Sq Ft,650,3 Month Lease,Jan 25,,"$2,60",,,,
Campbell,Condos,CA,95008,"[{'bedroom_type': '1 – 2 Beds', 'price': '$2,375'}]","Campbell, CA 95008",https://www.apartments.com/45-n-3rd-st-campbell-ca/3tyl31e/,1 BA,810 Sq Ft,810,12 Month Lease,Available Now,,,"$2,375",,,
Aliso Viejo,Condos,CA,92656,"[{'bedroom_type': '2 Beds', 'price': '$2,17'}]","22681 Oakgrove, Aliso Viejo, CA 92656",https://www.apartments.com/22681-oakgrove-aliso-viejo-ca-unit-413/km5c6m9/,2 BAs,"1,156 Sq Ft","1,156",12 Month Lease,Available Now,"$2,17",,,,,
Sherman Oaks,Condos,CA,91403,"[{'bedroom_type': '2 Beds', 'price': '$2,65'}]","4430 Noble Ave, Sherman Oaks, CA 91403",https://www.apartments.com/4430-noble-ave-sherman-oaks-ca-unit-104/bgydww9/,2 BAs,"1,340 Sq Ft","1,340",12 Month Lease,Available Now,"$2,65",,,,,
Redondo Beach,Condos,CA,90277,"[{'bedroom_type': '2 Beds', 'price': '$3,09'}]","Redondo Beach, CA 90277",https://www.apartments.com/718-elvira-ave-redondo-beach-ca/l4hg05e/,2 BAs,"1,250 Sq Ft","1,250",12 Month Lease,Available Now,"$3,09",,,,,
San Francisco,Condos,CA,94121,"[{'bedroom_type': '1 Bed', 'price': '$1,30'}]","San Francisco, CA 94121",https://www.apartments.com/770-great-hwy-san-francisco-ca/weq81th/,1 BA,144 Sq Ft,144,12 Month Lease,Available Now,,"$1,30",,,,
Laguna Hills,Condos,CA,92653,"[{'bedroom_type': '2 Beds', 'price': '$2,35'}]","25601 Indian Hill Ln, Laguna Hills, CA 92653",https://www.apartments.com/25601-indian-hill-ln-laguna-hills-ca-unit-h/v97jxse/,2 BAs,"1,089 Sq Ft","1,089",12 Month Lease,Available Now,"$2,35",,,,,
Santa Clarita,Condos,CA,91350,"[{'bedroom_type': '2 Beds', 'price': '$2,25'}]","27668 Haskell Canyon Rd, Santa Clarita, CA 91350",https://www.apartments.com/27668-haskell-canyon-rd-santa-clarita-ca-unit-l/7mlfdnz/,1 BA,870 Sq Ft,870,12 Month Lease,Jan 5,"$2,25",,,,,
La Mirada,Condos,CA,90638,"[{'bedroom_type': 'Studio', 'price': '$1,50'}]","La Mirada, CA 90638",https://www.apartments.com/14102-foster-rd-la-mirada-ca/nbtlygp/,1 BA,450 Sq Ft,450,12 Month Lease,Available Now,,,,"$1,50",,
Newport Beach,Condos,CA,92661,"[{'bedroom_type': '2 Beds', 'price': '$2,50'}]","Newport Beach, CA 92661",https://www.apartments.com/1401-w-balboa-blvd-newport-beach-ca/pkcnsev/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,"$2,50",,,,,
Cathedral City,Condos,CA,92234,"[{'bedroom_type': '3 Beds', 'price': '$2,00'}]","Cathedral City, CA 92234",https://www.apartments.com/32415-pueblo-trl-cathedral-city-ca/wm7w1gl/,2 BAs,"1,300 Sq Ft","1,300",12 Month Lease,Jan 8,,,,,"$2,00",
San Francisco,Condos,CA,94121,"[{'bedroom_type': '3 Beds', 'price': '$3,60'}]","San Francisco, CA 94121",https://www.apartments.com/888-44th-ave-san-francisco-ca/gx58gsx/,1 BA,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,,,,"$3,60",
Los Angeles,Condos,CA,90094,"[{'bedroom_type': '3 Beds', 'price': '$4,75'}]","12920 W Runway Rd, Los Angeles, CA 90094",https://www.apartments.com/12920-w-runway-rd-los-angeles-ca-unit-210/c1cv4bf/,2 BAs,"1,550 Sq Ft","1,550",12 Month Lease,Feb 1,,,,,"$4,75",
