City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,3 Beds,2 Beds,5 Beds,4 Beds,1 Bed,Studio,1 – 2 Beds,6 Beds
Albany,Houses,CA,94706,"[{'bedroom_type': '3 Beds', 'price': '$3,67'}]","Albany, CA 94706",https://www.apartments.com/1308-marin-ave-albany-ca/h24rgb0/,1 BA,"1,270 Sq Ft","1,270",6 Month Lease,Available Now,"$3,67",,,,,,,
Culver City,Houses,CA,90232,"[{'bedroom_type': '3 Beds', 'price': '$3,50'}]","3647 Helms Ave, Culver City, CA 90232",https://www.apartments.com/3647-helms-ave-culver-city-ca/20z8y2c/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$3,50",,,,,,,
Pinole,Houses,CA,94564,"[{'bedroom_type': '2 Beds', 'price': '$1,60'}]","Pinole, CA 94564",https://www.apartments.com/2080-costa-ct-pinole-ca/241d3nc/,1 BA,500 Sq Ft,500,6 Month Lease,Available Now,,"$1,60",,,,,,
Monrovia,Houses,CA,91016,"[{'bedroom_type': '3 Beds', 'price': '$2,90'}]","Monrovia, CA 91016",https://www.apartments.com/415-montana-st-monrovia-ca/2krkkw8/,1 BA,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,"$2,90",,,,,,,
Los Angeles,Houses,CA,90062,"[{'bedroom_type': '2 Beds', 'price': '$2,00'}]","Los Angeles, CA 90062",https://www.apartments.com/1422-w-48th-st-los-angeles-ca/116yrk5/,1 BA,"1,420 Sq Ft","1,420",12 Month Lease,Available Now,,"$2,00",,,,,,
Carson,Houses,CA,90745,"[{'bedroom_type': '5 Beds', 'price': '$4,00'}]","Carson, CA 90745",https://www.apartments.com/711-colorado-cir-carson-ca/jlttqh7/,3 BAs,"2,100 Sq Ft","2,100",12 Month Lease,Available Now,,,"$4,00",,,,,
Manhattan Beach,Houses,CA,90266,"[{'bedroom_type': '4 Beds', 'price': '$12,95'}]","Manhattan Beach, CA 90266",https://www.apartments.com/465-32nd-st-manhattan-beach-ca/q995try/,4 BAs,"4,200 Sq Ft","4,200",12 Month Lease,Available Now,,,,"$12,95",,,,
Venice,Houses,CA,90291,"[{'bedroom_type': '4 Beds', 'price': '$10,50'}]","Venice, CA 90291",https://www.apartments.com/38-19th-ave-venice-ca/pstmvgv/,3 BAs,"1,972 Sq Ft","1,972",12 Month Lease,Apr 1,,,,"$10,50",,,,
Venice,Houses,CA,90291,"[{'bedroom_type': '3 Beds', 'price': '$5,10'}]","Venice, CA 90291",https://www.apartments.com/548-westminster-ave-venice-ca/vpf95we/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,"$5,10",,,,,,,
Los Angeles,Houses,CA,90016,"[{'bedroom_type': '3 Beds', 'price': '$3,90'}]","Los Angeles, CA 90016",https://www.apartments.com/2941-s-harcourt-ave-los-angeles-ca/dndn1sj/,2 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,"$3,90",,,,,,,
Los Angeles,Houses,CA,90291,"[{'bedroom_type': '1 Bed', 'price': '$3,10'}]","Los Angeles, CA 90291",https://www.apartments.com/36-19th-pl-los-angeles-ca/qrj0stx/,1 BA,730 Sq Ft,730,12 Month Lease,Available Now,,,,,"$3,10",,,
Los Angeles,Houses,CA,90062,"[{'bedroom_type': '2 Beds', 'price': '$2,40'}]","4422 S Van Ness Ave, Los Angeles, CA 90062",https://www.apartments.com/4422-s-van-ness-ave-los-angeles-ca/ekkcmdm/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,,"$2,40",,,,,,
Los Angeles,Houses,CA,91606,"[{'bedroom_type': '3 Beds', 'price': '$4,25'}]","6713 St Clair Ave, Los Angeles, CA 91606",https://www.apartments.com/6713-st-clair-ave-los-angeles-ca/431vp8h/,3 BAs,"1,520 Sq Ft","1,520",,Feb 15,"$4,25",,,,,,,
Oakland,Houses,CA,94605,"[{'bedroom_type': '2 Beds', 'price': '$2,40'}]","Oakland, CA 94605",https://www.apartments.com/3341-72nd-ave-oakland-ca/s8nd3y4/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,"$2,40",,,,,,
Hermosa Beach,Houses,CA,90254,"[{'bedroom_type': '1 Bed', 'price': '$1,50'}]","2321 Hermosa Ave, Hermosa Beach, CA 90254",https://www.apartments.com/2321-hermosa-ave-hermosa-beach-ca/yjn5vfr/,1 BA,400 Sq Ft,400,12 Month Lease,Jan 30,,,,,"$1,50",,,
Los Angeles,Houses,CA,90065,"[{'bedroom_type': 'Studio', 'price': '$1,32'}]","Los Angeles, CA 90065",https://www.apartments.com/3443-n-figueroa-st-los-angeles-ca/kx1ltgc/,1 BA,312 Sq Ft,312,12 Month Lease,Available Now,,,,,,"$1,32",,
Costa Mesa,Houses,CA,92627,"[{'bedroom_type': '3 Beds', 'price': '$4,00'}]","Costa Mesa, CA 92627",https://www.apartments.com/225-16th-pl-costa-mesa-ca/vymjz8d/,2½ BAs,"1,756 Sq Ft","1,756",24 Month Lease,Jan 15,"$4,00",,,,,,,
Castro Valley,Houses,CA,94546,"[{'bedroom_type': '4 Beds', 'price': '$4,20'}]","Castro Valley, CA 94546",https://www.apartments.com/2700-somerset-ave-castro-valley-ca/prs5ckr/,2½ BAs,"1,712 Sq Ft","1,712",12 Month Lease,Available Now,,,,"$4,20",,,,
La Habra,Houses,CA,90631,"[{'bedroom_type': '1 – 2 Beds', 'price': '$1,900'}]","La Habra, CA 90631",https://www.apartments.com/704-5th-ave-la-habra-ca/b3h24z9/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,,,,,,"$1,900",
Manhattan Beach,Houses,CA,90266,"[{'bedroom_type': '6 Beds', 'price': '$19,50'}]","Manhattan Beach, CA 90266",https://www.apartments.com/500-11th-st-manhattan-beach-ca/ljlenmf/,4½ BAs,"6,110 Sq Ft","6,110",12 Month Lease,Mar 1,,,,,,,,"$19,50"
Oakland,Houses,CA,94610,"[{'bedroom_type': '4 Beds', 'price': '$5,40'}]","Oakland, CA 94610",https://www.apartments.com/838-mandana-blvd-oakland-ca/c11n16f/,2½ BAs,"1,900 Sq Ft","1,900",6 Month Lease,Available Now,,,,"$5,40",,,,
San Jose,Houses,CA,95128,"[{'bedroom_type': '3 Beds', 'price': '$4,12'}]","San Jose, CA 95128",https://www.apartments.com/615-s-baywood-ave-san-jose-ca/pfdj71s/,2 BAs,"1,569 Sq Ft","1,569",12 Month Lease,Available Now,"$4,12",,,,,,,
Van Nuys,Houses,CA,91406,"[{'bedroom_type': '3 Beds', 'price': '$3,30'}]","Van Nuys, CA 91406",https://www.apartments.com/15336-archwood-st-van-nuys-ca/ml1encl/,2 BAs,"1,080 Sq Ft","1,080",12 Month Lease,Available Now,"$3,30",,,,,,,
Redwood City,Houses,CA,94062,"[{'bedroom_type': '3 Beds', 'price': '$4,95'}]","Redwood City, CA 94062",https://www.apartments.com/2422-harding-ave-redwood-city-ca/xrt6z9n/,2 BAs,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,"$4,95",,,,,,,
Redondo Beach,Houses,CA,90278,"[{'bedroom_type': '3 Beds', 'price': '$3,50'}]","Redondo Beach, CA 90278",https://www.apartments.com/1711-speyer-ln-redondo-beach-ca/8dgbe82/,2 BAs,"1,086 Sq Ft","1,086",12 Month Lease,Jan 15,"$3,50",,,,,,,
Los Angeles,Houses,CA,90046,"[{'bedroom_type': '3 Beds', 'price': '$8,90'}]","Los Angeles, CA 90046",https://www.apartments.com/2775-carmar-dr-los-angeles-ca/hzr17v0/,3 BAs,"2,450 Sq Ft","2,450",12 Month Lease,Available Now,"$8,90",,,,,,,
Studio City,Houses,CA,91604,"[{'bedroom_type': '3 Beds', 'price': '$6,50'}]","Studio City, CA 91604",https://www.apartments.com/4344-lemp-ave-studio-city-ca/g0r645x/,2 BAs,"2,100 Sq Ft","2,100",12 Month Lease,Available Now,"$6,50",,,,,,,
