City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,1 Bed,3 Beds,2 – 3 Beds,4 Beds,Studio,6 Beds,5 Beds,1 – 2 Beds,1 – 4 Beds
Pasadena,Houses,CA,91107,"[{'bedroom_type': '2 Beds', 'price': '$3,60'}]","3572 E Green St, Pasadena, CA 91107",https://www.apartments.com/3572-e-green-st-pasadena-ca/b8jvyg9/,1½ BAs,"1,750 Sq Ft","1,750",12 Month Lease,Available Now,"$3,60",,,,,,,,,
Los Angeles,Houses,CA,91604,"[{'bedroom_type': '1 Bed', 'price': '$3,59'}]","4323 Laurelgrove Ave, Los Angeles, CA 91604",https://www.apartments.com/4323-laurelgrove-ave-los-angeles-ca/3097syf/,1 BA,700 Sq Ft,700,,Available Now,,"$3,59",,,,,,,,
Los Angeles,Houses,CA,90044,"[{'bedroom_type': '2 Beds', 'price': '$1,90'}]","1109 W 102nd St, Los Angeles, CA 90044",https://www.apartments.com/1109-w-102nd-st-los-angeles-ca/jhnn1j7/,1 BA,900 Sq Ft,900,12 Month Lease,Jan 15,"$1,90",,,,,,,,,
Glendale,Houses,CA,91201,"[{'bedroom_type': '1 Bed', 'price': '$2,00'}]","1049 Raymond Ave, Glendale, CA 91201",https://www.apartments.com/1049-raymond-ave-glendale-ca/8rcjrs3/,1½ BAs,900 Sq Ft,900,12 Month Lease,Available Now,,"$2,00",,,,,,,,
Orangevale,Houses,CA,95662,"[{'bedroom_type': '3 Beds', 'price': '$1,95'}]","6157 Stoffer Way, Orangevale, CA 95662",https://www.apartments.com/6157-stoffer-way-orangevale-ca/pnpv03t/,2 BAs,"1,522 Sq Ft","1,522",12 Month Lease,Available Now,,,"$1,95",,,,,,,
East Los Angeles,Houses,CA,90022,"[{'bedroom_type': '2 – 3 Beds', 'price': '$2,000'}]","1330 Fraser Ave, East Los Angeles, CA 90022",https://www.apartments.com/1330-fraser-ave-east-los-angeles-ca/9m9h1x5/,1 BA,591 Sq Ft,591,12 Month Lease,Available Now,,,,"$2,000",,,,,,
Hermosa Beach,Houses,CA,90254,"[{'bedroom_type': '1 Bed', 'price': '$2,10'}]","746 Bayview Dr, Hermosa Beach, CA 90254",https://www.apartments.com/746-bayview-dr-hermosa-beach-ca/n49ne0q/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,,"$2,10",,,,,,,,
Monrovia,Houses,CA,91016,"[{'bedroom_type': '1 Bed', 'price': '$1,75'}]","215 Grand Ave, Monrovia, CA 91016",https://www.apartments.com/215-grand-ave-monrovia-ca/81h5bt2/,1 BA,610 Sq Ft,610,12 Month Lease,Available Now,,"$1,75",,,,,,,,
Richmond,Houses,CA,94801,"[{'bedroom_type': '2 Beds', 'price': '$1,85'}]","501 2nd St, Richmond, CA 94801",https://www.apartments.com/501-2nd-st-richmond-ca/twvs989/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,"$1,85",,,,,,,,,
Newark,Houses,CA,94560,"[{'bedroom_type': '4 Beds', 'price': '$3,50'}]","35851 Tozier St, Newark, CA 94560",https://www.apartments.com/35851-tozier-st-newark-ca/4vheezk/,2½ BAs,"2,100 Sq Ft","2,100",12 Month Lease,Available Now,,,,,"$3,50",,,,,
Los Angeles,Houses,CA,90011,"[{'bedroom_type': '3 Beds', 'price': '$2,75'}]","674 E 48th St, Los Angeles, CA 90011",https://www.apartments.com/674-e-48th-st-los-angeles-ca/5qztq7q/,2 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Jan 11,,,"$2,75",,,,,,,
Lake Forest,Houses,CA,92630,"[{'bedroom_type': '1 Bed', 'price': '$1,59'}]","26042 Majorca, Lake Forest, CA 92630",https://www.apartments.com/26042-majorca-lake-forest-ca/z4f82xz/,1 BA,675 Sq Ft,675,12 Month Lease,Available Now,,"$1,59",,,,,,,,
Oakland,Houses,CA,94607,"[{'bedroom_type': '2 Beds', 'price': '$2,40'}]","1465 9th St, Oakland, CA 94607",https://www.apartments.com/1465-9th-st-oakland-ca/n86cz7n/,1 BA,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,"$2,40",,,,,,,,,
Riverside,Houses,CA,92504,"[{'bedroom_type': '3 Beds', 'price': '$2,20'}]","5905 Glenhurst St, Riverside, CA 92504",https://www.apartments.com/5905-glenhurst-st-riverside-ca/b6np6sc/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,,"$2,20",,,,,,,
San Diego,Houses,CA,92104,"[{'bedroom_type': '1 Bed', 'price': '$2,14'}]","4162 Mississippi St, San Diego, CA 92104",https://www.apartments.com/4162-mississippi-st-san-diego-ca/3z93q0g/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,,"$2,14",,,,,,,,
Los Angeles,Houses,CA,91436,"[{'bedroom_type': '1 Bed', 'price': '$1,20'}]","17043 Strawberry Dr, Los Angeles, CA 91436",https://www.apartments.com/17043-strawberry-dr-los-angeles-ca/qp2rhzz/,1 BA,250 Sq Ft,250,6 Month Lease,Available Now,,"$1,20",,,,,,,,
Los Angeles,Houses,CA,90037,"[{'bedroom_type': '3 Beds', 'price': '$2,30'}]","718 W 47th St, Los Angeles, CA 90037",https://www.apartments.com/718-w-47th-st-los-angeles-ca/e7lsvbm/,2 BAs,"1,050 Sq Ft","1,050",18 Month Lease,Available Now,,,"$2,30",,,,,,,
Tehachapi,Houses,CA,93561,"[{'bedroom_type': '3 Beds', 'price': '$1,90'}]","23171 Woodford-Tehachapi Rd, Tehachapi, CA 93561",https://www.apartments.com/23171-woodford-tehachapi-rd-tehachapi-ca/xjpj5jp/,2 BAs,"1,800 Sq Ft","1,800",12 Month Lease,Feb 1,,,"$1,90",,,,,,,
Truckee,Houses,CA,96161,"[{'bedroom_type': '4 Beds', 'price': '$9,50'}]","13770 Pathway Ave, Truckee, CA 96161",https://www.apartments.com/13770-pathway-ave-truckee-ca/sbknns6/,3½ BAs,"3,489 Sq Ft","3,489",12 Month Lease,Available Now,,,,,"$9,50",,,,,
Los Angeles,Houses,CA,90033,"[{'bedroom_type': '2 Beds', 'price': '$2,49'}]","2025 Sheridan St, Los Angeles, CA 90033",https://www.apartments.com/2025-sheridan-st-los-angeles-ca/f3ncs1v/,1 BA,720 Sq Ft,720,12 Month Lease,Available Now,"$2,49",,,,,,,,,
Los Angeles,Houses,CA,90019,"[{'bedroom_type': '1 Bed', 'price': '$2,75'}]","1324 S Cloverdale Ave, Los Angeles, CA 90019",https://www.apartments.com/1324-s-cloverdale-ave-los-angeles-ca/k2xybdb/,1 BA,900 Sq Ft,900,1 Month Lease,Available Now,,"$2,75",,,,,,,,
Los Angeles,Houses,CA,90065,"[{'bedroom_type': '3 Beds', 'price': '$3,35'}]","1115 Pleasant View Ave, Los Angeles, CA 90065",https://www.apartments.com/1115-pleasant-view-ave-los-angeles-ca/l3bsnlf/,2 BAs,950 Sq Ft,950,12 Month Lease,Available Now,,,"$3,35",,,,,,,
Whittier,Houses,CA,90606,"[{'bedroom_type': '3 Beds', 'price': '$3,00'}]","7315 Ridgeview Ln, Whittier, CA 90606",https://www.apartments.com/7315-ridgeview-ln-whittier-ca/lwenl3d/,2 BAs,"1,800 Sq Ft","1,800",12 Month Lease,Available Now,,,"$3,00",,,,,,,
Novato,Houses,CA,94947,"[{'bedroom_type': '3 Beds', 'price': '$4,10'}]","10 Jan Way, Novato, CA 94947",https://www.apartments.com/10-jan-way-novato-ca/p61tv5v/,2½ BAs,"1,891 Sq Ft","1,891",12 Month Lease,Available Now,,,"$4,10",,,,,,,
Los Angeles,Houses,CA,91605,"[{'bedroom_type': '4 Beds', 'price': '$3,80'}]","7744 Mary Ellen Ave, Los Angeles, CA 91605",https://www.apartments.com/7744-mary-ellen-ave-los-angeles-ca/jqbkxc4/,2 BAs,"1,700 Sq Ft","1,700",6 Month Lease,Available Now,,,,,"$3,80",,,,,
Oakland,Houses,CA,94607,"[{'bedroom_type': 'Studio', 'price': '$1,40'}]","861 22nd St, Oakland, CA 94607",https://www.apartments.com/861-22nd-st-oakland-ca/8wlre90/,1 BA,236 Sq Ft,236,12 Month Lease,Available Now,,,,,,"$1,40",,,,
Richmond,Houses,CA,94803,"[{'bedroom_type': '6 Beds', 'price': '$3,60'}]","5145 Heavenly Ridge Ln, Richmond, CA 94803",https://www.apartments.com/5145-heavenly-ridge-ln-richmond-ca/3kn8r0e/,3 BAs,"2,930 Sq Ft","2,930",12 Month Lease,Feb 1,,,,,,,"$3,60",,,
Los Angeles,Houses,CA,90016,"[{'bedroom_type': '3 Beds', 'price': '$2,95'}]","2343 S Dunsmuir Ave, Los Angeles, CA 90016",https://www.apartments.com/2343-s-dunsmuir-ave-los-angeles-ca/y5qnzlv/,1½ BAs,"1,251 Sq Ft","1,251",12 Month Lease,Available Now,,,"$2,95",,,,,,,
Encino,Houses,CA,91316,"[{'bedroom_type': '3 Beds', 'price': '$4,65'}]","5953 Jellico Ave, Encino, CA 91316",https://www.apartments.com/5953-jellico-ave-encino-ca/w2tg6hl/,2 BAs,"1,345 Sq Ft","1,345",12 Month Lease,Jan 8,,,"$4,65",,,,,,,
Desert Hot Springs,Houses,CA,92240,"[{'bedroom_type': '4 Beds', 'price': '$1,49'}]","9653 Vista Del Valle, Desert Hot Springs, CA 92240",https://www.apartments.com/9653-vista-del-valle-desert-hot-springs-ca/cj8skkg/,1½ BAs,"1,450 Sq Ft","1,450",12 Month Lease,Available Now,,,,,"$1,49",,,,,
Lawndale,Houses,CA,90260,"[{'bedroom_type': '2 Beds', 'price': '$2,30'}]","4161 W 159th St, Lawndale, CA 90260",https://www.apartments.com/4161-w-159th-st-lawndale-ca/6prw6rv/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,"$2,30",,,,,,,,,
Palm Springs,Houses,CA,92262,"[{'bedroom_type': '3 Beds', 'price': '$4,50'}]","2481 Verna Ct, Palm Springs, CA 92262",https://www.apartments.com/2481-verna-ct-palm-springs-ca/xg6fqlm/,2½ BAs,"2,178 Sq Ft","2,178",12 Month Lease,Available Now,,,"$4,50",,,,,,,
San Francisco,Houses,CA,94131,"[{'bedroom_type': '3 Beds', 'price': '$6,30'}]","615 27th St, San Francisco, CA 94131",https://www.apartments.com/615-27th-st-san-francisco-ca/wphx8fk/,2 BAs,"2,012 Sq Ft","2,012",12 Month Lease,Available Now,,,"$6,30",,,,,,,
Alamo,Houses,CA,94507,"[{'bedroom_type': '2 Beds', 'price': '$3,40'}]","2410 Lunada Ln, Alamo, CA 94507",https://www.apartments.com/2410-lunada-ln-alamo-ca/e40l3mm/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$3,40",,,,,,,,,
Fremont,Houses,CA,94536,"[{'bedroom_type': '3 Beds', 'price': '$3,20'}]","38203 Parkmont Dr, Fremont, CA 94536",https://www.apartments.com/38203-parkmont-dr-fremont-ca/mdz616l/,2 BAs,"1,273 Sq Ft","1,273",12 Month Lease,Jan 10,,,"$3,20",,,,,,,
Los Angeles,Houses,CA,91304,"[{'bedroom_type': '4 Beds', 'price': '$4,90'}]","7801 McLaren Ave, Los Angeles, CA 91304",https://www.apartments.com/7801-mclaren-ave-los-angeles-ca/5wexk5q/,2 BAs,"1,760 Sq Ft","1,760",12 Month Lease,Available Now,,,,,"$4,90",,,,,
San Francisco,Houses,CA,94134,"[{'bedroom_type': '3 Beds', 'price': '$4,30'}]","295 Oxford St, San Francisco, CA 94134",https://www.apartments.com/295-oxford-st-san-francisco-ca/4d5h7gh/,2 BAs,"1,440 Sq Ft","1,440",1 Month Lease,Available Now,,,"$4,30",,,,,,,
