City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,3 Beds,4 Beds,1 Bed,5 Beds,2 Beds,Studio,6 Beds,Studio – 5 Beds,2 – 3 Beds,Studio – 3 Beds
San Francisco,Houses,CA,94131,"[{'bedroom_type': '3 Beds', 'price': '$4,85'}]","124 Dellbrook Ave, San Francisco, CA 94131",https://www.apartments.com/124-dellbrook-ave-san-francisco-ca/ew6q95n/,2 BAs,"1,300 Sq Ft","1,300",12 Month Lease,Feb 1,"$4,85",,,,,,,,,
Venice,Houses,CA,90291,"[{'bedroom_type': '4 Beds', 'price': '$6,99'}]","53 Dudley Ave, Venice, CA 90291",https://www.apartments.com/53-dudley-ave-venice-ca/lrwm27d/,2 BAs,"2,000 Sq Ft","2,000",12 Month Lease,Available Now,,"$6,99",,,,,,,,
Los Angeles,Houses,CA,91307,"[{'bedroom_type': '4 Beds', 'price': '$4,49'}]","6629 Melba Ave, Los Angeles, CA 91307",https://www.apartments.com/6629-melba-ave-los-angeles-ca/m43x2ej/,2 BAs,"1,500 Sq Ft","1,500",,Feb 15,,"$4,49",,,,,,,,
Pasadena,Houses,CA,91106,"[{'bedroom_type': '1 Bed', 'price': '$1,65'}]","53 N Meridith Ave, Pasadena, CA 91106",https://www.apartments.com/53-n-meridith-ave-pasadena-ca/rbdydj2/,1 BA,400 Sq Ft,400,12 Month Lease,Available Now,,,"$1,65",,,,,,,
Los Angeles,Houses,CA,91606,"[{'bedroom_type': '1 Bed', 'price': '$2,50'}]","6725 St Clair Ave, Los Angeles, CA 91606",https://www.apartments.com/6725-st-clair-ave-los-angeles-ca/zth6cnx/,1 BA,700 Sq Ft,700,6 Month Lease,Available Now,,,"$2,50",,,,,,,
Sacramento,Houses,CA,95831,"[{'bedroom_type': '3 Beds', 'price': '$2,10'}]","7669 Windbridge Dr, Sacramento, CA 95831",https://www.apartments.com/7669-windbridge-dr-sacramento-ca/7gnqrnw/,2½ BAs,"1,798 Sq Ft","1,798",12 Month Lease,Available Now,"$2,10",,,,,,,,,
San Jose,Houses,CA,95148,"[{'bedroom_type': '4 Beds', 'price': '$4,00'}]","2670 Tagart Dr, San Jose, CA 95148",https://www.apartments.com/2670-tagart-dr-san-jose-ca/57phwmq/,3 BAs,"1,840 Sq Ft","1,840",12 Month Lease,Available Now,,"$4,00",,,,,,,,
Corona,Houses,CA,92881,"[{'bedroom_type': '5 Beds', 'price': '$3,60'}]","2729 Via Razmin, Corona, CA 92881",https://www.apartments.com/2729-via-razmin-corona-ca/ng8x80m/,3 BAs,"2,700 Sq Ft","2,700",12 Month Lease,Feb 1,,,,"$3,60",,,,,,
Topanga,Houses,CA,90290,"[{'bedroom_type': '2 Beds', 'price': '$3,50'}]","156 S Topanga Canyon Blvd, Topanga, CA 90290",https://www.apartments.com/156-s-topanga-canyon-blvd-topanga-ca/vy81wfe/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,,,,"$3,50",,,,,
Aptos,Houses,CA,95003,"[{'bedroom_type': '3 Beds', 'price': '$5,00'}]","515 Middlefield Dr, Aptos, CA 95003",https://www.apartments.com/515-middlefield-dr-aptos-ca/94zy1w6/,2 BAs,"1,800 Sq Ft","1,800",,Available Now,"$5,00",,,,,,,,,
Belmont,Houses,CA,94002,"[{'bedroom_type': '2 Beds', 'price': '$3,00'}]","427 Wessex Way, Belmont, CA 94002",https://www.apartments.com/427-wessex-way-belmont-ca/67z4kzt/,1 BA,900 Sq Ft,900,6 Month Lease,Available Now,,,,,"$3,00",,,,,
Los Angeles,Houses,CA,90006,"[{'bedroom_type': '3 Beds', 'price': '$3,60'}]","1132 S Hoover St, Los Angeles, CA 90006",https://www.apartments.com/1132-s-hoover-st-los-angeles-ca/0t3r3c1/,1½ BAs,"1,800 Sq Ft","1,800",12 Month Lease,Available Now,"$3,60",,,,,,,,,
Los Angeles,Houses,CA,90006,"[{'bedroom_type': '1 Bed', 'price': '$1,20'}]","1130 S Hoover St, Los Angeles, CA 90006",https://www.apartments.com/1130-s-hoover-st-los-angeles-ca/6pygpxs/,0½ BAs,250 Sq Ft,250,1 Month Lease,Available Now,,,"$1,20",,,,,,,
Los Angeles,Houses,CA,90065,"[{'bedroom_type': '3 Beds', 'price': '$2,90'}]","3819 W Avenue 41, Los Angeles, CA 90065",https://www.apartments.com/3819-w-avenue-41-los-angeles-ca/emkew9m/,1½ BAs,"1,275 Sq Ft","1,275",12 Month Lease,Available Now,"$2,90",,,,,,,,,
Encino,Houses,CA,91316,"[{'bedroom_type': '2 Beds', 'price': '$3,09'}]","5726 Encino Ave, Encino, CA 91316",https://www.apartments.com/5726-encino-ave-encino-ca/pqb8t8s/,1 BA,"1,090 Sq Ft","1,090",12 Month Lease,Feb 1,,,,,"$3,09",,,,,
La Puente,Houses,CA,91744,"[{'bedroom_type': '3 Beds', 'price': '$2,50'}]","15823 Francisquito Ave, La Puente, CA 91744",https://www.apartments.com/15823-francisquito-ave-la-puente-ca/kxfmpbc/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,"$2,50",,,,,,,,,
San Jose,Houses,CA,95136,"[{'bedroom_type': '1 Bed', 'price': '$925'}]","4430 Heppner Ln, San Jose, CA 95136",https://www.apartments.com/4430-heppner-ln-san-jose-ca/vqpqxye/,1 BA,120 Sq Ft,120,3 Month Lease,Feb 1,,,$925,,,,,,,
Lawndale,Houses,CA,90260,"[{'bedroom_type': '2 Beds', 'price': '$1,85'}]","4714 W 153rd St, Lawndale, CA 90260",https://www.apartments.com/4714-w-153rd-st-lawndale-ca/dbw3hml/,1 BA,703 Sq Ft,703,12 Month Lease,Available Now,,,,,"$1,85",,,,,
San Diego,Houses,CA,92102,"[{'bedroom_type': '3 Beds', 'price': '$2,50'}]","2409 E St, San Diego, CA 92102",https://www.apartments.com/2409-e-st-san-diego-ca/enkz1zn/,1 BA,900 Sq Ft,900,6 Month Lease,Available Now,"$2,50",,,,,,,,,
Marysville,Houses,CA,95901,"[{'bedroom_type': '4 Beds', 'price': '$2,60'}]","1583 Pond View Dr, Marysville, CA 95901",https://www.apartments.com/1583-pond-view-dr-marysville-ca/7hsexyy/,3 BAs,"2,325 Sq Ft","2,325",24 Month Lease,Feb 8,,"$2,60",,,,,,,,
Van Nuys,Houses,CA,91406,"[{'bedroom_type': '3 Beds', 'price': '$2,80'}]","17355 Cohasset St, Van Nuys, CA 91406",https://www.apartments.com/17355-cohasset-st-van-nuys-ca/fwcyjyv/,1 BA,955 Sq Ft,955,12 Month Lease,Available Now,"$2,80",,,,,,,,,
South San Francisco,Houses,CA,94080,"[{'bedroom_type': '3 Beds', 'price': '$3,90'}]","521 Poplar Ave, South San Francisco, CA 94080",https://www.apartments.com/521-poplar-ave-south-san-francisco-ca/j5p7py4/,2 BAs,"1,520 Sq Ft","1,520",12 Month Lease,Available Now,"$3,90",,,,,,,,,
South San Francisco,Houses,CA,94080,"[{'bedroom_type': '3 Beds', 'price': '$4,20'}]","80 Idlewood Dr, South San Francisco, CA 94080",https://www.apartments.com/80-idlewood-dr-south-san-francisco-ca/79ysf5y/,2½ BAs,"1,850 Sq Ft","1,850",12 Month Lease,Available Now,"$4,20",,,,,,,,,
Fairfield,Houses,CA,94533,"[{'bedroom_type': '3 Beds', 'price': '$2,40'}]","1601 San Bruno St, Fairfield, CA 94533",https://www.apartments.com/1601-san-bruno-st-fairfield-ca/wr43q9l/,2 BAs,"1,885 Sq Ft","1,885",12 Month Lease,Available Now,"$2,40",,,,,,,,,
Pasadena,Houses,CA,91107,"[{'bedroom_type': '2 Beds', 'price': '$2,59'}]","1049 Rose Ave, Pasadena, CA 91107",https://www.apartments.com/1049-rose-ave-pasadena-ca/t9gfg28/,1 BA,850 Sq Ft,850,12 Month Lease,Jan 10,,,,,"$2,59",,,,,
San Jose,Houses,CA,95124,"[{'bedroom_type': '4 Beds', 'price': '$4,49'}]","2189 Westmoreland Dr, San Jose, CA 95124",https://www.apartments.com/2189-westmoreland-dr-san-jose-ca/x7excnn/,2½ BAs,"2,000 Sq Ft","2,000",12 Month Lease,Available Now,,"$4,49",,,,,,,,
Los Angeles,Houses,CA,90049,"[{'bedroom_type': '3 Beds', 'price': '$10,50'}]","603 N Bonhill Rd, Los Angeles, CA 90049",https://www.apartments.com/603-n-bonhill-rd-los-angeles-ca/epzkdnp/,3 BAs,"2,808 Sq Ft","2,808",12 Month Lease,Available Now,"$10,50",,,,,,,,,
Los Angeles,Houses,CA,91345,"[{'bedroom_type': '4 Beds', 'price': '$3,90'}]","14956 Lassen St, Los Angeles, CA 91345",https://www.apartments.com/14956-lassen-st-los-angeles-ca/mywq91l/,3½ BAs,"2,432 Sq Ft","2,432",12 Month Lease,Feb 1,,"$3,90",,,,,,,,
North Hollywood,Houses,CA,91605,"[{'bedroom_type': '3 Beds', 'price': '$2,99'}]","7918 Vanscoy Ave, North Hollywood, CA 91605",https://www.apartments.com/7918-vanscoy-ave-north-hollywood-ca/9013dd5/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,"$2,99",,,,,,,,,
Riverside,Houses,CA,92507,"[{'bedroom_type': '4 Beds', 'price': '$2,89'}]","1402 Abernathy Dr, Riverside, CA 92507",https://www.apartments.com/1402-abernathy-dr-riverside-ca/mpwl3kk/,2½ BAs,"2,207 Sq Ft","2,207",12 Month Lease,Available Now,,"$2,89",,,,,,,,
Los Angeles,Houses,CA,91344,"[{'bedroom_type': '1 Bed', 'price': '$1,69'}]","12360 Jolette Ave, Los Angeles, CA 91344",https://www.apartments.com/12360-jolette-ave-los-angeles-ca/rftdc20/,1 BA,420 Sq Ft,420,,Available Now,,,"$1,69",,,,,,,
Northridge,Houses,CA,91325,"[{'bedroom_type': '2 Beds', 'price': '$2,50'}]","18154 Chase St, Northridge, CA 91325",https://www.apartments.com/18154-chase-st-northridge-ca/tky7gyc/,1 BA,880 Sq Ft,880,12 Month Lease,Feb 1,,,,,"$2,50",,,,,
North Hollywood,Houses,CA,91605,"[{'bedroom_type': '1 Bed', 'price': '$1,50'}]","12734 Hart St, North Hollywood, CA 91605",https://www.apartments.com/12734-hart-st-north-hollywood-ca/drrs15l/,1 BA,403 Sq Ft,403,12 Month Lease,Available Now,,,"$1,50",,,,,,,
San Diego,Houses,CA,92109,"[{'bedroom_type': '2 Beds', 'price': '$3,60'}]","717 Portsmouth Ct, San Diego, CA 92109",https://www.apartments.com/717-portsmouth-ct-san-diego-ca/vqn9kvf/,2 BAs,"1,400 Sq Ft","1,400",1 Month Lease,Apr 1,,,,,"$3,60",,,,,
