City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,1 Bed,2 Beds,3 Beds,4 Beds,Studio,5 Beds,6 Beds,1 – 3 Beds
Castro Valley,Houses,CA,94552,"[{'bedroom_type': '1 Bed', 'price': '$1,49'}]","20187 Crow Creek Rd, Castro Valley, CA 94552",https://www.apartments.com/20187-crow-creek-rd-castro-valley-ca/tzfypn8/,1 BA,250 Sq Ft,250,1 Month Lease,Available Now,"$1,49",,,,,,,
Mountain View,Houses,CA,94041,"[{'bedroom_type': '2 Beds', 'price': '$3,09'}]","644 Church St, Mountain View, CA 94041",https://www.apartments.com/644-church-st-mountain-view-ca/4r9cn7l/,1 BA,"1,270 Sq Ft","1,270",6 Month Lease,Available Now,,"$3,09",,,,,,
North Hollywood,Houses,CA,91606,"[{'bedroom_type': '2 Beds', 'price': '$2,80'}]","6022 Bonner Ave, North Hollywood, CA 91606",https://www.apartments.com/6022-bonner-ave-north-hollywood-ca/pfz7r0v/,2 BAs,"1,175 Sq Ft","1,175",12 Month Lease,Available Now,,"$2,80",,,,,,
Pasadena,Houses,CA,91101,"[{'bedroom_type': '3 Beds', 'price': '$2,87'}]","465 Marengo N Ave, Pasadena, CA 91101",https://www.apartments.com/465-marengo-n-ave-pasadena-ca/63y8phv/,2 BAs,"1,250 Sq Ft","1,250",12 Month Lease,Available Now,,,"$2,87",,,,,
Los Angeles,Houses,CA,91040,"[{'bedroom_type': '3 Beds', 'price': '$2,70'}]","10525 Greenburn Ave, Los Angeles, CA 91040",https://www.apartments.com/10525-greenburn-ave-los-angeles-ca/ntkz9jq/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,,"$2,70",,,,,
Moorpark,Houses,CA,93021,"[{'bedroom_type': '3 Beds', 'price': '$3,10'}]","6860 Auburn Cir, Moorpark, CA 93021",https://www.apartments.com/6860-auburn-cir-moorpark-ca/0h1z0d0/,2 BAs,"1,450 Sq Ft","1,450",12 Month Lease,Available Now,,,"$3,10",,,,,
Morgan Hill,Houses,CA,95037,"[{'bedroom_type': '1 Bed', 'price': '$1,97'}]","729 Mei Dr, Morgan Hill, CA 95037",https://www.apartments.com/729-mei-dr-morgan-hill-ca/9vm6107/,1 BA,587 Sq Ft,587,12 Month Lease,Available Now,"$1,97",,,,,,,
Hillsborough,Houses,CA,94010,"[{'bedroom_type': '4 Beds', 'price': '$8,10'}]","1270 Hayne Rd, Hillsborough, CA 94010",https://www.apartments.com/1270-hayne-rd-hillsborough-ca/ps1wz5v/,2½ BAs,"2,800 Sq Ft","2,800",12 Month Lease,Available Now,,,,"$8,10",,,,
Northridge,Houses,CA,91324,"[{'bedroom_type': '4 Beds', 'price': '$5,50'}]","9910 Donna Ave, Northridge, CA 91324",https://www.apartments.com/9910-donna-ave-northridge-ca/q23ykry/,2½ BAs,"2,495 Sq Ft","2,495",12 Month Lease,Available Now,,,,"$5,50",,,,
Compton,Houses,CA,90220,"[{'bedroom_type': '2 Beds', 'price': '$1,65'}]","506 N Wilmington Ave, Compton, CA 90220",https://www.apartments.com/506-n-wilmington-ave-compton-ca/55xjhxp/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,,"$1,65",,,,,,
San Leandro,Houses,CA,94577,"[{'bedroom_type': 'Studio', 'price': '$1,56'}]","260 Joaquin Ave, San Leandro, CA 94577",https://www.apartments.com/260-joaquin-ave-san-leandro-ca/slw8sh7/,1 BA,400 Sq Ft,400,12 Month Lease,Available Now,,,,,"$1,56",,,
Cathedral City,Houses,CA,92234,"[{'bedroom_type': '3 Beds', 'price': '$1,80'}]","68180 Corta Rd, Cathedral City, CA 92234",https://www.apartments.com/68180-corta-rd-cathedral-city-ca/kgzc3c8/,1 BA,"1,080 Sq Ft","1,080",6 Month Lease,Available Now,,,"$1,80",,,,,
San Diego,Houses,CA,92105,"[{'bedroom_type': '3 Beds', 'price': '$2,70'}]","4420 Laurel St, San Diego, CA 92105",https://www.apartments.com/4420-laurel-st-san-diego-ca/8vc8ln0/,2 BAs,"1,800 Sq Ft","1,800",12 Month Lease,Available Now,,,"$2,70",,,,,
Los Angeles,Houses,CA,91356,"[{'bedroom_type': '1 Bed', 'price': '$2,60'}]","5449 Bothwell Rd, Los Angeles, CA 91356",https://www.apartments.com/5449-bothwell-rd-los-angeles-ca/g675kwy/,1 BA,785 Sq Ft,785,12 Month Lease,Available Now,"$2,60",,,,,,,
Simi Valley,Houses,CA,93063,"[{'bedroom_type': '2 Beds', 'price': '$3,50'}]","1248 Rocky Rd, Simi Valley, CA 93063",https://www.apartments.com/1248-rocky-rd-simi-valley-ca/vz9le2e/,1 BA,"1,100 Sq Ft","1,100",,Available Now,,"$3,50",,,,,,
Simi Valley,Houses,CA,93063,"[{'bedroom_type': '5 Beds', 'price': '$10,99'}]","1248 Rocky Rd, Simi Valley, CA 93063",https://www.apartments.com/1248-rocky-rd-simi-valley-ca/8vrtj90/,3 BAs,"4,510 Sq Ft","4,510",,Available Now,,,,,,"$10,99",,
Palo Alto,Houses,CA,94306,"[{'bedroom_type': '3 Beds', 'price': '$4,60'}]","2080 Yale St, Palo Alto, CA 94306",https://www.apartments.com/2080-yale-st-palo-alto-ca/273j1e9/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,,"$4,60",,,,,
San Diego,Houses,CA,92116,"[{'bedroom_type': '1 Bed', 'price': '$2,15'}]","4232 Adams Ave, San Diego, CA 92116",https://www.apartments.com/4232-adams-ave-san-diego-ca/x3l1lvm/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,"$2,15",,,,,,,
Sherwood Forest,Houses,CA,91325,"[{'bedroom_type': '4 Beds', 'price': '$3,70'}]","8613 Zelzah Ave, Sherwood Forest, CA 91325",https://www.apartments.com/8613-zelzah-ave-sherwood-forest-ca/wh8hebl/,2½ BAs,"2,302 Sq Ft","2,302",12 Month Lease,Available Now,,,,"$3,70",,,,
Discovery Bay,Houses,CA,94505,"[{'bedroom_type': '3 Beds', 'price': '$2,85'}]","2835 Cherry Hills Dr, Discovery Bay, CA 94505",https://www.apartments.com/2835-cherry-hills-dr-discovery-bay-ca/1b8x154/,3 BAs,"2,000 Sq Ft","2,000",12 Month Lease,Available Now,,,"$2,85",,,,,
Los Angeles,Houses,CA,91436,"[{'bedroom_type': '6 Beds', 'price': '$15,00'}]","5173 Gaynor Ave, Los Angeles, CA 91436",https://www.apartments.com/5173-gaynor-ave-los-angeles-ca/q9v2xqz/,6½ BAs,"4,922 Sq Ft","4,922",12 Month Lease,Available Now,,,,,,,"$15,00",
Merced,Houses,CA,95348,"[{'bedroom_type': '3 Beds', 'price': '$1,80'}]","2337 Fern St, Merced, CA 95348",https://www.apartments.com/2337-fern-st-merced-ca/eqn3zcn/,2 BAs,"1,428 Sq Ft","1,428",12 Month Lease,Available Now,,,"$1,80",,,,,
Santa Clara,Houses,CA,95051,"[{'bedroom_type': '2 Beds', 'price': '$2,00'}]","2598 Dixon Dr, Santa Clara, CA 95051",https://www.apartments.com/2598-dixon-dr-santa-clara-ca/s6045f5/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,"$2,00",,,,,,
Daly City,Houses,CA,94014,"[{'bedroom_type': '4 Beds', 'price': '$4,80'}]","178 Abbot Ave, Daly City, CA 94014",https://www.apartments.com/178-abbot-ave-daly-city-ca/e8bggsp/,2 BAs,"1,500 Sq Ft","1,500",,Available Now,,,,"$4,80",,,,
Venice,Houses,CA,90291,"[{'bedroom_type': '1 Bed', 'price': '$2,80'}]","642 Rose Ave, Venice, CA 90291",https://www.apartments.com/642-rose-ave-venice-ca/jfsj8k6/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,"$2,80",,,,,,,
Los Angeles,Houses,CA,91436,"[{'bedroom_type': '6 Beds', 'price': '$15,00'}]","5173 Gaynor Ave, Los Angeles, CA 91436",https://www.apartments.com/5173-gaynor-ave-los-angeles-ca/lh51frd/,6½ BAs,"4,922 Sq Ft","4,922",,Available Now,,,,,,,"$15,00",
Santa Rosa,Houses,CA,95409,"[{'bedroom_type': '2 Beds', 'price': '$2,30'}]","4941 Snark Ave, Santa Rosa, CA 95409",https://www.apartments.com/4941-snark-ave-santa-rosa-ca/mbjlsch/,1 BA,"1,300 Sq Ft","1,300",3 Month Lease,Available Now,,"$2,30",,,,,,
