City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,3 Beds,4 Beds,1 Bed,4+ Beds,Studio,5 Beds
West Hollywood,Townhomes,CA,90069,"[{'bedroom_type': '2 Beds', 'price': '$5,50'}]","9041 Keith Ave, West Hollywood, CA 90069",https://www.apartments.com/9041-keith-ave-west-hollywood-ca/1wrfhc6/,3 BAs,"1,274 Sq Ft","1,274",12 Month Lease,Available Now,"$5,50",,,,,,
San Jose,Townhomes,CA,95129,"[{'bedroom_type': '2 Beds', 'price': '$2,79'}]","1665 Brookvale Dr, San Jose, CA 95129",https://www.apartments.com/1665-brookvale-dr-san-jose-ca/drcc7sh/,1½ BAs,"1,100 Sq Ft","1,100",12 Month Lease,Feb 1,"$2,79",,,,,,
Moreno Valley,Townhomes,CA,92553,"[{'bedroom_type': '3 Beds', 'price': '$1,75'}]","24398 Webster Ave, Moreno Valley, CA 92553",https://www.apartments.com/24398-webster-ave-moreno-valley-ca/e99ly8p/,2½ BAs,"1,450 Sq Ft","1,450",12 Month Lease,Available Now,,"$1,75",,,,,
14131 Shoreline Dr,Townhomes,Chino Hills,CA,"[{'bedroom_type': '4 Beds', 'price': '$2,900'}]","14131 Shoreline Dr, Chino Hills, CA 91709",https://www.apartments.com/14131-shoreline-dr-chino-hills-ca/mlrhc5j/,2 BAs,"1,845 Sq Ft","1,845",12 Month Lease,Jan 2,,,"$2,900",,,,
34667 Borchard Rd,Townhomes,Lake Elsinore,CA,"[{'bedroom_type': '3 Beds', 'price': '$1,800'}]","34667 Borchard Rd, Lake Elsinore, CA 92530",https://www.apartments.com/34667-borchard-rd-lake-elsinore-ca/n84938q/,1 BA,960 Sq Ft,960,12 Month Lease,Available Now,,"$1,800",,,,,
8441 E Durango Way,Townhomes,Anaheim,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,400'}]","8441 E Durango Way, Anaheim, CA 92808",https://www.apartments.com/8441-e-durango-way-anaheim-ca/hhy5gz2/,2 BAs,998 Sq Ft,998,12 Month Lease,Available Now,"$2,400",,,,,,
6628 National Park Dr,Townhomes,Twentynine Palms,CA,"[{'bedroom_type': '1 Bed', 'price': '$1,645'}]","6628 National Park Dr, Twentynine Palms, CA 92277",https://www.apartments.com/6628-national-park-dr-twentynine-palms-ca/5hmn37q/,1 BA,900 Sq Ft,900,,Available Now,,,,"$1,645",,,
24709 Santa Clara Ave,Townhomes,Dana Point,CA,"[{'bedroom_type': '3 Beds', 'price': '$4,400'}]","24709 Santa Clara Ave, Dana Point, CA 92629",https://www.apartments.com/24709-santa-clara-ave-dana-point-ca/s4lhz06/,2½ BAs,"1,380 Sq Ft","1,380",,Available Now,,"$4,400",,,,,
127 Avenida Serra,Townhomes,San Clemente,CA,"[{'bedroom_type': '1 Bed', 'price': '$2,650'}]","127 Avenida Serra, San Clemente, CA 92672",https://www.apartments.com/127-avenida-serra-san-clemente-ca/v8hlv7d/,1 BA,820 Sq Ft,820,12 Month Lease,Available Now,,,,"$2,650",,,
335 E 115th St,Townhomes,Los Angeles,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,350'}]","335 E 115th St, Los Angeles, CA 90061",https://www.apartments.com/335-e-115th-st-los-angeles-ca/86qz301/,2 BAs,983 Sq Ft,983,12 Month Lease,Available Now,,"$2,350",,,,,
125 Churchill,Townhomes,Irvine,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,400'}]","125 Churchill, Irvine, CA 92620",https://www.apartments.com/125-churchill-irvine-ca/8jzcz73/,2½ BAs,"1,654 Sq Ft","1,654",12 Month Lease,Available Now,,"$3,400",,,,,
49 Fir St,Townhomes,Camarillo,CA,"[{'bedroom_type': '1 Bed', 'price': '$1,895'}]","49 Fir St, Camarillo, CA 93010",https://www.apartments.com/49-fir-st-camarillo-ca/b03c6xc/,1 BA,574 Sq Ft,574,,Available Now,,,,"$1,895",,,
