City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,4 Beds,1 Bed,3 Beds
Irvine,Townhomes,CA,92612,"[{'bedroom_type': '2 Beds', 'price': '$2,70'}]","Irvine, CA 92612",https://www.apartments.com/379-stanford-ct-irvine-ca/yfzbvvv/,1½ BAs,"1,200 Sq Ft","1,200",6 Month Lease,Available Now,"$2,70",,,
Santa Clarita,Townhomes,CA,91354,"[{'bedroom_type': '4 Beds', 'price': '$3,49'}]","Santa Clarita, CA 91354",https://www.apartments.com/27445-coldwater-dr-santa-clarita-ca/zy2fmvz/,3 BAs,"1,912 Sq Ft","1,912",12 Month Lease,Available Now,,"$3,49",,
Los Angeles,Townhomes,CA,90018,"[{'bedroom_type': '1 Bed', 'price': '$1,80'}]","Los Angeles, CA 90018",https://www.apartments.com/2216-w-27th-st-los-angeles-ca/58e5fkq/,2 BAs,782 Sq Ft,782,12 Month Lease,Available Now,,,"$1,80",
Los Angeles,Townhomes,CA,90011,"[{'bedroom_type': '2 Beds', 'price': '$1,75'}]","Los Angeles, CA 90011",https://www.apartments.com/5624-hooper-ave-los-angeles-ca/1wmsb34/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,"$1,75",,,
Santa Monica,Townhomes,CA,90403,"[{'bedroom_type': '2 Beds', 'price': '$5,99'}]","933 15th St, Santa Monica, CA 90403",https://www.apartments.com/933-15th-st-santa-monica-ca/jk1e6w4/,2½ BAs,"1,850 Sq Ft","1,850",12 Month Lease,Available Now,"$5,99",,,
Los Angeles,Townhomes,CA,90019,"[{'bedroom_type': '3 Beds', 'price': '$3,15'}]","Los Angeles, CA 90019",https://www.apartments.com/4870-st-elmo-dr-los-angeles-ca/pp0990r/,2 BAs,"1,300 Sq Ft","1,300",12 Month Lease,Feb 1,,,,"$3,15"
Los Angeles,Townhomes,CA,90004,"[{'bedroom_type': '2 Beds', 'price': '$2,19'}]","Los Angeles, CA 90004",https://www.apartments.com/4735-oakwood-ave-los-angeles-ca/030bve3/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$2,19",,,
Sherman Oaks,Townhomes,CA,91401,"[{'bedroom_type': '2 Beds', 'price': '$2,19'}]","Sherman Oaks, CA 91401",https://www.apartments.com/12956-burbank-blvd-sherman-oaks-ca/p5kltls/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$2,19",,,
Los Angeles,Townhomes,CA,90038,"[{'bedroom_type': '2 Beds', 'price': '$3,55'}]","Los Angeles, CA 90038",https://www.apartments.com/1154-n-sycamore-ave-los-angeles-ca/r0zws01/,2½ BAs,"1,171 Sq Ft","1,171",12 Month Lease,Available Now,"$3,55",,,
Los Angeles,Townhomes,CA,90049,"[{'bedroom_type': '2 Beds', 'price': '$3,35'}]","Los Angeles, CA 90049",https://www.apartments.com/11650-mayfield-ave-los-angeles-ca/789v8vz/,1½ BAs,"1,048 Sq Ft","1,048",12 Month Lease,Available Now,"$3,35",,,
Santa Monica,Townhomes,CA,90404,"[{'bedroom_type': '2 Beds', 'price': '$4,48'}]","Santa Monica, CA 90404",https://www.apartments.com/1545-yale-st-santa-monica-ca/cq429pd/,1½ BAs,"1,200 Sq Ft","1,200",12 Month Lease,Jan 24,"$4,48",,,
Laguna Beach,Townhomes,CA,92651,"[{'bedroom_type': '3 Beds', 'price': '$5,50'}]","Laguna Beach, CA 92651",https://www.apartments.com/299-la-brea-st-laguna-beach-ca/0r6jb71/,2 BAs,"1,350 Sq Ft","1,350",12 Month Lease,Feb 1,,,,"$5,50"
Los Angeles,Townhomes,CA,91601,"[{'bedroom_type': '3 Beds', 'price': '$3,40'}]","Los Angeles, CA 91601",https://www.apartments.com/10842-hesby-st-los-angeles-ca/f3cm9ds/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,,,"$3,40"
Studio City,Townhomes,CA,91604,"[{'bedroom_type': '3 Beds', 'price': '$4,50'}]","Studio City, CA 91604",https://www.apartments.com/12837-moorpark-st-studio-city-ca/bpxw6mc/,3 BAs,"1,575 Sq Ft","1,575",12 Month Lease,Jan 5,,,,"$4,50"
Los Angeles,Townhomes,CA,90016,"[{'bedroom_type': '3 Beds', 'price': '$3,35'}]","2131 Carmona Ave, Los Angeles, CA 90016",https://www.apartments.com/2131-carmona-ave-los-angeles-ca/tqqfr19/,3 BAs,"1,450 Sq Ft","1,450",12 Month Lease,Available Now,,,,"$3,35"
Lakewood,Townhomes,CA,90715,"[{'bedroom_type': '3 Beds', 'price': '$2,60'}]","Lakewood, CA 90715",https://www.apartments.com/20718-seine-ave-lakewood-ca/7scrkjx/,2 BAs,"1,119 Sq Ft","1,119",12 Month Lease,Feb 5,,,,"$2,60"
