City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,"
													1 Bed
															–
2 Beds											",2 Beds,3 Beds,Studio,1 Bed,4 Beds,"
													2 Beds
															–
3 Beds											","
													Studio
											"
3074 Channel Dr,Townhomes,Ventura,CA,"[{'bedroom_type': '\r\n\t\t\t\t\t\t\t\t\t\t\t\t\t1 Bed\r\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t–\r\n2 Beds\t\t\t\t\t\t\t\t\t\t\t', 'price': ''}]","3074 Channel Dr, Ventura, CA 93003",https://www.apartments.com/ocean-view-townhomes-ventura-ca/63wecpr/,1 BA,625 Sq Ft,625,,Not Available,,,,,,,,
15700 Washington Ave,Townhomes,San Lorenzo,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,550'}, {'bedroom_type': '3 Beds', 'price': '$2,570'}]","15700 Washington Ave, San Lorenzo, CA 94580",https://www.apartments.com/washington-townhomes-san-lorenzo-ca/lmfd95g/,1½ BAs,860 Sq Ft,860,,Available Now,,"$2,550","$2,570",,,,,
1791 Sebastopol Rd,Townhomes,Santa Rosa,CA,"[{'bedroom_type': 'Studio', 'price': '$1,545'}, {'bedroom_type': '3 Beds', 'price': '$2,695'}]","1791 Sebastopol Rd, Santa Rosa, CA 95407",https://www.apartments.com/sendero-townhomes-santa-rosa-ca/c40slcg/,2½ BAs,"1,235 Sq Ft","1,235",,Available Now,,,"$2,695","$1,545",,,,
7236-7246 East Pky,Townhomes,Sacramento,CA,"[{'bedroom_type': '1 Bed', 'price': '$1,145'}]","7236-7246 East Pky, Sacramento, CA 95823",https://www.apartments.com/parkway-townhomes-sacramento-ca/0xsjq11/,1 BA,910 Sq Ft,910,,Available Now,,,,,"$1,145",,,
37101 - 37205 Magnolia St,Townhomes,Newark,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,178'}]","37101 - 37205 Magnolia St, Newark, CA 94560",https://www.apartments.com/valencia-townhomes-newark-ca/vq6006g/,2½ BAs,"1,365 Sq Ft","1,365",12 Month Lease,Jan 15,,,"$3,178",,,,,
8031 Winter Gardens Blvd,Townhomes,El Cajon,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,100'}]","8031 Winter Gardens Blvd, El Cajon, CA 92021",https://www.apartments.com/shannon-wood-townhomes-el-cajon-ca/d2f0kdj/,2 BAs,"1,118 Sq Ft","1,118",,Available Now,,,"$2,100",,,,,
8777 Graves Ave,Townhomes,Santee,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,700'}, {'bedroom_type': '3 Beds', 'price': '$1,950'}]","8777 Graves Ave, Santee, CA 92071",https://www.apartments.com/greystone-ridge-townhomes-santee-ca/d1lczpl/,1½ BAs,"1,220 Sq Ft","1,220",,Feb 1,,"$1,700","$1,950",,,,,
243-247 Mathilda Dr,Townhomes,Goleta,CA,"[{'bedroom_type': '1 Bed', 'price': '$2,080'}, {'bedroom_type': '2 Beds', 'price': '$2,250'}, {'bedroom_type': '3 Beds', 'price': '$3,025'}]","243-247 Mathilda Dr, Goleta, CA 93117",https://www.apartments.com/entrada-townhomes-apartment-goleta-ca/9nkw406/,2 BAs,846 Sq Ft,846,12 Month Lease,Available Now,,"$2,250","$3,025",,"$2,080",,,
15716 Saticoy St,Townhomes,Van Nuys,CA,"[{'bedroom_type': '1 Bed', 'price': '$1,900'}]","15716 Saticoy St, Van Nuys, CA 91406",https://www.apartments.com/lake-balboa-townhomes-van-nuys-ca/kbqrweb/,1 BA,578 Sq Ft,578,,Available Now,,,,,"$1,900",,,
2110 Thurin St,Townhomes,Costa Mesa,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,861'}]","2110 Thurin St, Costa Mesa, CA 92627",https://www.apartments.com/greystone-townhouses-costa-mesa-ca/nnfd2jp/,2½ BAs,"1,175 Sq Ft","1,175",,Available Now,,,"$2,861",,,,,
3680 Monroe St,Townhomes,Riverside,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,700'}]","3680 Monroe St, Riverside, CA 92504",https://www.apartments.com/presidential-townhomes-riverside-ca/nh4cvjn/,1½ BAs,"1,100 Sq Ft","1,100",12 Month Lease,Jan 31,,"$1,700",,,,,,
100 Cadillac Dr,Townhomes,Sacramento,CA,"[{'bedroom_type': '1 Bed', 'price': '$1,400'}, {'bedroom_type': '2 Beds', 'price': '$1,625'}]","100 Cadillac Dr, Sacramento, CA 95825",https://www.apartments.com/cadillac-drive-townhomes-sacramento-ca/2kqw9d8/,1 BA,750 Sq Ft,750,,Feb 15,,"$1,625",,,"$1,400",,,
8600 Emerson Ave,Townhomes,Los Angeles,CA,"[{'bedroom_type': 'Studio', 'price': '$1,895'}, {'bedroom_type': '1 Bed', 'price': '$2,500'}, {'bedroom_type': '2 Beds', 'price': '$2,650'}]","8600 Emerson Ave, Los Angeles, CA 90045",https://www.apartments.com/townhomes-on-emerson-los-angeles-ca/3dbh2qf/,1 BA,518 Sq Ft,518,6 - 12 Month Lease,Available Now,,"$2,650",,"$1,895","$2,500",,,
2500 Chalmette Ct,Townhomes,Rocklin,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,250'}]","2500 Chalmette Ct, Rocklin, CA 95677",https://www.apartments.com/sunset-rocklin-townhomes-rocklin-ca/b3bg8d8/,2½ BAs,"1,423 Sq Ft","1,423",,Not Available,,,"$2,250",,,,,
581 Pomona Ave,Townhomes,Chico,CA,"[{'bedroom_type': '4 Beds', 'price': '$1,880'}]","581 Pomona Ave, Chico, CA 95928",https://www.apartments.com/pomona-townhomes-chico-ca/wp7v83j/,2 BAs,"1,500 Sq Ft","1,500",12 Month Lease,Jun 10,,,,,,"$1,880",,
8841 Orion Ave,Townhomes,North Hills,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,245'}]","8841 Orion Ave, North Hills, CA 91343",https://www.apartments.com/orion-townhouses-north-hills-ca/z8jd3by/,1½ BAs,"1,000 Sq Ft","1,000",,Available Now,,"$2,245",,,,,,
1200 S Highland Ave,Townhomes,Fullerton,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,190'}]","1200 S Highland Ave, Fullerton, CA 92832",https://www.apartments.com/fullerton-townhouse-apartments-fullerton-ca/9thw7g6/,1½ BAs,"1,240 Sq Ft","1,240",,Not Available,,"$2,190",,,,,,
8450 Carson Pl,Townhomes,Rancho Cucamonga,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,300'}, {'bedroom_type': '4 Beds', 'price': '$2,400'}]","8450 Carson Pl, Rancho Cucamonga, CA 91730",https://www.apartments.com/sycamore-villas-luxury-townhomes-rancho-cucamonga-ca/y3qh0pv/,2½ BAs,"1,485 - 1,977 Sq Ft","1,485",,Available Soon,,,"$2,300",,,"$2,400",,
686 E Union St,Townhomes,Pasadena,CA,"[{'bedroom_type': 'Studio', 'price': '$1,995'}, {'bedroom_type': '1 Bed', 'price': '$2,395'}, {'bedroom_type': '2 Beds', 'price': '$3,595'}]","686 E Union St, Pasadena, CA 91101",https://www.apartments.com/andalucia-luxury-townhomes-and-flats-pasadena-ca/388rgpg/,1 BA,525 Sq Ft,525,,Available Soon,,"$3,595",,"$1,995","$2,395",,,
