City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,3 Beds,2 Beds,4 Beds,1 Bed,Studio,5 Beds
Saratoga,Townhomes,CA,95070,"[{'bedroom_type': '3 Beds', 'price': '$4,50'}]","18875 Biarritz Ln, Saratoga, CA 95070",https://www.apartments.com/18875-biarritz-ln-saratoga-ca/y1g40yv/,2½ BAs,"2,000 Sq Ft","2,000",12 Month Lease,Available Now,"$4,50",,,,,
Santa Monica,Townhomes,CA,90403,"[{'bedroom_type': '3 Beds', 'price': '$4,99'}]","927 21st St, Santa Monica, CA 90403",https://www.apartments.com/927-21st-st-santa-monica-ca/jclz7c5/,2½ BAs,"1,759 Sq Ft","1,759",12 Month Lease,Available Now,"$4,99",,,,,
Oakland,Townhomes,CA,94607,"[{'bedroom_type': '3 Beds', 'price': '$3,97'}]","1425 Pullman Way, Oakland, CA 94607",https://www.apartments.com/1425-pullman-way-oakland-ca/wnb2ttk/,3½ BAs,"1,644 Sq Ft","1,644",12 Month Lease,Available Now,"$3,97",,,,,
Santa Monica,Townhomes,CA,90401,"[{'bedroom_type': '2 Beds', 'price': '$5,99'}]","1524 11th St, Santa Monica, CA 90401",https://www.apartments.com/1524-11th-st-santa-monica-ca/43wysjl/,3 BAs,"1,751 Sq Ft","1,751",12 Month Lease,Jan 11,,"$5,99",,,,
Los Angeles,Townhomes,CA,91604,"[{'bedroom_type': '4 Beds', 'price': '$4,25'}]","4357 Troost Ave, Los Angeles, CA 91604",https://www.apartments.com/4357-troost-ave-los-angeles-ca/12ll924/,3 BAs,"2,000 Sq Ft","2,000",12 Month Lease,Available Now,,,"$4,25",,,
San Jose,Townhomes,CA,95133,"[{'bedroom_type': '3 Beds', 'price': '$1,30'}]","333 Destino Cir, San Jose, CA 95133",https://www.apartments.com/333-destino-cir-san-jose-ca/49bjx8l/,2½ BAs,"1,700 Sq Ft","1,700",12 Month Lease,Available Now,"$1,30",,,,,
Palo Alto,Townhomes,CA,94301,"[{'bedroom_type': '3 Beds', 'price': '$5,65'}]","223 Ramona St, Palo Alto, CA 94301",https://www.apartments.com/223-ramona-st-palo-alto-ca/rxlyrc0/,3 BAs,"1,100 Sq Ft","1,100",,Available Now,"$5,65",,,,,
Los Angeles,Townhomes,CA,90291,"[{'bedroom_type': '2 Beds', 'price': '$5,99'}]","615 6th Ave, Los Angeles, CA 90291",https://www.apartments.com/615-6th-ave-los-angeles-ca/pdk862s/,2 BAs,"1,850 Sq Ft","1,850",12 Month Lease,Available Now,,"$5,99",,,,
Los Angeles,Townhomes,CA,90034,"[{'bedroom_type': '1 Bed', 'price': '$2,79'}]","3627 Dunn Dr, Los Angeles, CA 90034",https://www.apartments.com/3627-dunn-dr-los-angeles-ca/f4w4pwr/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,,,"$2,79",,
Oceanside,Townhomes,CA,92056,"[{'bedroom_type': '4 Beds', 'price': '$3,00'}]","1325 Via Lucero, Oceanside, CA 92056",https://www.apartments.com/1325-via-lucero-oceanside-ca/ee9sfbn/,3½ BAs,"1,824 Sq Ft","1,824",12 Month Lease,Available Now,,,"$3,00",,,
Los Angeles,Townhomes,CA,91605,"[{'bedroom_type': '2 Beds', 'price': '$2,79'}]","7757 Mary Ellen Ave, Los Angeles, CA 91605",https://www.apartments.com/7757-mary-ellen-ave-los-angeles-ca/p877n4t/,2½ BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,"$2,79",,,,
Gardena,Townhomes,CA,90247,"[{'bedroom_type': '3 Beds', 'price': '$2,20'}]","16118 S Ainsworth St, Gardena, CA 90247",https://www.apartments.com/16118-s-ainsworth-st-gardena-ca/dmj8nck/,1½ BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,"$2,20",,,,,
Oakland,Townhomes,CA,94607,"[{'bedroom_type': '2 Beds', 'price': '$3,37'}]","166 Uptown Cir, Oakland, CA 94607",https://www.apartments.com/166-uptown-cir-oakland-ca/d03nfnj/,2½ BAs,"1,350 Sq Ft","1,350",12 Month Lease,Available Now,,"$3,37",,,,
Agoura Hills,Townhomes,CA,91301,"[{'bedroom_type': '3 Beds', 'price': '$2,70'}]","28617 Conejo View Dr, Agoura Hills, CA 91301",https://www.apartments.com/28617-conejo-view-dr-agoura-hills-ca/y1hh5kr/,1½ BAs,"1,242 Sq Ft","1,242",12 Month Lease,Available Now,"$2,70",,,,,
Los Angeles,Townhomes,CA,90025,"[{'bedroom_type': '3 Beds', 'price': '$5,24'}]","1540 S Bentley Ave, Los Angeles, CA 90025",https://www.apartments.com/1540-s-bentley-ave-los-angeles-ca/el95p3p/,3 BAs,"1,740 Sq Ft","1,740",12 Month Lease,Mar 1,"$5,24",,,,,
Los Angeles,Townhomes,CA,90025,"[{'bedroom_type': '3 Beds', 'price': '$3,47'}]","1850 Midvale Ave, Los Angeles, CA 90025",https://www.apartments.com/1850-midvale-ave-los-angeles-ca/3b4xl3d/,3 BAs,"1,602 Sq Ft","1,602",12 Month Lease,Available Now,"$3,47",,,,,
Los Angeles,Townhomes,CA,90025,"[{'bedroom_type': '3 Beds', 'price': '$4,00'}]","1717 Armacost Ave, Los Angeles, CA 90025",https://www.apartments.com/1717-armacost-ave-los-angeles-ca/4hf638l/,2½ BAs,"1,870 Sq Ft","1,870",,Available Now,"$4,00",,,,,
Los Angeles,Townhomes,CA,90036,"[{'bedroom_type': '3 Beds', 'price': '$3,99'}]","539 N Spaulding Ave, Los Angeles, CA 90036",https://www.apartments.com/539-n-spaulding-ave-los-angeles-ca/ybwzx2s/,2 BAs,"1,250 Sq Ft","1,250",12 Month Lease,Available Now,"$3,99",,,,,
Los Angeles,Townhomes,CA,90038,"[{'bedroom_type': '1 Bed', 'price': '$2,19'}]","725 N Ridgewood Pl, Los Angeles, CA 90038",https://www.apartments.com/725-n-ridgewood-pl-los-angeles-ca/jxw13f7/,1 BA,950 Sq Ft,950,12 Month Lease,Available Now,,,,"$2,19",,
Pacific Palisades,Townhomes,CA,90272,"[{'bedroom_type': '3 Beds', 'price': '$6,60'}]","1546 Michael Ln, Pacific Palisades, CA 90272",https://www.apartments.com/1546-michael-ln-pacific-palisades-ca/v5t9h3d/,4 BAs,"2,550 Sq Ft","2,550",12 Month Lease,Available Now,"$6,60",,,,,
Los Angeles,Townhomes,CA,90068,"[{'bedroom_type': '2 Beds', 'price': '$4,50'}]","1911 Carmen Ave, Los Angeles, CA 90068",https://www.apartments.com/1911-carmen-ave-los-angeles-ca/nw3ng3n/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,"$4,50",,,,
Culver City,Townhomes,CA,90232,"[{'bedroom_type': '3 Beds', 'price': '$6,00'}]","4227 Ince Blvd, Culver City, CA 90232",https://www.apartments.com/4227-ince-blvd-culver-city-ca/m7bbqbh/,3½ BAs,"1,900 Sq Ft","1,900",12 Month Lease,Available Now,"$6,00",,,,,
Los Angeles,Townhomes,CA,90024,"[{'bedroom_type': '3 Beds', 'price': '$4,50'}]","10720 Ohio Ave, Los Angeles, CA 90024",https://www.apartments.com/10720-ohio-ave-los-angeles-ca/cd00nye/,3 BAs,"1,534 Sq Ft","1,534",12 Month Lease,Available Now,"$4,50",,,,,
Glendale,Townhomes,CA,91203,"[{'bedroom_type': '3 Beds', 'price': '$3,25'}]","638 W California Ave, Glendale, CA 91203",https://www.apartments.com/638-w-california-ave-glendale-ca/r4f6v12/,2½ BAs,"1,250 Sq Ft","1,250",12 Month Lease,Feb 1,"$3,25",,,,,
Glendale,Townhomes,CA,91206,"[{'bedroom_type': '2 Beds', 'price': '$2,40'}]","121 Sinclair Ave, Glendale, CA 91206",https://www.apartments.com/121-sinclair-ave-glendale-ca/0j2mlp3/,2 BAs,956 Sq Ft,956,12 Month Lease,Available Now,,"$2,40",,,,
