Listing_type,Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Zillow_price/sqft,House_website
Townhouse for sale,"$1,280,000","34352 Portia Ter, Fremont, CA 94555",34352 Portia Ter,Fremont,CA,94555,3,3,"1,755","3,070 sqft",3070.0,Townhouse,1987,"Garage, Garage - Attached, Covered",$330/mo,"$1,366,420",$729,https://www.zillow.com/homedetails/34352-Portia-Ter-Fremont-CA-94555/25054816_zpid/
Townhouse for sale,"$472,000","829 E Cassia Ln UNIT C, Azusa, CA 91702",829 E Cassia Ln UNIT C,Azusa,CA,91702,2,3,"1,302",0.85 Acres,37026.0,Townhouse,2012,"Garage - Attached, Covered",$328/mo,"$477,141",$363,https://www.zillow.com/homedetails/829-E-Cassia-Ln-UNIT-C-Azusa-CA-91702/119678902_zpid/
Townhouse for sale,"$310,000","3685 Vista Campana N UNIT 60, Oceanside, CA 92057",3685 Vista Campana N UNIT 60,Oceanside,CA,92057,2,2,"1,099","1,742 sqft",1742.0,Townhouse,1965,Covered,$385/mo,"$308,293",$282,https://www.zillow.com/homedetails/3685-Vista-Campana-N-UNIT-60-Oceanside-CA-92057/52504940_zpid/
New construction,"$396,880+","Residence 1 Plan, Indigo at Canvas Park at New Haven",Residence 1 Plan,IndigoatCanvasParkatNewHaven,null,null,2,2,"1,359",No Data,null,Townhouse,2021,Covered,null,null,$292,https://www.zillow.com/community/indigo-at-canvas-park-at-new-haven/2080441898_zpid/
New construction,"$815,000+","Plan 1 Plan, Uptown in Livermore",Plan 1 Plan,UptowninLivermore,null,null,3,3,"1,674",No Data,null,Townhouse,2020,Covered,null,null,$487,https://www.zillow.com/community/uptown-in-livermore/2077104728_zpid/
Townhouse for sale,"$595,000","488 Prosperity Dr, San Marcos, CA 92069",488 Prosperity Dr,SanMarcos,CA,92069,3,3,"2,066",6.71 Acres,292287.6,Townhouse,2017,"Garage - Attached, Covered",$242/mo,"$596,750",$288,https://www.zillow.com/homedetails/488-Prosperity-Dr-San-Marcos-CA-92069/241607652_zpid/
Townhouse for sale,"$779,000","5242 Vesper Ave APT 3, Sherman Oaks, CA 91411",5242 Vesper Ave APT 3,ShermanOaks,CA,91411,3,3,"1,949",0.36 Acres,15681.6,Townhouse,2000,"Garage - Attached, Covered",$420/mo,"$783,846",$400,https://www.zillow.com/homedetails/5242-Vesper-Ave-APT-3-Sherman-Oaks-CA-91411/54663042_zpid/
Townhouse for sale,"$675,000","25205 Avenida Tranquila #98, Lake Forest, CA 92630",25205 Avenida Tranquila #98,LakeForest,CA,92630,3,3,"1,534","2,500 sqft",2500.0,Townhouse,1985,"Garage, Garage - Attached, Covered",$362/mo,"$679,927",$440,https://www.zillow.com/homedetails/25205-Avenida-Tranquila-98-Lake-Forest-CA-92630/25774801_zpid/
Townhouse for sale,"$488,000","13952 Bishop Pine Ln #12, Garden Grove, CA 92843",13952 Bishop Pine Ln #12,GardenGrove,CA,92843,2,3,"1,310",No Data,null,Townhouse,1980,"Garage - Attached, Covered",$399/mo,null,$373,https://www.zillow.com/homedetails/13952-Bishop-Pine-Ln-12-Garden-Grove-CA-92843/2076746680_zpid/
New construction,"$605,600+","The Iris - Plan 3 Plan, Indigo Walk",The Iris - Plan 3 Plan,IndigoWalk,null,null,3,4,"1,561",No Data,null,Townhouse,2021,"Garage - Attached, Covered",$270/mo,null,$388,https://www.zillow.com/community/indigo-walk/2078037989_zpid/
