Listing_type,Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zillow_price/sqft,Zestimate,Rent_zestimate,House_website
,"$725,000","16934 Laurel Hill Ln UNIT 165, San Diego, CA 92127",16934 Laurel Hill Ln UNIT 165,SanDiego,CA,92127,2,3,"1,445",null,null,Apartment,2006,"Garage - Attached, Garage - Detached, Off-street, ",$185 monthly,$502,"$2,700/mo",null,https://www.zillow.com/homedetails/16934-Laurel-Hill-Ln-UNIT-165-San-Diego-CA-92127/67404429_zpid/
,"$500,000","1251 Parker Pl #4, San Diego, CA 92109",1251 Parker Pl #4,SanDiego,CA,92109,1,1,738,null,null,Apartment,1974,"Garage - Attached, ",$400 monthly,$678,"$573,323","$2,495/mo",https://www.zillow.com/homedetails/1251-Parker-Pl-4-San-Diego-CA-92109/2088693667_zpid/
,"$455,000","690 Cassaday Ct, San Jose, CA 95136",690 Cassaday Ct,SanJose,CA,95136,1,1,648,null,null,Apartment,1988,"Carport, Off-street, ",$460 monthly,$702,"$2,143/mo",null,https://www.zillow.com/homedetails/690-Cassaday-Ct-San-Jose-CA-95136/19706480_zpid/
,"$820,000","606 Linden Ct, Tehachapi, CA 93561",606 Linden Ct,Tehachapi,CA,93561,10,10,400,null,null,Apartment,1964,Garage - Detached,null,"$2,050",$900/mo,null,https://www.zillow.com/homedetails/606-Linden-Ct-Tehachapi-CA-93561/2099382236_zpid/
,"$820,000","606 Linden Ct #10, Tehachapi, CA 93561",606 Linden Ct #10,Tehachapi,CA,93561,10,10,"4,480",null,null,Apartment,1964,0 spaces,null,$183,null,null,https://www.zillow.com/homedetails/606-Linden-Ct-10-Tehachapi-CA-93561/2071784640_zpid/
,"$455,000","849 Pine Ave, Long Beach, CA 90813",849 Pine Ave,LongBeach,CA,90813,Studio,--,"1,450",null,null,Apartment,1926,No Data,null,$314,"$458,038","$2,500/mo",https://www.zillow.com/homedetails/849-Pine-Ave-Long-Beach-CA-90813/2132626049_zpid/
,"$1,400,000","1815 Old Mammoth Rd, Mammoth Lakes, CA 93546",1815 Old Mammoth Rd,MammothLakes,CA,93546,9,5,"2,600",null,null,Apartment,1963,Off-street,null,$538,"$2,650/mo",null,https://www.zillow.com/homedetails/1815-Old-Mammoth-Rd-Mammoth-Lakes-CA-93546/19228012_zpid/
,"$761,000","1651 W 215th St, Torrance, CA 90501",1651 W 215th St,Torrance,CA,90501,Studio,--,355,null,null,Apartment,1944,"Off-street, , Garage",$350 monthly,"$2,144","$801,948","$2,900/mo",https://www.zillow.com/homedetails/1651-W-215th-St-Torrance-CA-90501/21267603_zpid/
,"$429,000","425 Orange St APT 315, Oakland, CA 94610",425 Orange St APT 315,Oakland,CA,94610,1,1,559,null,null,Apartment,1966,"Garage, Garage - Attached, Off-street, Covered",$521 monthly,$767,"$1,995/mo",null,https://www.zillow.com/homedetails/425-Orange-St-APT-315-Oakland-CA-94610/24743453_zpid/
,"$526,000","1143 E Alvarado St, Pomona, CA 91767",1143 E Alvarado St,Pomona,CA,91767,Studio,--,"1,175",null,null,Apartment,1955,No Data,null,$448,"$530,267","$2,500/mo",https://www.zillow.com/homedetails/1143-E-Alvarado-St-Pomona-CA-91767/21506047_zpid/
,"$299,000","2017-2017 Juliesse Ave, Sacramento, CA 95821",2017-2017 Juliesse Ave,Sacramento,CA,95821,2,1,768,null,null,Apartment,1940,0 spaces,null,$389,null,null,https://www.zillow.com/homedetails/2017-2017-Juliesse-Ave-Sacramento-CA-95821/2072926708_zpid/
,"$845,000","1200 Harbor Dr N UNIT 5B, Oceanside, CA 92054",1200 Harbor Dr N UNIT 5B,Oceanside,CA,92054,2,2,"1,364",null,null,Apartment,1976,"Garage, Garage - Detached, Off-street, Covered",$577 monthly,$620,"$2,800/mo",null,https://www.zillow.com/homedetails/1200-Harbor-Dr-N-UNIT-5B-Oceanside-CA-92054/94694571_zpid/
,"$450,000","6229 Opus Ct, Citrus Heights, CA 95621",6229 Opus Ct,CitrusHeights,CA,95621,4,2,"1,876",null,null,Apartment,1999,"Garage, Garage - Attached, Covered",null,$240,"$2,295/mo",null,https://www.zillow.com/homedetails/6229-Opus-Ct-Citrus-Heights-CA-95621/25982354_zpid/
,"$888,000","425 Anchor Rd APT 207, San Mateo, CA 94404",425 Anchor Rd APT 207,SanMateo,CA,94404,2,1,950,null,null,Apartment,1980,"Garage - Detached, Off-street, Covered",$598 monthly,$935,"$2,495/mo",null,https://www.zillow.com/homedetails/425-Anchor-Rd-APT-207-San-Mateo-CA-94404/2082105407_zpid/
,"$335,000","5091 Emerald Brook Way, Sacramento, CA 95838",5091 Emerald Brook Way,Sacramento,CA,95838,3,2,"1,149",null,null,Apartment,1990,"Garage, Garage - Attached, Covered",null,$292,"$1,900/mo",null,https://www.zillow.com/homedetails/5091-Emerald-Brook-Way-Sacramento-CA-95838/26018152_zpid/
