Listing_type,Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Rent_zestimate,Zillow_price/sqft,House_website
COMPASS,"$1,650,000","5136 Highland View Ave, Los Angeles, CA 90041",5136 Highland View Ave,LosAngeles,CA,90041,--,--,--,null,null,MultiFamily,1922,"Driveway, Tandem",null,"$1,197,636","$2,380/mo",null,https://www.zillow.com/homedetails/5136-Highland-View-Ave-Los-Angeles-CA-90041/20845376_zpid/
,"$395,000","44232 Cedar Ave, Lancaster, CA 93534",44232 Cedar Ave,Lancaster,CA,93534,5,3,"2,208",null,null,MultiFamily,1954,0 spaces,null,"$410,843","$2,400/mo",$179,https://www.zillow.com/homedetails/44232-Cedar-Ave-Lancaster-CA-93534/20293233_zpid/
CENTURY 21 A BETTER SERVICE,"$650,000","8559 Rose St, Bellflower, CA 90706",8559 Rose St,Bellflower,CA,90706,--,--,"1,670",null,null,MultiFamily,1963,Garage,null,"$690,910","$2,500/mo",$389,https://www.zillow.com/homedetails/8559-Rose-St-Bellflower-CA-90706/21172858_zpid/
,"$150,000","2554 Olive Dr APT 28, Palmdale, CA 93550",2554 Olive Dr APT 28,Palmdale,CA,93550,1,1,527,null,null,MultiFamily,1986,0 spaces,null,"$1,810/mo",null,$285,https://www.zillow.com/homedetails/2554-Olive-Dr-APT-28-Palmdale-CA-93550/20270591_zpid/
BERKSHIRE HATHAWAY HOMESERVICE,"$599,900","6561 Ferguson Dr, Commerce, CA 90022",6561 Ferguson Dr,Commerce,CA,90022,--,--,"1,500",null,null,MultiFamily,1949,Garage,null,"$627,872","$2,200/mo",$400,https://www.zillow.com/homedetails/6561-Ferguson-Dr-Commerce-CA-90022/21086901_zpid/
"CORCORAN GLOBAL LIVING, David W. Gowan","$3,600,000","528 Noe St #530, San Francisco, CA 94114",528 Noe St #530,SanFrancisco,CA,94114,2,--,"2,500",null,null,MultiFamily,1900,No Data,null,null,null,"$1,440",https://www.zillow.com/homedetails/528-Noe-St-530-San-Francisco-CA-94114/2071523012_zpid/
"PREMIER REAL ESTATE BROKER, INC.","$595,000","3157 Flower St, Huntington Park, CA 90255",3157 Flower St,HuntingtonPark,CA,90255,--,--,--,null,null,MultiFamily,1927,"Carport, Driveway",null,"$649,517","$2,850/mo",null,https://www.zillow.com/homedetails/3157-Flower-St-Huntington-Park-CA-90255/21030573_zpid/
CENTURY 21 A BETTER SERVICE,"$619,950","4053 San Carlos St, Los Angeles, CA 90063",4053 San Carlos St,LosAngeles,CA,90063,--,--,892,null,null,MultiFamily,1909,No Data,null,"$652,892",null,$695,https://www.zillow.com/homedetails/4053-San-Carlos-St-Los-Angeles-CA-90063/2071610965_zpid/
THE GLEN REALTY,"$281,000","7375 Dumosa Ave, Yucca Valley, CA 92284",7375 Dumosa Ave,YuccaValley,CA,92284,--,--,"1,700",null,null,MultiFamily,1977,"Direct Access, Concrete, Garage, Garage - Single Door, Shared Driveway",null,"$298,440","$1,100/mo",$165,https://www.zillow.com/homedetails/7375-Dumosa-Ave-Yucca-Valley-CA-92284/17491693_zpid/
,"$250,000","225 Beardsley Ave, Bakersfield, CA 93308",225 Beardsley Ave,Bakersfield,CA,93308,--,--,"1,392",null,null,MultiFamily,1964,Other,null,"$250,002","$1,050/mo",$180,https://www.zillow.com/homedetails/225-Beardsley-Ave-Bakersfield-CA-93308/18922683_zpid/
,"$165,000","1124 Quincy St, Bakersfield, CA 93305",1124 Quincy St,Bakersfield,CA,93305,--,--,"1,208",null,null,MultiFamily,1945,Carport,null,"$165,001",$995/mo,$137,https://www.zillow.com/homedetails/1124-Quincy-St-Bakersfield-CA-93305/18929311_zpid/
,"$750,000","651 Salinas Rd, San Juan Bautista, CA 95045",651 Salinas Rd,SanJuanBautista,CA,95045,--,--,"2,121",null,null,MultiFamily,1905,"Carport, Garage - Attached, Off-street",null,"$750,007",null,$354,https://www.zillow.com/homedetails/651-Salinas-Rd-San-Juan-Bautista-CA-95045/2071656972_zpid/
NATIONWIDE REAL ESTATE EXECS,"$575,900","2237 E Harding St, Long Beach, CA 90805",2237 E Harding St,LongBeach,CA,90805,4,2,"1,330",null,null,MultiFamily,1958,Garage - Attached,null,"$601,723","$2,200/mo",$433,https://www.zillow.com/homedetails/2237-E-Harding-St-Long-Beach-CA-90805/21148905_zpid/
