Listing_type,Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Rent_zestimate,Zillow_price/sqft,House_website
,"$545,990+","Residence Three Plan, The Landings : Waypoint",Residence Three Plan,TheLandings:Waypoint,null,null,3,3,"1,668",No Data,null,Townhouse,2021,No Data,null,null,null,$327,https://www.zillow.com/community/landings-waypoint/2082500938_zpid/
,"$1,387,995+","Sage Plan, Parkside at Tarob Court",Sage Plan,ParksideatTarobCourt,null,null,3,3,"1,849",No Data,null,Townhouse,2021,No Data,null,null,null,$751,https://www.zillow.com/community/parkside-at-tarob-court/2078462623_zpid/
,"$1,035,880+","Residence Four Plan, Boulevard : Downing",Residence Four Plan,Boulevard:Downing,null,null,4,3,"2,492",No Data,null,Townhouse,2021,No Data,null,null,null,$416,https://www.zillow.com/community/boulevard-downing/2083235827_zpid/
,"$1,341,995+","A-4 Plan, Avella at Civita",A-4 Plan,AvellaatCivita,null,null,3,4,"2,346",No Data,null,Townhouse,2021,No Data,null,null,null,$572,https://www.zillow.com/community/avella-at-civita/2071905647_zpid/
,"$890,000","5533 Esprit Way, Dublin, CA 94568",5533 Esprit Way,Dublin,CA,94568,4,3,"1,753",No Data,null,Townhouse,2015,"Garage Door Opener, Attached",$189 monthly,"$976,047","$3,500/mo",$508,https://www.zillow.com/homedetails/5533-Esprit-Way-Dublin-CA-94568/153093918_zpid/
EXP REALTY OF CALIFORNIA INC,"$369,999","24707 6th St, San Bernardino, CA 92410",24707 6th St,SanBernardino,CA,92410,4,3,"1,368",No Data,null,Townhouse,2021,"Garage Faces Rear, Oversized",$199 monthly,"$370,076",null,$270,https://www.zillow.com/homedetails/24707-6th-St-San-Bernardino-CA-92410/2077118469_zpid/
,"$915,000+","Plan 3 Plan, Copperleaf at IronRidge",Plan 3 Plan,CopperleafatIronRidge,null,null,3,4,"1,800",No Data,null,Townhouse,2021,No Data,null,null,null,$508,https://www.zillow.com/community/copperleaf-at-ironridge/2085330665_zpid/
,"$2,125,000+","Portico Plan 4 Plan, Portico",Portico Plan 4 Plan,Portico,null,null,4,4,"1,887",No Data,null,Townhouse,2021,"Garage - Attached, ",$403 monthly,null,null,"$1,126",https://www.zillow.com/community/portico/2076758016_zpid/
,"$642,763+","Aria Plan, Barcelona",Aria Plan,Barcelona,null,null,2,2,"1,295",No Data,null,Townhouse,2021,No Data,null,null,null,$496,https://www.zillow.com/community/barcelona/2084312588_zpid/
,"$779,900+","Residence 2 Plan, Pacific Village : The Pavilion",Residence 2 Plan,PacificVillage:ThePavilion,null,null,3,3,"1,716",No Data,null,Townhouse,2021,No Data,null,null,null,$454,https://www.zillow.com/community/pacific-village-pavilion/2082444743_zpid/
