1 bed,2 beds,3 beds,Property_Name_Rent,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Studio,4 beds
3990.0,2557.0,10000.0,Vendome Place Apartments,San Jose,Apartment,CA,95110,"750 Miller St, San Jose, CA 95110",https://www.apartments.com/vendome-place-apartments-san-jose-ca/y8trhss/,,
3600.0,6000.0,,NEMA,San Francisco,Apartment,CA,94103,"8 10th St, San Francisco, CA 94103",https://www.apartments.com/nema-san-francisco-ca/8z5g891/,2700.0,
,2300.0,,The Crossings at Redlands,Redlands,Apartment,CA,92374,"26000 W Lugonia Ave, Redlands, CA 92374",https://www.apartments.com/the-crossings-at-redlands-redlands-ca/zl42wsx/,,
2350.0,1150.0,1100.0,The Grad- by the bed leasing- Student,San Jose,Apartment,CA,95112,"88 E San Carlos St, San Jose, CA 95112",https://www.apartments.com/the-grad-by-the-bed-leasing-student-san-jose-ca/zztcsmx/,,1075.0
1925.0,2475.0,2850.0,The Core Natomas,Sacramento,Apartment,CA,95833,"2745 Orchard Ln, Sacramento, CA 95833",https://www.apartments.com/the-core-natomas-sacramento-ca/tsb4xy9/,,
,,,Atrium Garden Studios,San Jose,Apartment,CA,95112,"1536 Kerley Dr, San Jose, CA 95112",https://www.apartments.com/atrium-garden-studios-san-jose-ca/vpbngfe/,1450.0,
1617.0,1800.0,2012.0,Sunset Ridge Apartments,Lancaster,Apartment,CA,93534,"43436 16th St W, Lancaster, CA 93534",https://www.apartments.com/sunset-ridge-apartments-lancaster-ca/jhpsfm6/,,
2445.0,3275.0,,Anton Aspire,Milpitas,Apartment,CA,95035,"1828 S Milpitas Blvd, Milpitas, CA 95035",https://www.apartments.com/anton-aspire-milpitas-ca/ptmtmtt/,2495.0,
2075.0,2365.0,,Solana at Grand,Escondido,Apartment,CA,92027,"1501 E Grand Ave, Escondido, CA 92027",https://www.apartments.com/solana-at-grand-escondido-ca/gp0gp1y/,,
2250.0,2680.0,,The Summit at Chino Hills,Chino Hills,Apartment,CA,91709,"2400 Ridgeview Dr, Chino Hills, CA 91709",https://www.apartments.com/the-summit-at-chino-hills-chino-hills-ca/m9e7x7j/,,
2470.0,2849.0,,River Terrace,Santa Clara,Apartment,CA,95054,"730-730 Agnew Rd, Santa Clara, CA 95054",https://www.apartments.com/river-terrace-santa-clara-ca/dcr4v1l/,,
,2666.0,,Park Bonita,Bonita,Apartment,CA,91902,"3511-3549 Valley Rd, Bonita, CA 91902",https://www.apartments.com/park-bonita-bonita-ca/yx7nyqv/,,
1609.0,2057.0,,Hollypark Knolls,Inglewood,Apartment,CA,90305,"3120 Hollypark Dr, Inglewood, CA 90305",https://www.apartments.com/hollypark-knolls-inglewood-ca/3k3yh1f/,1655.0,
2515.0,3024.0,3608.0,Almaden Lake Village,San Jose,Apartment,CA,95123,"1045 Coleman Rd, San Jose, CA 95123",https://www.apartments.com/almaden-lake-village-san-jose-ca/wg4vqjk/,,
