1 bed,2 beds,Property_Name_Rent,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Studio,3 beds,6 beds,4 beds
2075.0,2365.0,Solana at Grand,Escondido,Apartment,CA,92027,"1501 E Grand Ave, Escondido, CA 92027",https://www.apartments.com/solana-at-grand-escondido-ca/gp0gp1y/,,,,
2250.0,2680.0,The Summit at Chino Hills,Chino Hills,Apartment,CA,91709,"2400 Ridgeview Dr, Chino Hills, CA 91709",https://www.apartments.com/the-summit-at-chino-hills-chino-hills-ca/m9e7x7j/,,,,
2470.0,2849.0,River Terrace,Santa Clara,Apartment,CA,95054,"730-730 Agnew Rd, Santa Clara, CA 95054",https://www.apartments.com/river-terrace-santa-clara-ca/dcr4v1l/,,,,
,2666.0,Park Bonita,Bonita,Apartment,CA,91902,"3511-3549 Valley Rd, Bonita, CA 91902",https://www.apartments.com/park-bonita-bonita-ca/yx7nyqv/,,,,
1609.0,2057.0,Hollypark Knolls,Inglewood,Apartment,CA,90305,"3120 Hollypark Dr, Inglewood, CA 90305",https://www.apartments.com/hollypark-knolls-inglewood-ca/3k3yh1f/,1655.0,,,
2515.0,3024.0,Almaden Lake Village,San Jose,Apartment,CA,95123,"1045 Coleman Rd, San Jose, CA 95123",https://www.apartments.com/almaden-lake-village-san-jose-ca/wg4vqjk/,,3608.0,,
2619.0,,Amerige Pointe,Fullerton,Apartment,CA,92833,"1001 Starbuck St, Fullerton, CA 92833",https://www.apartments.com/amerige-pointe-fullerton-ca/zg4cdhy/,,,,
,,Strada Apartments,Orange,Apartment,CA,92868,"175 N Feldner Rd, Orange, CA 92868",https://www.apartments.com/strada-apartments-orange-ca/x9168vq/,,,,
2549.0,,Bixby,Santa Monica,Apartment,CA,90404,"1502 Broadway St, Santa Monica, CA 90404",https://www.apartments.com/bixby-santa-monica-ca/r9x0m12/,2700.0,,,
2440.0,2835.0,IMT Sorrento Valley,San Diego,Apartment,CA,92126,"11102 Caminito Alvarez, San Diego, CA 92126",https://www.apartments.com/imt-sorrento-valley-san-diego-ca/4qcr42h/,,,,
1799.0,,Concord Square Apartments,Reseda,Apartment,CA,91335,"18014 Sherman Way, Reseda, CA 91335",https://www.apartments.com/concord-square-apartments-reseda-ca/ehgljyn/,1538.0,,,
2385.0,3165.0,Brittany Apartment Homes,Irvine,Apartment,CA,92618,"100 Saint Vincent, Irvine, CA 92618",https://www.apartments.com/brittany-apartment-homes-irvine-ca/fdrvrht/,,,,
2685.0,3475.0,The Village at Irvine Spectrum,Irvine,Apartment,CA,92618,"25 Pacifica, Irvine, CA 92618",https://www.apartments.com/the-village-at-irvine-spectrum-irvine-ca/9vd52b4/,2210.0,,,
2170.0,2710.0,Avalon Woodland Hills,Woodland Hills,Apartment,CA,91364,"20544 Ventura Blvd, Woodland Hills, CA 91364",https://www.apartments.com/avalon-woodland-hills-woodland-hills-ca/1evzbv7/,,,,
1995.0,2195.0,Monte Bello Apartments,Sacramento,Apartment,CA,95826,"4001 S Watt Ave, Sacramento, CA 95826",https://www.apartments.com/monte-bello-apartments-sacramento-ca/w20x6lj/,,,,
,1795.0,Mariposa Apartment Homes,Vista,Apartment,CA,92083,"221 Smilax Rd, Vista, CA 92083",https://www.apartments.com/mariposa-apartment-homes-vista-ca/8hhl3r1/,,,,
,,Gold Coast Apartments,San Diego,Apartment,CA,92126,"9585 Gold Coast Dr, San Diego, CA 92126",https://www.apartments.com/gold-coast-apartments-san-diego-ca/zl5sdkz/,,,,
2609.0,2767.0,Riva Terra Apartments at Redwood Shores,Redwood City,Apartment,CA,94065,"850 Davit Ln, Redwood City, CA 94065",https://www.apartments.com/riva-terra-apartments-at-redwood-shores-redwood-city-ca/zqcdrtw/,,,,
2580.0,4010.0,Joule La Floresta,Brea,Apartment,CA,92823,"420 La Crescenta Dr, Brea, CA 92823",https://www.apartments.com/joule-la-floresta-brea-ca/qt47l1y/,,,,
3485.0,3145.0,Vue,San Pedro,Apartment,CA,90731,"255 W 5th St, San Pedro, CA 90731",https://www.apartments.com/vue-san-pedro-ca/6fqh39t/,,4135.0,,
2640.0,3035.0,The Oasis Anaheim,Anaheim,Apartment,CA,92806,"3530-3560 E La Palma Ave, Anaheim, CA 92806",https://www.apartments.com/the-oasis-anaheim-anaheim-ca/2qs6588/,,,,
2025.0,2350.0,Coliseum Connections,Oakland,Apartment,CA,94621,"805 N 71st Ave, Oakland, CA 94621",https://www.apartments.com/coliseum-connections-oakland-ca/1n0krn4/,,,,
