1 bed,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,2 beds,Studio,5 beds,3 beds,4 beds
2350.0,Berkeley,Condos,CA,94703,"1654 Dwight Way Berkeley, CA 94703",https://www.apartments.com/1654-dwight-way-berkeley-ca/9xvdt34/,1 bath,600 sq ft,600,,,,,
,San Rafael,Condos,CA,94903,"72 Surrey Ln Unit 72 Surrey San Rafael, CA 94903",https://www.apartments.com/72-surrey-ln-san-rafael-ca-unit-72-surrey/68k1kqt/,2 baths,983 sq ft,983,4000.0,,,,
,Los Angeles,Condos,CA,90015,"1050 S Grand Ave Unit 2105 Los Angeles, CA 90015",https://www.apartments.com/1050-s-grand-ave-los-angeles-ca-unit-2105/25q34eb/,2.5 baths,"2,150 sq ft","2,150",11950.0,,,,
1995.0,Berkeley,Condos,CA,94703,"1826 Alcatraz Ave Berkeley, CA 94703",https://www.apartments.com/1826-alcatraz-ave-berkeley-ca/gyfb7yz/,1 bath,600 sq ft,600,,1795.0,,,
2450.0,Berkeley,Condos,CA,94703,"1590 Oregon St Berkeley, CA 94703",https://www.apartments.com/1590-oregon-st-berkeley-ca/b51ndl8/,1 bath,800 sq ft,800,2850.0,,,,
,Inglewood,Condos,CA,90301,"428 W Queen St Unit 3 Inglewood, CA 90301",https://www.apartments.com/428-w-queen-st-inglewood-ca-unit-3/6y0pest/,2 baths,"1,089 sq ft","1,089",2400.0,,,,
,Los Angeles,Condos,CA,90039,"2974 Ripple Pl Unit 201 Los Angeles, CA 90039",https://www.apartments.com/2974-ripple-pl-los-angeles-ca-unit-201/dq2yn1l/,3 baths,"2,010 sq ft","2,010",,,4750.0,,
,Long Beach,Condos,CA,90803,"5432 E Sorrento Dr Long Beach, CA 90803",https://www.apartments.com/5432-e-sorrento-dr-long-beach-ca/2qtsyz9/,1 bath,343 sq ft,343,,1850.0,,,
,San Luis Obispo,Condos,CA,93405,"1527 Royal Way Unit 1 San Luis Obispo, CA 93405",https://www.apartments.com/1527-royal-way-san-luis-obispo-ca-unit-1/btn67vc/,2 baths,"1,100 sq ft","1,100",2450.0,,,,
1950.0,Los Angeles,Condos,CA,90025,"1722 Armacost Ave Los Angeles, CA 90025",https://www.apartments.com/1722-armacost-ave-los-angeles-ca/w1rk20h/,1 bath,700 sq ft,700,,,,,
,Beverly Hills,Condos,CA,90212,"211 S Spalding Dr Unit S 305 Beverly Hills, CA 90212",https://www.apartments.com/211-s-spalding-dr-beverly-hills-ca-unit-s-305/92tehm6/,2.5 baths,"2,100 sq ft","2,100",5890.0,,,,
2800.0,San Mateo,Condos,CA,94401,"943 N Idaho St San Mateo, CA 94401",https://www.apartments.com/943-n-idaho-st-san-mateo-ca/1htpcf4/,1 bath,700 sq ft,700,,,,,
2975.0,Los Angeles,Condos,CA,90024,"1284 Devon Ave Los Angeles, CA 90024",https://www.apartments.com/1284-devon-ave-los-angeles-ca/bk7ncx9/,1 bath,900 sq ft,900,,,,,
2450.0,Santa Monica,Condos,CA,90403,"823 5th St Santa Monica, CA 90403",https://www.apartments.com/823-5th-st-santa-monica-ca/jfr3bh5/,1 bath,800 sq ft,800,,,,,
2595.0,Santa Monica,Condos,CA,90403,"830 20th St Santa Monica, CA 90403",https://www.apartments.com/830-20th-st-santa-monica-ca/fvb72zs/,1 bath,750 sq ft,750,,,,,
,Santa Monica,Condos,CA,90405,"920 Marine St Santa Monica, CA 90405",https://www.apartments.com/920-marine-st-santa-monica-ca/fz5lc3r/,1.5 baths,950 sq ft,950,3535.0,,,,
,Sunnyvale,Condos,CA,94085,"686 Borregas Ave Sunnyvale, CA 94085",https://www.apartments.com/686-borregas-ave-sunnyvale-ca/sj29r65/,2 baths,"1,600 sq ft","1,600",,,,5000.0,
,Los Angeles,Condos,CA,90045,"8421 Barnsley Ave Los Angeles, CA 90045",https://www.apartments.com/8421-barnsley-ave-los-angeles-ca/k2xv0qb/,1 bath,"1,000 sq ft","1,000",,,,3400.0,
,Los Angeles,Condos,CA,91367,"5500 Owensmouth Ave Unit 201 5500 Owensmouth Ave, Los Angeles, CA 91367",https://www.apartments.com/5500-owensmouth-ave-los-angeles-ca-unit-201/c169r3e/,2 baths,960 sq ft,960,2400.0,,,,
