2 beds,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,3 beds,4 beds,1 bed,Studio,5 beds
2825.0,Mountain View,Condos,CA,94040,"191 Showers Dr Mountain View, CA 94040",https://www.apartments.com/191-showers-dr-mountain-view-ca/p1wtqls/,1 bath,675 sq ft,675,,,,,
,San Francisco,Condos,CA,94110,"3468 Mission St San Francisco, CA 94110",https://www.apartments.com/3468-mission-st-san-francisco-ca/1r5ldm6/,2 baths,850 sq ft,850,3650.0,,,,
,Santa Monica,Condos,CA,90403,"933 6th St Santa Monica, CA 90403",https://www.apartments.com/933-6th-st-santa-monica-ca/ngc7l4m/,2 baths,"1,400 sq ft","1,400",5100.0,,,,
,LOS ANGELES,Condos,CA,90035,"907 S SHENANDOAH St LOS ANGELES, CA 90035",https://www.apartments.com/907-s-shenandoah-st-los-angeles-ca-unit-102/1ys82v7/,3 baths,"1,800 sq ft","1,800",,6200.0,,,
,Oakland,Condos,CA,94607,"585 Ninth Street Oakland, CA 94607",https://www.apartments.com/585-ninth-street-oakland-ca/sb9wfn7/,1 bath,721 sq ft,721,,,2500.0,,
,Palm Desert,Condos,CA,92260,"73729 Desert Vista Ct Palm Desert, CA 92260",https://www.apartments.com/73729-desert-vista-ct-palm-desert-ca/klw23jb/,1.5 baths,"1,008 sq ft","1,008",,,2000.0,,
,San Francisco,Condos,CA,94122,"1475 48th Ave San Francisco, CA 94122",https://www.apartments.com/1475-48th-ave-san-francisco-ca/wxmy0jk/,1 bath,500 sq ft,500,,,2000.0,,
1995.0,San Gabriel,Condos,CA,91776,"220 St Francis St San Gabriel, CA 91776",https://www.apartments.com/220-st-francis-st-san-gabriel-ca/4derg1k/,1 bath,925 sq ft,925,,,,,
2025.0,San Gabriel,Condos,CA,91776,"315 Broadway E San Gabriel, CA 91776",https://www.apartments.com/315-broadway-e-san-gabriel-ca/gxwdb4z/,2 baths,"1,000 sq ft","1,000",,,,,
2400.0,Santa Paula,Condos,CA,93060,"1155 Richmond Rd Santa Paula, CA 93060",https://www.apartments.com/1155-richmond-rd-santa-paula-ca/bgks8b9/,1 bath,900 sq ft,900,,,,,
,Vallejo,Condos,CA,94589,"1333 N Camino Alto Vallejo, CA 94589",https://www.apartments.com/1333-n-camino-alto-vallejo-ca/yn9pqgv/,1 bath,642 sq ft,642,,,1650.0,,
2700.0,Los Angeles,Condos,CA,90016,"5180 Village Grn Los Angeles, CA 90016",https://www.apartments.com/5180-village-grn-los-angeles-ca-unit-5180/n18n97q/,1 bath,826 sq ft,826,,,,,
1247.0,Playa Del Rey,Condos,CA,90293,"8050 Redlands St Playa Del Rey, CA 90293",https://www.apartments.com/8050-redlands-st-playa-del-rey-ca/xjb616n/,2 baths,"1,200 sq ft","1,200",,,,,
3800.0,Los Angeles,Condos,CA,90067,"2160 Century Park E Los Angeles, CA 90067",https://www.apartments.com/2160-century-park-e-los-angeles-ca/4l11yfk/,2 baths,"1,085 sq ft","1,085",,,,,
2400.0,Oakland,Condos,CA,94606,"2416 8th Ave Oakland, CA 94606",https://www.apartments.com/2416-8th-ave-oakland-ca/hdq4mp2/,1 bath,"1,000 sq ft","1,000",,,,,
,Long Beach,Condos,CA,90802,"834 E 4th St Long Beach, CA 90802",https://www.apartments.com/834-e-4th-st-long-beach-ca-unit-17/59l6m9q/,1.5 baths,950 sq ft,950,,,2500.0,,
,Fountain Valley,Condos,CA,92708,"17200 Newhope St Fountain Valley, CA 92708",https://www.apartments.com/17200-newhope-st-fountain-valley-ca-unit-27-a/vm0rtlf/,1 bath,"1,150 sq ft","1,150",,,2345.0,,
,Sunnyvale,Condos,CA,94087,"880 E Fremont Ave Sunnyvale, CA 94087",https://www.apartments.com/880-e-fremont-ave-sunnyvale-ca-unit-706/p8hjjgt/,2 baths,"1,090 sq ft","1,090",3300.0,,,,
3195.0,West Hollywood,Condos,CA,90069,"884 Palm Ave West Hollywood, CA 90069",https://www.apartments.com/884-palm-ave-west-hollywood-ca/t7slvwc/,2 baths,"1,350 sq ft","1,350",4500.0,,,,
,Modesto,Condos,CA,95350,"2700 Mac Dougal St Modesto, CA 95350",https://www.apartments.com/2700-mac-dougal-st-modesto-ca-unit-23/3f26zke/,1 bath,658 sq ft,658,,,1450.0,,
,San Francisco,Condos,CA,94110,"831 San Jose Ave San Francisco, CA 94110",https://www.apartments.com/831-san-jose-ave-san-francisco-ca/2be6mz9/,2.5 baths,"2,750 sq ft","2,750",,6995.0,,,
,Roseville,Condos,CA,95678,"508 Grove St Roseville, CA 95678",https://www.apartments.com/508-grove-st-roseville-ca/4qcptyk/,1 bath,450 sq ft,450,,,1800.0,,
,Riverside,Condos,CA,92507,"1079 Center St Riverside, CA 92507",https://www.apartments.com/1079-center-st-riverside-ca/e9f20sn/,1 bath,300 sq ft,300,,,,1025.0,
1920.0,Corona,Condos,CA,92882,"1545 Border Ave Corona, CA 92882",https://www.apartments.com/1545-border-ave-corona-ca-unit-d/51yjmsq/,2 baths,"1,035 sq ft","1,035",,,,,
,Los Gatos,Condos,CA,95030,"352 W Main St Los Gatos, CA 95030",https://www.apartments.com/352-w-main-st-los-gatos-ca/32l2l3f/,1 bath,462 sq ft,462,,,,1850.0,
