1 bed,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Studio,3 beds,2 beds,4 beds,6 beds,5 beds
2500,San Diego,Condos,CA,92122,"4095 Rosenda Ct San Diego, CA 92122",https://www.apartments.com/4095-rosenda-ct-san-diego-ca-unit-256/gqvjhrx/,1 bath,695 sq ft,695,,,,,,
2100,San Jose,Condos,CA,95123,"699 Azule Ave San Jose, CA 95123",https://www.apartments.com/699-azule-ave-san-jose-ca/9wqz3m7/,1 bath,"1,000 sq ft","1,000",,,,,,
,Oakland,Condos,CA,94612,"1925 Martin Luther King Jr Way Oakland, CA 94612",https://www.apartments.com/1925-martin-luther-king-jr-way-oakland-ca/sfctnr5/,1 bath,260 sq ft,260,1595,,,,,
2700,Glendale,Condos,CA,91205,"1427 Columbia Dr Glendale, CA 91205",https://www.apartments.com/1427-columbia-dr-glendale-ca/142tlm7/,1 bath,910 sq ft,910,,,,,,
,San Jose,Condos,CA,95131,"1344 Fairway Entrance Dr San Jose, CA 95131",https://www.apartments.com/1344-fairway-entrance-dr-san-jose-ca-unit-1344/33lfvcd/,2 baths,"1,204 sq ft","1,204",,2880,,,,
2350,Berkeley,Condos,CA,94703,"1626 Dwight Way Berkeley, CA 94703",https://www.apartments.com/1626-dwight-way-berkeley-ca/qw5k54y/,1 bath,600 sq ft,600,,,,,,
1700,Santa Clarita,Condos,CA,91351,"27240 Luther Dr Santa Clarita, CA 91351",https://www.apartments.com/27240-luther-dr-santa-clarita-ca-unit-509/889gzl3/,1 bath,652 sq ft,652,,,,,,
,Pleasanton,Condos,CA,94566,"187 Old Bernal Ave Pleasanton, CA 94566",https://www.apartments.com/187-old-bernal-ave-pleasanton-ca/c6s33ef/,1 bath,950 sq ft,950,,,2300,,,
,Sherman Oaks,Condos,CA,91401,"5860 Hazeltine Ave Sherman Oaks, CA 91401",https://www.apartments.com/5860-hazeltine-ave-sherman-oaks-ca/kmxfxsc/,2 baths,"1,750 sq ft","1,750",,3300,,,,
1600,San Diego,Condos,CA,92106,"3312 Avenida De Portugal San Diego, CA 92106",https://www.apartments.com/3312-avenida-de-portugal-san-diego-ca/4pgdznj/,1 bath,700 sq ft,700,,,,,,
,Huntington Beach,Condos,CA,92648,"420 Lake St Huntington Beach, CA 92648",https://www.apartments.com/420-lake-st-huntington-beach-ca-unit-301/q6p2trx/,2 baths,"1,118 sq ft","1,118",,,3800,,,
1995,Glendale,Condos,CA,91208,"1935 Alpha Rd Glendale, CA 91208",https://www.apartments.com/1935-alpha-rd-glendale-ca-unit-341/l8ghtqd/,1 bath,700 sq ft,700,,,,,,
,Bermuda Dunes,Condos,CA,92203,"41590 Maroon Town Rd Bermuda Dunes, CA 92203",https://www.apartments.com/41590-maroon-town-rd-bermuda-dunes-ca/475k0rk/,2 baths,"1,100 sq ft","1,100",,,1495,,,
1750,Fremont,Condos,CA,94539,"270 Franciscan Ct Fremont, CA 94539",https://www.apartments.com/270-franciscan-ct-fremont-ca/tfr9qn9/,1 bath,650 sq ft,650,,,,,,
,Oroville,Condos,CA,95965,"1150 Pine St Oroville, CA 95965",https://www.apartments.com/1150-pine-st-oroville-ca/8k4qne0/,1 bath,804 sq ft,804,,,995,,,
,Emerald Hills,Condos,CA,94062,"819 Villa Vista St Emerald Hills, CA 94062",https://www.apartments.com/819-villa-vista-st-emerald-hills-ca/60brcwr/,1 bath,500 sq ft,500,2290,,,,,
,Pasadena,Condos,CA,91107,"1280 N Altadena Dr Pasadena, CA 91107",https://www.apartments.com/1280-n-altadena-dr-pasadena-ca/j8ydvg4/,1 bath,950 sq ft,950,,,1900,,,
1300,Garden Grove,Condos,CA,92841,"7761 Devonwood Ave Garden Grove, CA 92841",https://www.apartments.com/7761-devonwood-ave-garden-grove-ca/gppx09z/,1 bath,500 sq ft,500,,,,,,
,Los Angeles,Condos,CA,90731,"2424 S Carolina St Los Angeles, CA 90731",https://www.apartments.com/2424-s-carolina-st-los-angeles-ca/y2g4z5t/,1 bath,900 sq ft,900,,,2020,,,
,Sunnyvale,Condos,CA,94086,"127 North Murphy Avenue Sunnyvale, CA 94086",https://www.apartments.com/127-north-murphy-avenue-sunnyvale-ca/607j9wr/,2 baths,"1,230 sq ft","1,230",,4400,,,,
,Sausalito,Condos,CA,94965,"41 Anchorage Rd Sausalito, CA 94965",https://www.apartments.com/41-anchorage-rd-sausalito-ca-unit-41/hsvsb30/,2 baths,976 sq ft,976,,,3300,,,
2000,Palm Springs,Condos,CA,92262,"351 N Hermosa Dr Palm Springs, CA 92262",https://www.apartments.com/351-n-hermosa-dr-palm-springs-ca-unit-4c2/n0dcn1q/,1 bath,700 sq ft,700,,,,,,
1750,Torrance,Condos,CA,90502,"812 Coriander Dr Torrance, CA 90502",https://www.apartments.com/812-coriander-dr-torrance-ca-unit-q/5rpwvnq/,1 bath,639 sq ft,639,,,,,,
,Oakland,Condos,CA,94610,"849 York Street Oakland, CA 94610",https://www.apartments.com/849-york-street-oakland-ca/tg8dmz8/,1 bath,800 sq ft,800,,,2675,,,
2495,Pismo Beach,Condos,CA,93449,"371 Pismo Ave Pismo Beach, CA 93449",https://www.apartments.com/371-pismo-ave-pismo-beach-ca/84b1n12/,1 bath,600 sq ft,600,,,,,,
,Sausalito,Condos,CA,94965,"65A Park Cir Sausalito, CA 94965",https://www.apartments.com/65a-park-cir-sausalito-ca/cmj2z2g/,1 bath,800 sq ft,800,,,2985,,,
,San Pedro,Condos,CA,90731,"734 W 25th St San Pedro, CA 90731",https://www.apartments.com/734-w-25th-st-san-pedro-ca/x79m2pp/,1 bath,850 sq ft,850,,,2000,,,
,Santa Cruz,Condos,CA,95065,"14 Ohana Way Santa Cruz, CA 95065",https://www.apartments.com/14-ohana-way-santa-cruz-ca/jzsbfm4/,1 bath,"1,000 sq ft","1,000",,,2920,,,
3000,San Francisco,Condos,CA,94122,"1224 45th Ave San Francisco, CA 94122",https://www.apartments.com/1224-45th-ave-san-francisco-ca/b9k87rc/,2 baths,"1,000 sq ft","1,000",,4500,,,,
,South Lake Tahoe,Condos,CA,96150,"1223 Bonanza Ave South Lake Tahoe, CA 96150",https://www.apartments.com/1223-bonanza-ave-south-lake-tahoe-ca-unit-12/k2xnw3b/,1 bath,841 sq ft,841,,,2300,,,
