2 beds,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Studio,4 beds,1 bed,5 beds,3 beds,6 beds
2850,Glendale,Houses,CA,91203,"475 Burchett St Glendale, CA 91203",https://www.apartments.com/475-burchett-st-glendale-ca/pv6ljlt/,1 bath,624 sq ft,624,,,,,,
5200,Culver City,Houses,CA,90230,"11128 Culver Blvd Culver City, CA 90230",https://www.apartments.com/11128-culver-blvd-culver-city-ca/wrdkbdj/,2 baths,"2,400 sq ft","2,400",,,,,,
6750,Glendale,Houses,CA,91206,"556 Luton Dr Glendale, CA 91206",https://www.apartments.com/556-luton-dr-glendale-ca/we2wytl/,3 baths,"1,900 sq ft","1,900",,,,,,
,Los Angeles,Houses,CA,90068,"6652 Whitley Ter Los Angeles, CA 90068",https://www.apartments.com/6652-whitley-ter-los-angeles-ca/kl7sn1c/,1 bath,300 sq ft,300,1995,,,,,
,Rancho Cucamonga,Houses,CA,91739,"5393 Stoneview Rd Rancho Cucamonga, CA 91739",https://www.apartments.com/5393-stoneview-rd-rancho-cucamonga-ca/s906w66/,3 baths,"3,400 sq ft","3,400",,4500,,,,
,Sylmar,Houses,CA,91342,"13525 Fenton Ave Sylmar, CA 91342",https://www.apartments.com/13525-fenton-ave-sylmar-ca/vtvwgze/,1 bath,400 sq ft,400,,,1750,,,
,Dublin,Houses,CA,94568,"4691 Finch Way Dublin, CA 94568",https://www.apartments.com/4691-finch-way-dublin-ca/tw7l1s9/,4 baths,"2,400 sq ft","2,400",,,,4500,,
,Los Angeles,Houses,CA,90039,"2596 Adelbert Ave Los Angeles, CA 90039",https://www.apartments.com/2596-adelbert-ave-los-angeles-ca/hs9y283/,1 bath,500 sq ft,500,,,1500,,,
,Venice,Houses,CA,90291,"38 19th Ave Venice, CA 90291",https://www.apartments.com/38-19th-ave-venice-ca/pstmvgv/,3 baths,"1,972 sq ft","1,972",,10500,,,,
5950,Los Angeles,Houses,CA,90068,"2055 N Las Palmas Ave 2055 N Las Palmas Ave, Los Angeles, CA 90068",https://www.apartments.com/2055-n-las-palmas-ave-los-angeles-ca/pv8241t/,1 bath,"1,750 sq ft","1,750",,,,,,
,El Segundo,Houses,CA,90245,"815 Penn St El Segundo, CA 90245",https://www.apartments.com/815-penn-st-el-segundo-ca/5hmg8hp/,3 baths,"1,887 sq ft","1,887",,,,,6195,
,West Hollywood,Houses,CA,90048,"6101 Del Valle Dr West Hollywood, CA 90048",https://www.apartments.com/6101-del-valle-dr-west-hollywood-ca/97gd8r7/,2.5 baths,"2,600 sq ft","2,600",,,,,7400,
,Novato,Houses,CA,94945,"4 Illes Ct Novato, CA 94945",https://www.apartments.com/4-illes-ct-novato-ca/0n6lp61/,2 baths,"1,200 sq ft","1,200",,,,,3750,
,Malibu,Houses,CA,90265,"3651 McAnany Way Malibu, CA 90265",https://www.apartments.com/3651-mcanany-way-malibu-ca/6tqy9qs/,3 baths,"3,000 sq ft","3,000",,,,,40000,
,Studio City,Houses,CA,91604,"11657 Sunshine Ter Studio City, CA 91604",https://www.apartments.com/11657-sunshine-ter-studio-city-ca/vhf3tgf/,2.5 baths,"1,100 sq ft","1,100",,,,,5900,
7375,Venice,Houses,CA,90291,"722 Superba Ave Venice, CA 90291",https://www.apartments.com/722-superba-ave-venice-ca/4fhyzxk/,1 bath,922 sq ft,922,,,,,,
,Los Angeles,Houses,CA,90025,"1913 Greenfield Ave Los Angeles, CA 90025",https://www.apartments.com/1913-greenfield-ave-los-angeles-ca/vs0ge3f/,3 baths,"2,021 sq ft","2,021",,,,,9000,
3500,Venice,Houses,CA,90291,"40 19th Ave Venice, CA 90291",https://www.apartments.com/40-19th-ave-venice-ca/jpvj445/,1 bath,820 sq ft,820,,,,,,
,San Mateo,Houses,CA,94403,"1109 Pebblewood Way San Mateo, CA 94403",https://www.apartments.com/1109-pebblewood-way-san-mateo-ca/nlxvwwp/,1 bath,"2,600 sq ft","2,600",,,1335,,,
3100,East Palo Alto,Houses,CA,94303,"2290 Dumbarton Ave East Palo Alto, CA 94303",https://www.apartments.com/2290-dumbarton-ave-east-palo-alto-ca/w95c1qj/,1 bath,925 sq ft,925,,,,,,
,Cloverdale,Houses,CA,95425,"43 Church Ln Cloverdale, CA 95425",https://www.apartments.com/43-church-ln-cloverdale-ca/stpx4x6/,2 baths,"1,750 sq ft","1,750",,,,,3200,
,Los Altos,Houses,CA,94024,"959 Seena Ave Los Altos, CA 94024",https://www.apartments.com/959-seena-ave-los-altos-ca/ktw6td8/,2 baths,"1,650 sq ft","1,650",,,,,6000,
3150,Glendale,Houses,CA,91205,"416 E Cypress St 416 E Cypress St, Glendale, CA 91205",https://www.apartments.com/416-e-cypress-st-glendale-ca/y47nwbv/,1 bath,925 sq ft,925,,,,,,
,Los Angeles,Houses,CA,90019,"1419 S Curson Ave Los Angeles, CA 90019",https://www.apartments.com/1419-s-curson-ave-los-angeles-ca/hv90wq1/,2 baths,"1,100 sq ft","1,100",,,,,4800,
,Los Angeles,Houses,CA,90027,"3657 Lowry Rd Los Angeles, CA 90027",https://www.apartments.com/3657-lowry-rd-los-angeles-ca/lm6htrf/,2.5 baths,"3,000 sq ft","3,000",,,,,6800,
,Manhattan Beach,Houses,CA,90266,"219 38th Pl 219 38th Pl, Manhattan Beach, CA 90266",https://www.apartments.com/219-38th-pl-manhattan-beach-ca/621p87r/,3.5 baths,"1,750 sq ft","1,750",,,,,11295,
2500,Los Angeles,Houses,CA,90008,"4192 6th Ave Los Angeles, CA 90008",https://www.apartments.com/4192-6th-ave-los-angeles-ca/g6rjkwy/,1 bath,700 sq ft,700,,,,,,
,Los Angeles,Houses,CA,90036,"832 S Curson Ave Los Angeles, CA 90036",https://www.apartments.com/832-s-curson-ave-los-angeles-ca/jybp5t6/,2 baths,"1,980 sq ft","1,980",,,,,5080,
5600,Los Angeles,Houses,CA,90291,"1030 Amoroso Pl Los Angeles, CA 90291",https://www.apartments.com/1030-amoroso-pl-los-angeles-ca/7drd9fz/,2 baths,"1,600 sq ft","1,600",,,,,,
,Los Angeles,Houses,CA,90034,"3110 Military Ave 3110 Military Ave, Los Angeles, CA 90034",https://www.apartments.com/3110-military-ave-los-angeles-ca/hrn8gc3/,5 baths,"3,250 sq ft","3,250",,,,,,8900
,Los Angeles,Houses,CA,90045,"5966 W 86th Pl Los Angeles, CA 90045",https://www.apartments.com/5966-w-86th-pl-los-angeles-ca/ggm0rlx/,4 baths,"2,200 sq ft","2,200",,6999,,,,
,Los Angeles,Houses,CA,90291,"550 Westminster Ave Los Angeles, CA 90291",https://www.apartments.com/550-westminster-ave-los-angeles-ca/9rw7104/,1 bath,640 sq ft,640,,,2995,,,
,Los Angeles,Houses,CA,90291,"36 19th Pl Los Angeles, CA 90291",https://www.apartments.com/36-19th-pl-los-angeles-ca/qrj0stx/,1 bath,730 sq ft,730,,,3500,,,
,Torrance,Houses,CA,90501,"22209 Denker Ave Torrance, CA 90501",https://www.apartments.com/22209-denker-ave-torrance-ca/830f1c1/,1.5 baths,"1,200 sq ft","1,200",,,,,3300,
,East Palo Alto,Houses,CA,94303,"2302 Oakwood Dr East Palo Alto, CA 94303",https://www.apartments.com/2302-oakwood-dr-east-palo-alto-ca/689h42s/,2 baths,"1,400 sq ft","1,400",,5200,,,,
,Los Angeles,Houses,CA,90272,"17838 Castellammare Dr Los Angeles, CA 90272",https://www.apartments.com/17838-castellammare-dr-los-angeles-ca/tkdg5c9/,2.5 baths,"1,463 sq ft","1,463",,,,,9900,
,El Sobrante,Houses,CA,94803,"5421 Valley View Rd El Sobrante, CA 94803",https://www.apartments.com/5421-valley-view-rd-el-sobrante-ca/2z8p6eb/,2 baths,"1,500 sq ft","1,500",,,,,3300,
,San Francisco,Houses,CA,94116,"2150 25th Ave San Francisco, CA 94116",https://www.apartments.com/2150-25th-ave-san-francisco-ca/cpzhs5f/,2 baths,"1,800 sq ft","1,800",,4995,,,,
,San Diego,Houses,CA,92102,"328 25th St San Diego, CA 92102",https://www.apartments.com/328-25th-st-san-diego-ca/hyc8281/,2 baths,100 sq ft,100,,,,,2799,
,Manhattan Beach,Houses,CA,90266,"717 27th St 717 27th St, Manhattan Beach, CA 90266",https://www.apartments.com/717-27th-st-manhattan-beach-ca/ewrql0q/,2.5 baths,"3,483 sq ft","3,483",,8600,,,,
,Glendale,Houses,CA,91208,"3141 Country Club Dr Glendale, CA 91208",https://www.apartments.com/3141-country-club-dr-glendale-ca/580f2dn/,1.5 baths,750 sq ft,750,,,2690,,,
,Woodland Hills,Houses,CA,91367,"20868 Miranda St 20868 Miranda St, Woodland Hills, CA 91367",https://www.apartments.com/20868-miranda-st-woodland-hills-ca/kem9l68/,2 baths,"2,105 sq ft","2,105",,5500,,,,
,Encino,Houses,CA,91316,"6144 Alonzo Ave Encino, CA 91316",https://www.apartments.com/6144-alonzo-ave-encino-ca/0pw2q23/,2 baths,"1,490 sq ft","1,490",,,,,3475,
,Arleta,Houses,CA,91331,"9341 Varna Ave Arleta, CA 91331",https://www.apartments.com/9341-varna-ave-arleta-ca/je0l574/,2 baths,"1,119 sq ft","1,119",,,,,3100,
,Chatsworth,Houses,CA,91311,"9500 Penfield Ave Chatsworth, CA 91311",https://www.apartments.com/9500-penfield-ave-chatsworth-ca/2vtx979/,3 baths,"1,400 sq ft","1,400",,,,,4000,
,Glendale,Houses,CA,91202,"1008 San Rafael Ave Glendale, CA 91202",https://www.apartments.com/1008-san-rafael-ave-glendale-ca/z6qy9ex/,2 baths,"1,650 sq ft","1,650",,,,,3950,
,Hayward,Houses,CA,94545,"2786 Bal Harbor Ln Hayward, CA 94545",https://www.apartments.com/2786-bal-harbor-ln-hayward-ca/gg140jz/,2 baths,"1,128 sq ft","1,128",,,,,3500,
,Hermosa Beach,Houses,CA,90254,"1146 7th Pl Hermosa Beach, CA 90254",https://www.apartments.com/1146-7th-pl-hermosa-beach-ca/p1j794v/,2 baths,"1,546 sq ft","1,546",,,,,6000,
,Santa Clara,Houses,CA,95054,"4768 Cheeney St Santa Clara, CA 95054",https://www.apartments.com/4768-cheeney-st-santa-clara-ca/w76yljh/,3 baths,"2,230 sq ft","2,230",,4899,,,,
,Santa Monica,Houses,CA,90405,"832 Pacific St Santa Monica, CA 90405",https://www.apartments.com/832-pacific-st-santa-monica-ca/5f06z1m/,2 baths,"1,500 sq ft","1,500",,,,,6499,
,Culver City,Houses,CA,90230,"3 br, 2 bath House - 11856 Bray St. 11856 Bray St, Culver City, CA 90230",https://www.apartments.com/3-br-2-bath-house-11856-bray-st-culver-city-ca/4evr4zk/,2 baths,"2,000 sq ft","2,000",,,,,7495,
,Los Angeles,Houses,CA,90077,"5 br, 4 bath House - 15552 Hamner Dr. 15552 Hamner Dr, Los Angeles, CA 90077",https://www.apartments.com/5-br-4-bath-house-15552-hamner-dr-los-angeles-ca/jk6qcy6/,4 baths,"3,132 sq ft","3,132",,,,8500,,
,Los Angeles,Houses,CA,90024,"10479 Wilkins Ave Los Angeles, CA 90024",https://www.apartments.com/10479-wilkins-ave-los-angeles-ca/cxqktgd/,6 baths,"3,991 sq ft","3,991",,,,,,17995
