1 bed,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Studio,2 beds,4 beds,3 beds,5 beds,10 beds,8 beds,7 beds,6 beds
2000.0,West Hollywood,Houses,CA,90069,"9018 Keith Ave West Hollywood, CA 90069",https://www.apartments.com/9018-keith-ave-west-hollywood-ca/872j9n0/,1 bath,"5,260 sq ft","5,260",,,,,,,,,
2195.0,West Hollywood,Houses,CA,90069,"9018 Keith Ave West Hollywood, CA 90069",https://www.apartments.com/9018-keith-ave-west-hollywood-ca/jebk397/,1 bath,"1,000 sq ft","1,000",,,,,,,,,
1920.0,West Hollywood,Houses,CA,90069,"9018 Keith Ave West Hollywood, CA 90069",https://www.apartments.com/9018-keith-ave-west-hollywood-ca/fstqz7t/,1 bath,800 sq ft,800,,,,,,,,,
2275.0,West Hollywood,Houses,CA,90069,"9018 Keith Ave West Hollywood, CA 90069",https://www.apartments.com/9018-keith-ave-west-hollywood-ca/6tqzw9v/,1 bath,750 sq ft,750,,,,,,,,,
,Santa Monica,Houses,CA,90401,"1538 11th St Santa Monica, CA 90401",https://www.apartments.com/1538-11th-st-santa-monica-ca/h3ql070/,1 bath,450 sq ft,450,1895.0,,,,,,,,
,St. Helena,Houses,CA,94574,"1445 Stockton St St. Helena, CA 94574",https://www.apartments.com/1445-stockton-st-st-helena-ca/gp8cfew/,2 baths,"1,292 sq ft","1,292",,7500.0,,,,,,,
,Santa Monica,Houses,CA,90402,"101 Ocean Ave Santa Monica, CA 90402",https://www.apartments.com/101-ocean-ave-santa-monica-ca/4qftqmk/,2 baths,"1,396 sq ft","1,396",,10500.0,,,,,,,
,Bakersfield,Houses,CA,93312,"4938 Shorebird Dr Bakersfield, CA 93312",https://www.apartments.com/4938-shorebird-dr-bakersfield-ca/ryk7le0/,2.75 baths,"2,067 sq ft","2,067",,,2400.0,,,,,,
,Bakersfield,Houses,CA,93304,"2240 Ming Ave Bakersfield, CA 93304",https://www.apartments.com/2240-ming-ave-bakersfield-ca/wjv8pnl/,3 baths,"2,300 sq ft","2,300",,,2800.0,,,,,,
,Santa Monica,Houses,CA,90403,"801 Ocean Ave Santa Monica, CA 90403",https://www.apartments.com/801-ocean-ave-santa-monica-ca/bnt9wv8/,3 baths,"1,772 sq ft","1,772",,8000.0,,,,,,,
,Marina del Rey,Houses,CA,90292,"4316 Marina City Dr Marina del Rey, CA 90292",https://www.apartments.com/4316-marina-city-dr-marina-del-rey-ca/bgh9qj9/,3 baths,"2,652 sq ft","2,652",,9500.0,,,,,,,
,Tracy,Houses,CA,95377,"262 Lasata Dr Tracy, CA 95377",https://www.apartments.com/262-lasata-dr-tracy-ca/f8jm46t/,2.5 baths,"2,476 sq ft","2,476",,,3500.0,,,,,,
,Lemoore,Houses,CA,93245,"1424 N Lemoore Ave Lemoore, CA 93245",https://www.apartments.com/1424-n-lemoore-ave-lemoore-ca/yft9t7r/,1 bath,"1,000 sq ft","1,000",,1050.0,,,,,,,
,Dinuba,Houses,CA,93618,"761 S Short Ave Dinuba, CA 93618",https://www.apartments.com/761-s-short-ave-dinuba-ca/shmsht7/,1 bath,889 sq ft,889,,1100.0,,,,,,,
,Sanger,Houses,CA,93657,"3214 S Leonard Ave Sanger, CA 93657",https://www.apartments.com/3214-s-leonard-ave-sanger-ca/ctkfzve/,2.5 baths,"2,000 sq ft","2,000",,,4000.0,,,,,,
,Fallbrook,Houses,CA,92028,"2445 Helen Rd Fallbrook, CA 92028",https://www.apartments.com/2445-helen-rd-fallbrook-ca/zqd0bxy/,2 baths,"1,604 sq ft","1,604",,,,3000.0,,,,,
,Bass Lake,Houses,CA,93604,"40506 Saddleback Rd Bass Lake, CA 93604",https://www.apartments.com/40506-saddleback-rd-bass-lake-ca/0e6w873/,1.5 baths,"1,130 sq ft","1,130",,1800.0,,,,,,,
,Copperopolis,Houses,CA,95228,"3782 Arrowhead St Copperopolis, CA 95228",https://www.apartments.com/3782-arrowhead-st-copperopolis-ca/0m4g9n0/,2.5 baths,"2,060 sq ft","2,060",,,,2900.0,,,,,
,San Miguel,Houses,CA,93451,"333 Ladrillos Way San Miguel, CA 93451",https://www.apartments.com/333-ladrillos-way-san-miguel-ca/d8kjn7k/,2 baths,"1,600 sq ft","1,600",,,2500.0,,,,,,
,El Dorado Hills,Houses,CA,95762,"8178 Damico Dr El Dorado Hills, CA 95762",https://www.apartments.com/8178-damico-dr-el-dorado-hills-ca/r2vhxs3/,3 baths,"3,200 sq ft","3,200",,,3300.0,,,,,,
,Manteca,Houses,CA,95336,"899 Sweet Pea Ln Manteca, CA 95336",https://www.apartments.com/899-sweet-pea-ln-manteca-ca/qjevd3x/,4 baths,"4,075 sq ft","4,075",,,,,3400.0,,,,
,Rancho Mirage,Houses,CA,92270,"19 Orleans Rd Rancho Mirage, CA 92270",https://www.apartments.com/19-orleans-rd-rancho-mirage-ca/bbxw6wc/,3 baths,"2,672 sq ft","2,672",,,4500.0,,,,,,
,Geyserville,Houses,CA,95441,"2225 Wilson Rd Geyserville, CA 95441",https://www.apartments.com/2225-wilson-rd-geyserville-ca/gq68gnw/,4.5 baths,"3,300 sq ft","3,300",,,20000.0,,,,,,
,Healdsburg,Houses,CA,95448,"7757 W Dry Creek Rd Healdsburg, CA 95448",https://www.apartments.com/7757-w-dry-creek-rd-healdsburg-ca/1cq6vj7/,2 baths,"1,760 sq ft","1,760",,,,18000.0,,,,,
,St. Helena,Houses,CA,94574,"3397 St Helena Hwy St. Helena, CA 94574",https://www.apartments.com/3397-st-helena-hwy-st-helena-ca/4jwsj4h/,4 baths,"5,000 sq ft","5,000",,,,,25000.0,,,,
,Cloverdale,Houses,CA,95425,"29955 River Rd Cloverdale, CA 95425",https://www.apartments.com/29955-river-rd-cloverdale-ca/ffse4fs/,3 baths,"1,800 sq ft","1,800",,,,3295.0,,,,,
,Kenwood,Houses,CA,95452,"505 Kinnybrook Dr Kenwood, CA 95452",https://www.apartments.com/505-kinnybrook-dr-kenwood-ca/m16qlel/,4.5 baths,"5,008 sq ft","5,008",,,,,35000.0,,,,
,Healdsburg,Houses,CA,95448,"419 Dry Creek Rd Healdsburg, CA 95448",https://www.apartments.com/419-dry-creek-rd-healdsburg-ca/exfbx4n/,2.5 baths,"2,674 sq ft","2,674",,,,25000.0,,,,,
,Guerneville,Houses,CA,95446,"16530 Laughlin Rd Guerneville, CA 95446",https://www.apartments.com/16530-laughlin-rd-guerneville-ca/qhsh8qy/,3.5 baths,,,,,,,12000.0,,,,
,Healdsburg,Houses,CA,95448,"2355 W Dry Creek Rd Healdsburg, CA 95448",https://www.apartments.com/2355-w-dry-creek-rd-healdsburg-ca/xswts8p/,4.5 baths,"6,378 sq ft","6,378",,,21000.0,,,,,,
,Hidden Valley Lake,Houses,CA,95467,"19111 Stonegate Rd Hidden Valley Lake, CA 95467",https://www.apartments.com/19111-stonegate-rd-hidden-valley-lake-ca/fwy231t/,2 baths,"1,344 sq ft","1,344",,,,2200.0,,,,,
,Temecula,Houses,CA,92590,"43275 Vista Bonita Temecula, CA 92590",https://www.apartments.com/43275-vista-bonita-temecula-ca/mb14bck/,2 baths,"1,800 sq ft","1,800",,,,3400.0,,,,,
,Redlands,Houses,CA,92374,"1539 Carolyn Ct Redlands, CA 92374",https://www.apartments.com/1539-carolyn-ct-redlands-ca/ll56qfe/,4 baths,"3,168 sq ft","3,168",,,,,3847.0,,,,
,Hesperia,Houses,CA,92344,"13134 Sunnyvale Ct Hesperia, CA 92344",https://www.apartments.com/13134-sunnyvale-ct-hesperia-ca/x1njwcq/,3 baths,"2,039 sq ft","2,039",,,,2300.0,,,,,
,Ojai,Houses,CA,93023,"12175 Mountain Lion Rd Ojai, CA 93023",https://www.apartments.com/12175-mountain-lion-rd-ojai-ca/8zjdn82/,5 baths,"4,200 sq ft","4,200",,,,,14000.0,,,,
,Bakersfield,Houses,CA,93313,"9600 Pony Mountain Rd Bakersfield, CA 93313",https://www.apartments.com/9600-pony-mountain-rd-bakersfield-ca/k82ksk8/,2 baths,"1,680 sq ft","1,680",,,2090.0,,,,,,
,Fontana,Houses,CA,92336,"5740 Ridgemark Pl Fontana, CA 92336",https://www.apartments.com/5740-ridgemark-pl-fontana-ca/c63xvwe/,2 baths,"2,032 sq ft","2,032",,,,3200.0,,,,,
2150.0,Valley Center,Houses,CA,92082,"12462 Hillpoint Ct Valley Center, CA 92082",https://www.apartments.com/12462-hillpoint-ct-valley-center-ca/6fw470v/,1 bath,864 sq ft,864,,,,,,,,,
3900.0,Ventura,Houses,CA,93001,"6931 San Fernando Ave Ventura, CA 93001",https://www.apartments.com/6931-san-fernando-ave-ventura-ca/5elxwgm/,2 baths,"1,189 sq ft","1,189",,,,,,,,,
,Hidden Valley Lake,Houses,CA,95467,"16396 Eagle Rock Rd Hidden Valley Lake, CA 95467",https://www.apartments.com/16396-eagle-rock-rd-hidden-valley-lake-ca/ed5qtqn/,2 baths,"1,412 sq ft","1,412",,1800.0,,,,,,,
,Temecula,Houses,CA,92592,"41025 Los Ranchos Cir Temecula, CA 92592",https://www.apartments.com/41025-los-ranchos-cir-temecula-ca/wb2t5jh/,4 baths,"3,156 sq ft","3,156",,,,4500.0,,,,,
,Summerland,Houses,CA,93067,"2345 Finney St Summerland, CA 93067",https://www.apartments.com/2345-finney-st-summerland-ca/esm710q/,3 baths,,,,,,35000.0,,,,,
,Yorba Linda,Houses,CA,92886,"3782 Carson Way Yorba Linda, CA 92886",https://www.apartments.com/3782-carson-way-yorba-linda-ca/7fg762x/,3 baths,"3,000 sq ft","3,000",,,,4450.0,,,,,
,Riverside,Houses,CA,92503,"12335 Brianwood Dr Riverside, CA 92503",https://www.apartments.com/12335-brianwood-dr-riverside-ca/9pf9p65/,2 baths,"2,395 sq ft","2,395",,,,2900.0,,,,,
,Malibu,Houses,CA,90265,"6270 Zumirez Dr Malibu, CA 90265",https://www.apartments.com/6270-zumirez-dr-malibu-ca/96l5fg5/,4 baths,"3,148 sq ft","3,148",,,48000.0,,,,,,
,Pala,Houses,CA,92059,"38875 Magee Heights Way Pala, CA 92059",https://www.apartments.com/38875-magee-heights-way-pala-ca/yb27d6t/,5 baths,"2,839 sq ft","2,839",,,,6500.0,,,,,
,Temecula,Houses,CA,92591,"41433 Temeku Dr Temecula, CA 92591",https://www.apartments.com/41433-temeku-dr-temecula-ca/k4rlef9/,3 baths,"2,700 sq ft","2,700",,,,3450.0,,,,,
,Coarsegold,Houses,CA,93614,"34254 Jennifer Ln Coarsegold, CA 93614",https://www.apartments.com/34254-jennifer-ln-coarsegold-ca/3n5qeld/,6 baths,"4,380 sq ft","4,380",,,,,,5500.0,,,
,Indio,Houses,CA,92201,"80685 Wicket Ln Indio, CA 92201",https://www.apartments.com/80685-wicket-ln-indio-ca/3hdt7jd/,6 baths,"4,350 sq ft","4,350",,,,,,,8000.0,,
,La Quinta,Houses,CA,92253,"57780 Black Diamond La Quinta, CA 92253",https://www.apartments.com/57780-black-diamond-la-quinta-ca/gcc5t8z/,5 baths,"2,844 sq ft","2,844",,,7500.0,,,,,,
,Cathedral City,Houses,CA,92234,"68725 Tachevah Dr Cathedral City, CA 92234",https://www.apartments.com/68725-tachevah-dr-cathedral-city-ca/q81jpry/,3 baths,"1,822 sq ft","1,822",,,,4500.0,,,,,
,Hidden Valley Lake,Houses,CA,95467,"19638 Mountain Meadow N Hidden Valley Lake, CA 95467",https://www.apartments.com/19638-mountain-meadow-n-hidden-valley-lake-ca/qwkj3kx/,2 baths,"1,656 sq ft","1,656",,,,2300.0,,,,,
