1 bed,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,6 beds,2 beds,4 beds,3 beds,5 beds,Studio
2695,Santa Monica,Houses,CA,90401,"1543 11th St Santa Monica, CA 90401",https://www.apartments.com/1543-11th-st-santa-monica-ca/lxhfrkg/,1 bath,650 sq ft,650,,,,,,
2100,Santa Monica,Houses,CA,90405,"1649 Hill St Santa Monica, CA 90405",https://www.apartments.com/1649-hill-st-santa-monica-ca/zgzbzzw/,1 bath,450 sq ft,450,,,,,,
,Santa Monica,Houses,CA,90403,"1126 Yale St Santa Monica, CA 90403",https://www.apartments.com/1126-yale-st-santa-monica-ca/vv3l8ef/,6.5 baths,"4,700 sq ft","4,700",19995,,,,,
2795,Santa Monica,Houses,CA,90401,"1543 11th St Santa Monica, CA 90401",https://www.apartments.com/1543-11th-st-santa-monica-ca/4rrv28h/,1 bath,695 sq ft,695,,,,,,
,San Pedro,Houses,CA,90731,"1104 W 24th St San Pedro, CA 90731",https://www.apartments.com/1104-w-24th-st-san-pedro-ca/kn3q3j8/,2 baths,"1,650 sq ft","1,650",,2800,,,,
,Manhattan Beach,Houses,CA,90266,"120 El Porto St Manhattan Beach, CA 90266",https://www.apartments.com/120-el-porto-st-manhattan-beach-ca/ln4ycle/,2 baths,"1,000 sq ft","1,000",,3900,,,,
,Los Angeles,Houses,CA,91307,"6629 Melba Ave Los Angeles, CA 91307",https://www.apartments.com/6629-melba-ave-los-angeles-ca/m43x2ej/,2 baths,"1,499 sq ft","1,499",,,4900,,,
,Los Angeles,Houses,CA,90024,"10664 Kinnard Ave Los Angeles, CA 90024",https://www.apartments.com/10664-kinnard-ave-los-angeles-ca/vvjxjcf/,2.5 baths,"1,792 sq ft","1,792",,,,6900,,
,San Francisco,Houses,CA,94132,"175 Vernon St San Francisco, CA 94132",https://www.apartments.com/175-vernon-st-san-francisco-ca/58pq5zq/,1.5 baths,"1,200 sq ft","1,200",,,1450,,,
,San Francisco,Houses,CA,94112,"340 Mount Vernon Ave San Francisco, CA 94112",https://www.apartments.com/340-mount-vernon-ave-san-francisco-ca/1btmsb5/,1 bath,800 sq ft,800,,2500,,,,
,San Mateo,Houses,CA,94402,"22 Pinecrest Terrace San Mateo, CA 94402",https://www.apartments.com/22-pinecrest-terrace-san-mateo-ca/m734dej/,3 baths,"2,730 sq ft","2,730",,,,,8250,
,Cerritos,Houses,CA,90703,"13247 Semora Pl Cerritos, CA 90703",https://www.apartments.com/13247-semora-pl-cerritos-ca/72rxmyx/,3 baths,"2,730 sq ft","2,730",,,,,,
,San Leandro,Houses,CA,94577,"2224 Estabrook Cir San Leandro, CA 94577",https://www.apartments.com/2224-estabrook-cir-san-leandro-ca/lqc2m6d/,1 bath,700 sq ft,700,,2300,,,,
,Millbrae,Houses,CA,94030,"307 Helen Dr Millbrae, CA 94030",https://www.apartments.com/307-helen-dr-millbrae-ca/ef21d6m/,1 bath,450 sq ft,450,,2200,,,,
,San Bruno,Houses,CA,94066,"541 Green Ave San Bruno, CA 94066",https://www.apartments.com/541-green-ave-san-bruno-ca/m6bqbth/,1 bath,"1,100 sq ft","1,100",,2995,,,,
,Oroville,Houses,CA,95966,"3138 Orange Ave Oroville, CA 95966",https://www.apartments.com/3138-orange-ave-oroville-ca/ge9ht6x/,1.5 baths,"1,018 sq ft","1,018",,,,1600,,
