City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,2 beds,4 beds,5 beds,Studio,1 bed,3 beds
Los Angeles,Townhomes,CA,90019,"1327-1329 S Crenshaw Blvd, Los Angeles, CA 90019",https://www.apartments.com/crenshaw-townhouse-los-angeles-ca/701dj3w/,1.5 baths,"1,152 sq ft","1,152",,,,,,
Los Angeles,Townhomes,CA,90038,"920 Wilcox Ave, Los Angeles, CA 90038",https://www.apartments.com/wilcox-townhomes-los-angeles-ca/6601sns/,1.5 baths,"1,152 sq ft","1,152",,,,,,
Oxnard,Townhomes,CA,93036,"560 Winchester Dr, Oxnard, CA 93036",https://www.apartments.com/mayfair-oxnard-ca/nzkvm1n/,2.5 baths,"1,649 sq ft","1,649",3415.0,,,,,
Chico,Townhomes,CA,95926,"647-701 W 4th Ave, Chico, CA 95926",https://www.apartments.com/the-regency-townhouses-available-chico-ca/nezc4fq/,3 baths,"2,000 sq ft","2,000",,1760.0,2100.0,,,
Los Angeles,Townhomes,CA,90066,"4151 Redwood Ave, Los Angeles, CA 90066",https://www.apartments.com/r1-living-townhouses-los-angeles-ca/kpetvmc/,3 baths,"2,000 sq ft","2,000",,,,,,
Lancaster,Townhomes,CA,93536,"2060 Westwood Ct, Lancaster, CA 93536",https://www.apartments.com/westwood-park-townhomes-lancaster-ca/98cgzm6/,2 baths,978 sq ft,978,2525.0,,,,,
Torrance,Townhomes,CA,90503,"20440 Anza Ave, Torrance, CA 90503",https://www.apartments.com/seville-townhouse-torrance-ca/jd8jvf4/,2 baths,"1,000 sq ft","1,000",2250.0,,,1599.0,1800.0,
Tracy,Townhomes,CA,95376,"315 Mt Oso Ave, Tracy, CA 95376",https://www.apartments.com/tuscana-townhomes-tracy-ca/s5rwft7/,2 baths,"1,000 sq ft","1,000",,,,,,
Montclair,Townhomes,CA,91763,"9200 Monte Vista Ave, Montclair, CA 91763",https://www.apartments.com/lexington-townhomes-montclair-ca/26nlcsc/,1.5 baths,946 sq ft,946,2634.0,,,,,
Santa Rosa,Townhomes,CA,95407,"801 Dutton Ave, Santa Rosa, CA 95407",https://www.apartments.com/walkham-townhomes-santa-rosa-ca/54d6qxn/,1.5 baths,946 sq ft,946,,,,,,
Castro Valley,Townhomes,CA,94546,"2511 Grove Way, Castro Valley, CA 94546",https://www.apartments.com/town-house-plaza-castro-valley-ca/6exdjfr/,2 baths,"1,050 sq ft","1,050",2495.0,,,,,
Ventura,Townhomes,CA,93003,"3074 Channel Dr, Ventura, CA 93003",https://www.apartments.com/ocean-view-townhomes-ventura-ca/63wecpr/,2 baths,"1,050 sq ft","1,050",,,,,,
La Mesa,Townhomes,CA,91942,"7561 El Cajon Blvd, La Mesa, CA 91942",https://www.apartments.com/trio-townhomes-la-mesa-ca/phs98ft/,2.5 baths,"1,262 sq ft","1,262",2925.0,,,,,
El Cajon,Townhomes,CA,92021,"2000 E Main St, El Cajon, CA 92021",https://www.apartments.com/canyon-springs-el-cajon-ca/vw43b6d/,2.5 baths,"1,240 sq ft","1,240",,,,,,2395.0
Pasadena,Townhomes,CA,91101,"686 E Union St, Pasadena, CA 91101",https://www.apartments.com/the-andalucia-pasadena-ca/388rgpg/,1 bath,522 sq ft,522,,,,2450.0,,
