2 beds,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,1 bed,3 beds,4 beds,6 beds
3000,Avila Beach,Townhomes,CA,93424,"210 Laurel St Avila Beach, CA 93424",https://www.apartments.com/210-laurel-st-avila-beach-ca/rm9vkl3/,1 bath,750 sq ft,750,,,,
,Whittier,Townhomes,CA,90605,"11814 Newgate Ave Whittier, CA 90605",https://www.apartments.com/11814-newgate-ave-whittier-ca/hhtgmh2/,1 bath,535 sq ft,535,1495,,,
2750,Los Angeles,Townhomes,CA,90036,"509 N Vista St Los Angeles, CA 90036",https://www.apartments.com/509-n-vista-st-los-angeles-ca/416fmxl/,1 bath,"1,300 sq ft","1,300",,,,
4995,Laguna Beach,Townhomes,CA,92651,"2838 Wards Terrace Laguna Beach, CA 92651",https://www.apartments.com/2838-wards-terrace-laguna-beach-ca/ydctyxt/,1 bath,"1,000 sq ft","1,000",,,,
,Lower Lake,Townhomes,CA,95457,"5140 Panorama Rd Lower Lake, CA 95457",https://www.apartments.com/5140-panorama-rd-lower-lake-ca/2pyq738/,5 baths,"2,239 sq ft","2,239",,2500,,
,Pacifica,Townhomes,CA,94044,"402 Lewis Ln Pacifica, CA 94044",https://www.apartments.com/402-lewis-ln-pacifica-ca/n8dbj9n/,2 baths,"1,200 sq ft","1,200",,3230,,
,Encinitas,Townhomes,CA,92007,"2489 Oxford Ave Encinitas, CA 92007",https://www.apartments.com/2489-oxford-ave-encinitas-ca/c0exg4g/,3 baths,"1,392 sq ft","1,392",,5500,,
3995,Coto de Caza,Townhomes,CA,92679,"28 Bogey Ln Coto de Caza, CA 92679",https://www.apartments.com/28-bogey-ln-coto-de-caza-ca/56z1zsn/,2 baths,"2,046 sq ft","2,046",,,,
2700,Walnut,Townhomes,CA,91789,"635 Alder Ln Walnut, CA 91789",https://www.apartments.com/635-alder-ln-walnut-ca/7dl2f0y/,3 baths,"1,368 sq ft","1,368",,,,
2750,Redondo Beach,Townhomes,CA,90278,"1922 Curtis Ave Redondo Beach, CA 90278",https://www.apartments.com/1922-curtis-ave-redondo-beach-ca/cr9z6gd/,1 bath,"1,000 sq ft","1,000",,,,
1995,Los Angeles,Townhomes,CA,91406,"7308 Haskell Ave Los Angeles, CA 91406",https://www.apartments.com/7308-haskell-ave-los-angeles-ca/ceh2k1d/,1.5 baths,"1,017 sq ft","1,017",,,,
3950,Mountain View,Townhomes,CA,94043,"1993 Plymouth St Mountain View, CA 94043",https://www.apartments.com/1993-plymouth-st-mountain-view-ca/y0z0pbr/,2.5 baths,"1,275 sq ft","1,275",,,,
4500,Palo Alto,Townhomes,CA,94301,"834 Ramona St Palo Alto, CA 94301",https://www.apartments.com/834-ramona-st-palo-alto-ca/d22h3nj/,2 baths,"1,200 sq ft","1,200",,,,
,La Mesa,Townhomes,CA,91942,"5800 Lake Murray Blvd La Mesa, CA 91942",https://www.apartments.com/5800-lake-murray-blvd-la-mesa-ca/rxj3d40/,2.5 baths,"1,554 sq ft","1,554",,2650,,
,Azusa,Townhomes,CA,91702,"867 East Mountain Way Azusa, CA 91702",https://www.apartments.com/867-east-mountain-way-azusa-ca/khl45j9/,3 baths,"2,005 sq ft","2,005",,,3200,
,San Clemente,Townhomes,CA,92672,"803 Calle Puente San Clemente, CA 92672",https://www.apartments.com/803-calle-puente-san-clemente-ca/mdpbn3k/,1 bath,750 sq ft,750,2350,,,
,San Jose,Townhomes,CA,95129,"4464 Openmeadow Ct San Jose, CA 95129",https://www.apartments.com/4464-openmeadow-ct-san-jose-ca/geh87zw/,2.5 baths,"1,489 sq ft","1,489",,,3750,
,Los Angeles,Townhomes,CA,91042,"9951 Marcus Ave Los Angeles, CA 91042",https://www.apartments.com/9951-marcus-ave-los-angeles-ca/b2s328b/,2 baths,"1,430 sq ft","1,430",,3100,,
2750,Carlsbad,Townhomes,CA,92010,"2589 Regent Rd Carlsbad, CA 92010",https://www.apartments.com/2589-regent-rd-carlsbad-ca/v0yc5bf/,2 baths,"1,201 sq ft","1,201",,,,
