3 beds,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,4 beds,2 beds,1 bed,Studio,5 beds
3400,Irvine,Townhomes,CA,92602,"230 Crescent Moon Irvine, CA 92602",https://www.apartments.com/230-crescent-moon-irvine-ca/h604hl2/,3 baths,"1,590 sq ft","1,590",,,,,
3000,Rancho Cucamonga,Townhomes,CA,91730,"8650 Cava Dr Rancho Cucamonga, CA 91730",https://www.apartments.com/8650-cava-dr-rancho-cucamonga-ca/csbnczf/,3 baths,"1,763 sq ft","1,763",,,,,
,South Gate,Townhomes,CA,90280,"9317 State St South Gate, CA 90280",https://www.apartments.com/9317-state-st-south-gate-ca/q999cpy/,3 baths,"1,764 sq ft","1,764",3400,,,,
,Costa Mesa,Townhomes,CA,92627,"208 Ogle St Costa Mesa, CA 92627",https://www.apartments.com/208-ogle-st-costa-mesa-ca/5w3c9tm/,3 baths,"1,465 sq ft","1,465",,4200,,,
2950,Thousand Oaks,Townhomes,CA,91362,"2661 Los Robles Rd Thousand Oaks, CA 91362",https://www.apartments.com/2661-los-robles-rd-thousand-oaks-ca/skfpvf5/,2 baths,900 sq ft,900,,,,,
3200,Aliso Viejo,Townhomes,CA,92656,"4 Veneto Ln Aliso Viejo, CA 92656",https://www.apartments.com/4-veneto-ln-aliso-viejo-ca/v68nv2e/,3 baths,"1,403 sq ft","1,403",,,,,
6500,Newport Beach,Townhomes,CA,92662,"200 Onyx Ave Newport Beach, CA 92662",https://www.apartments.com/200-onyx-ave-newport-beach-ca/smjgem4/,3 baths,"1,700 sq ft","1,700",,,,,
,Laguna Beach,Townhomes,CA,92651,"737 Griffith Way Laguna Beach, CA 92651",https://www.apartments.com/737-griffith-way-laguna-beach-ca/5xzvtpm/,2 baths,"1,000 sq ft","1,000",,7500,,,
3400,Huntington Beach,Townhomes,CA,92647,"16962 Westwood Ln Huntington Beach, CA 92647",https://www.apartments.com/16962-westwood-ln-huntington-beach-ca/hc2qb72/,3 baths,"1,520 sq ft","1,520",,,,,
,Santa Ana,Townhomes,CA,92706,"2227 N Broadway Santa Ana, CA 92706",https://www.apartments.com/2227-n-broadway-santa-ana-ca/bnqhz1b/,2 baths,875 sq ft,875,,1960,,,
,Orange,Townhomes,CA,92866,"585 S Fashion Park St Orange, CA 92866",https://www.apartments.com/585-s-fashion-park-st-orange-ca/0r1d1r1/,2 baths,"1,000 sq ft","1,000",,2200,,,
3500,Aliso Viejo,Townhomes,CA,92656,"2 Benchmark Ln Aliso Viejo, CA 92656",https://www.apartments.com/2-benchmark-ln-aliso-viejo-ca/kk88r38/,3 baths,"1,531 sq ft","1,531",,,,,
