3 beds,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,2 beds,4 beds,1 bed,5 beds
3550.0,Escondido,Townhomes,CA,92025,"Escondido, CA 92025",https://www.apartments.com/2540-s-escondido-blvd-escondido-ca/9jzybh4/,2.5 baths,"1,564 sq ft","1,564",,,,
,Los Angeles,Townhomes,CA,91331,"12330 Osborne St, Los Angeles, CA 91331",https://www.apartments.com/12330-osborne-st-los-angeles-ca/hqb6nk0/,1.5 baths,"1,140 sq ft","1,140",2300.0,,,
,Sunnyvale,Townhomes,CA,94085,"Sunnyvale, CA 94085",https://www.apartments.com/813-san-pier-ct-sunnyvale-ca/tlnmmdb/,1.5 baths,900 sq ft,900,2500.0,,,
6400.0,Berkeley,Townhomes,CA,94709,"Berkeley, CA 94709",https://www.apartments.com/1422-oxford-st-berkeley-ca/bzkehrc/,3 baths,"2,500 sq ft","2,500",,,,
3795.0,Santa Clara,Townhomes,CA,95051,"Santa Clara, CA 95051",https://www.apartments.com/2942-mauricia-ave-santa-clara-ca/3g3d2cg/,2 baths,"1,136 sq ft","1,136",,,,
1875.0,Palm Springs,Townhomes,CA,92262,"2260 N Indian Canyon Dr, Palm Springs, CA 92262",https://www.apartments.com/2260-n-indian-canyon-dr-palm-springs-ca/70ckzex/,1.5 baths,"1,344 sq ft","1,344",,,,
,Los Angeles,Townhomes,CA,90045,"Los Angeles, CA 90045",https://www.apartments.com/6437-w-86th-pl-los-angeles-ca/nlx9xhm/,4 baths,"2,200 sq ft","2,200",,7500.0,,
,Los Angeles,Townhomes,CA,91607,"5456 Hermitage Ave, Los Angeles, CA 91607",https://www.apartments.com/5456-hermitage-ave-los-angeles-ca/2wpgp8c/,2 baths,"1,510 sq ft","1,510",3995.0,,,
,Los Angeles,Townhomes,CA,90020,"Los Angeles, CA 90020",https://www.apartments.com/527-s-wilton-pl-los-angeles-ca/3r7jz2d/,1.5 baths,800 sq ft,800,,,2795.0,
4500.0,Santa Monica,Townhomes,CA,90404,"Santa Monica, CA 90404",https://www.apartments.com/1232-stanford-st-santa-monica-ca/5wrm0gq/,2.5 baths,"1,392 sq ft","1,392",,,,
,Los Angeles,Townhomes,CA,90034,"9405 Harlow Ave, Los Angeles, CA 90034",https://www.apartments.com/9405-harlow-ave-los-angeles-ca/gx4ympx/,1.5 baths,"1,100 sq ft","1,100",3000.0,,,
,Los Angeles,Townhomes,CA,90035,"Los Angeles, CA 90035",https://www.apartments.com/1521-s-crest-dr-los-angeles-ca/56qly8m/,2 baths,"1,300 sq ft","1,300",3450.0,,,
,Los Angeles,Townhomes,CA,90019,"Los Angeles, CA 90019",https://www.apartments.com/1525-s-victoria-ave-los-angeles-ca/zx1fr7z/,1 bath,"1,200 sq ft","1,200",2200.0,,,
,California City,Townhomes,CA,93505,"California City, CA 93505",https://www.apartments.com/8318-dogbane-ave-california-city-ca/pbjx1kv/,1 bath,880 sq ft,880,855.0,,,
,Los Angeles,Townhomes,CA,90018,"Los Angeles, CA 90018",https://www.apartments.com/1528-w-36th-plz-los-angeles-ca/bh06jz9/,5 baths,"1,500 sq ft","1,500",,,,1000.0
,Santa Monica,Townhomes,CA,90405,"Santa Monica, CA 90405",https://www.apartments.com/28-sea-colony-dr-santa-monica-ca/qbyy18w/,2.5 baths,"1,916 sq ft","1,916",9000.0,,,
