5 beds,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,2 beds,4 beds,3 beds
6750.0,Newport Beach,Townhomes,CA,92663,"4923 River Ave Newport Beach, CA 92663",https://www.apartments.com/4923-river-ave-newport-beach-ca/z10svkx/,4 baths,"2,000 sq ft","2,000",,,
5700.0,Arcadia,Townhomes,CA,91007,"9622 E Naomi Ave Arcadia, CA 91007",https://www.apartments.com/9622-e-naomi-ave-arcadia-ca/4586egj/,5 baths,"3,189 sq ft","3,189",,,
,Burbank,Townhomes,CA,91501,"707 E Palm Ave Burbank, CA 91501",https://www.apartments.com/707-e-palm-ave-burbank-ca/sykgd47/,2 baths,"1,100 sq ft","1,100",2400.0,,
,Irvine,Townhomes,CA,92620,"158 Groveland Irvine, CA 92620",https://www.apartments.com/158-groveland-irvine-ca/g2kdsey/,2 baths,"1,165 sq ft","1,165",4800.0,,
,Los Angeles,Townhomes,CA,90061,"135 W 110th St Los Angeles, CA 90061",https://www.apartments.com/135-w-110th-st-los-angeles-ca/xj0mnkq/,2 baths,"1,500 sq ft","1,500",,2995.0,
,Long Beach,Townhomes,CA,90815,"5531 E Daggett St Long Beach, CA 90815",https://www.apartments.com/5531-e-daggett-st-long-beach-ca/br44m1c/,2 baths,"1,027 sq ft","1,027",,,3600.0
,Los Angeles,Townhomes,CA,90042,"521 N Avenue 50 Los Angeles, CA 90042",https://www.apartments.com/521-n-avenue-50-los-angeles-ca/zchyplz/,1 bath,567 sq ft,567,2700.0,,
,Newport Beach,Townhomes,CA,92661,"1015 E Balboa Blvd Newport Beach, CA 92661",https://www.apartments.com/1015-e-balboa-blvd-newport-beach-ca/5sv89sn/,3 baths,"1,814 sq ft","1,814",,,8500.0
,Arcadia,Townhomes,CA,91007,"1129 Fairview Ave Arcadia, CA 91007",https://www.apartments.com/1129-fairview-ave-arcadia-ca/xrwh8cn/,3 baths,"1,900 sq ft","1,900",,3400.0,
,Glendale,Townhomes,CA,91206,"1125 N Verdugo Rd Glendale, CA 91206",https://www.apartments.com/1125-n-verdugo-rd-glendale-ca/kjt9w08/,1 bath,800 sq ft,800,2800.0,,
,Whittier,Townhomes,CA,90602,"7646 Bright Ave Whittier, CA 90602",https://www.apartments.com/7646-bright-ave-whittier-ca/d7l65dk/,3 baths,"1,400 sq ft","1,400",,,3100.0
,Whittier,Townhomes,CA,90601,"12407 Rose Dr Whittier, CA 90601",https://www.apartments.com/12407-rose-dr-whittier-ca/281nx7c/,1 bath,"1,140 sq ft","1,140",,,2500.0
,Arcadia,Townhomes,CA,91007,"756 W Naomi Ave Arcadia, CA 91007",https://www.apartments.com/756-w-naomi-ave-arcadia-ca/9zhse94/,3 baths,"2,123 sq ft","2,123",,3500.0,
,San Clemente,Townhomes,CA,92672,"317 Avenida Del Mar San Clemente, CA 92672",https://www.apartments.com/317-avenida-del-mar-san-clemente-ca/cz2bkwd/,3 baths,"1,604 sq ft","1,604",6000.0,,
,Carlsbad,Townhomes,CA,92008,"2872 Trails Ln Carlsbad, CA 92008",https://www.apartments.com/2872-trails-ln-carlsbad-ca/hpp11s0/,5 baths,"2,781 sq ft","2,781",,,7000.0
,Carlsbad,Townhomes,CA,92008,"2864 Trails Ln Carlsbad, CA 92008",https://www.apartments.com/2864-trails-ln-carlsbad-ca/egk68fp/,5 baths,"2,781 sq ft","2,781",,,6500.0
,South Pasadena,Townhomes,CA,91030,"1716 Gillette Crescent South Pasadena, CA 91030",https://www.apartments.com/1716-gillette-crescent-south-pasadena-ca/gbpfq7z/,1 bath,874 sq ft,874,2700.0,,
,Arcadia,Townhomes,CA,91007,"1025 La Cadena Ave Arcadia, CA 91007",https://www.apartments.com/1025-la-cadena-ave-arcadia-ca/zcjdhjz/,1 bath,690 sq ft,690,2000.0,,
,Manhattan Beach,Townhomes,CA,90266,"304 7th St Manhattan Beach, CA 90266",https://www.apartments.com/304-7th-st-manhattan-beach-ca/6dydp3v/,4 baths,"2,540 sq ft","2,540",,19500.0,
,Los Angeles,Townhomes,CA,90006,"1757 Magnolia Ave Los Angeles, CA 90006",https://www.apartments.com/1757-magnolia-ave-los-angeles-ca/snjkmm5/,3 baths,"1,340 sq ft","1,340",,,3000.0
,Los Angeles,Townhomes,CA,90044,"11513 Berendo Ave Los Angeles, CA 90044",https://www.apartments.com/11513-berendo-ave-los-angeles-ca/k78f7r9/,2 baths,950 sq ft,950,,,2700.0
,Newport Beach,Townhomes,CA,92661,"116 E Balboa Blvd Newport Beach, CA 92661",https://www.apartments.com/116-e-balboa-blvd-newport-beach-ca/09brlp3/,1 bath,"1,080 sq ft","1,080",4500.0,,
,Los Angeles,Townhomes,CA,90019,"4829 Edgewood Pl Los Angeles, CA 90019",https://www.apartments.com/4829-edgewood-pl-los-angeles-ca/s6byx95/,2 baths,"1,700 sq ft","1,700",,,3500.0
,Big Bear Lake,Townhomes,CA,92315,"336 Knight Ave Big Bear Lake, CA 92315",https://www.apartments.com/336-knight-ave-big-bear-lake-ca/f05869r/,2 baths,850 sq ft,850,1795.0,,
,Irvine,Townhomes,CA,92602,"170 Parkwood Irvine, CA 92602",https://www.apartments.com/170-parkwood-irvine-ca/l4ppz1g/,3 baths,"1,918 sq ft","1,918",,5000.0,
