3 beds,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,1 bed,2 beds,4 beds,6 beds,5 beds
3000.0,Oxnard,Townhomes,CA,93035,"1834 Fisher Ct Oxnard, CA 93035",https://www.apartments.com/1834-fisher-ct-oxnard-ca/57rvb1q/,3 baths,"1,770 sq ft","1,770",,,,,
3100.0,Chula Vista,Townhomes,CA,91913,"1589 Caminito Zaragoza Chula Vista, CA 91913",https://www.apartments.com/1589-caminito-zaragoza-chula-vista-ca/qlbkrbx/,4 baths,"1,832 sq ft","1,832",,,,,
,San Clemente,Townhomes,CA,92672,"166 Avenida Miramar San Clemente, CA 92672",https://www.apartments.com/166-avenida-miramar-san-clemente-ca/9lbnx57/,1 bath,580 sq ft,580,2400.0,,,,
3700.0,Huntington Beach,Townhomes,CA,92648,"18710 Club Ln Huntington Beach, CA 92648",https://www.apartments.com/18710-club-ln-huntington-beach-ca/1kdzgt4/,3 baths,"1,641 sq ft","1,641",,,,,
,Los Angeles,Townhomes,CA,90731,"331 W 13th St Los Angeles, CA 90731",https://www.apartments.com/331-w-13th-st-los-angeles-ca/f70hnmr/,2 baths,850 sq ft,850,,3000.0,,,
,Laguna Beach,Townhomes,CA,92651,"460 St Ann's Dr Laguna Beach, CA 92651",https://www.apartments.com/460-st-anns-dr-laguna-beach-ca/hyyphj2/,1 bath,500 sq ft,500,3500.0,,,,
13500.0,Newport Beach,Townhomes,CA,92662,"133 Agate Ave Newport Beach, CA 92662",https://www.apartments.com/133-agate-ave-newport-beach-ca/f06bn8v/,3 baths,"1,700 sq ft","1,700",,,,,
2600.0,Pasadena,Townhomes,CA,91107,"54 S San Marino Ave Pasadena, CA 91107",https://www.apartments.com/54-s-san-marino-ave-pasadena-ca/bghvzj8/,2 baths,"1,098 sq ft","1,098",,,,,
,Los Angeles,Townhomes,CA,90019,"1187 Crenshaw Blvd Los Angeles, CA 90019",https://www.apartments.com/1187-crenshaw-blvd-los-angeles-ca/byjj05c/,3 baths,"2,200 sq ft","2,200",,3400.0,,,
,Los Angeles,Townhomes,CA,90731,"329 W 13th St Los Angeles, CA 90731",https://www.apartments.com/329-w-13th-st-los-angeles-ca/51t1c5m/,2 baths,"1,300 sq ft","1,300",,,3350.0,,
6000.0,Indio,Townhomes,CA,92203,"43196 Bacino Ct Indio, CA 92203",https://www.apartments.com/43196-bacino-ct-indio-ca/1b0fqk7/,3 baths,"2,726 sq ft","2,726",,,,,
,Desert Hot Springs,Townhomes,CA,92240,"13700 Quinta Way Desert Hot Springs, CA 92240",https://www.apartments.com/13700-quinta-way-desert-hot-springs-ca/sbq9l15/,1 bath,830 sq ft,830,1200.0,,,,
,Mission Viejo,Townhomes,CA,92692,"26485 Portola Mission Viejo, CA 92692",https://www.apartments.com/26485-portola-mission-viejo-ca/67ssq2v/,3 baths,"1,165 sq ft","1,165",,3000.0,,,
,Long Beach,Townhomes,CA,90803,"5653 2nd St Long Beach, CA 90803",https://www.apartments.com/5653-2nd-st-long-beach-ca/hpd5q33/,1 bath,900 sq ft,900,4000.0,,,,
,Long Beach,Townhomes,CA,90803,"5655 2nd St Long Beach, CA 90803",https://www.apartments.com/5655-2nd-st-long-beach-ca/m07x24l/,1 bath,"1,000 sq ft","1,000",4500.0,,,,
4500.0,Orange,Townhomes,CA,92866,"828 E Fairway Dr Orange, CA 92866",https://www.apartments.com/828-e-fairway-dr-orange-ca/bw7z5rb/,2 baths,"1,258 sq ft","1,258",,,,,
,Manhattan Beach,Townhomes,CA,90266,"2110 Ocean Dr Manhattan Beach, CA 90266",https://www.apartments.com/2110-ocean-dr-manhattan-beach-ca/lfeqw1g/,4 baths,"2,100 sq ft","2,100",,,20000.0,,
