2 beds,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Studio,1 bed,3 beds
2345.0,San Leandro,Townhomes,CA,94577,"153A Haas Ave San Leandro, CA 94577",https://www.apartments.com/linvale-townhomes-san-leandro-ca/sgqyp37/,1 bath,866 sq ft,866,,,
,Los Angeles,Townhomes,CA,90035,"1525 Hi Point St Los Angeles, CA 90035",https://www.apartments.com/hi-point-townhomes-los-angeles-ca/5xdhe1m/,1 bath,866 sq ft,866,,,
2715.0,San Jose,Townhomes,CA,95125,"1134 Willow St San Jose, CA 95125",https://www.apartments.com/deodar-townhomes-san-jose-ca/yekp8ev/,1.5 baths,950 sq ft,950,,,
2700.0,Westminster,Townhomes,CA,92683,"14452 Goldenwest St Westminster, CA 92683",https://www.apartments.com/villa-pacific-townhomes-westminster-ca/m4x2jml/,1.5 baths,"1,300 sq ft","1,300",,,
3225.0,Monterey,Townhomes,CA,93940,"825 Casanova Ave Monterey, CA 93940",https://www.apartments.com/monterey-townhouse-monterey-ca/8rdpln3/,1.5 baths,930 sq ft,930,,,
2210.0,Fresno,Townhomes,CA,93711,"5355 N Valentine Ave Fresno, CA 93711",https://www.apartments.com/ascent-townhome-apartments-fresno-ca/fwwxmdt/,1.5 baths,"1,292 sq ft","1,292",,,
,Canoga Park,Townhomes,CA,91303,"6737 De Soto Ave Canoga Park, CA 91303",https://www.apartments.com/warner-center-townhomes-canoga-park-ca/1fd8055/,1.5 baths,"1,292 sq ft","1,292",,,
,Costa Mesa,Townhomes,CA,92627,"2283 Fountain Way E Costa Mesa, CA 92627",https://www.apartments.com/sea-breeze-rental-townhomes-costa-mesa-ca/kqrjmy8/,1.5 baths,"1,292 sq ft","1,292",,,
,Anaheim,Townhomes,CA,92801,"2256 W Lincoln Ave Anaheim, CA 92801",https://www.apartments.com/victoria-townhouse-anaheim-ca/zj4db0w/,1.5 baths,"1,292 sq ft","1,292",,,
,Los Angeles,Townhomes,CA,90026,"1030 N Alvarado St Los Angeles, CA 90026",https://www.apartments.com/echo-lofts-true-luxury-work-live-townhouses-los-angeles-ca/dv3yjpk/,1 bath,"1,414 sq ft","1,414",1850.0,2700.0,
2400.0,Union City,Townhomes,CA,94587,"2345 Kennedy Ave Union City, CA 94587",https://www.apartments.com/rosewood-townhomes-union-city-ca/0cxzcd2/,1 bath,"1,100 sq ft","1,100",,,
,Los Angeles,Townhomes,CA,90031,"2684 Lacy St Los Angeles, CA 90031",https://www.apartments.com/lacy-studio-townhouse-lofts-los-angeles-ca/qnc2g0y/,1 bath,"900 – 1,400 sq ft",900,2200.0,2300.0,
,Richmond,Townhomes,CA,94803,"5103 Mozart Dr Richmond, CA 94803",https://www.apartments.com/westbridge-townhomes-richmond-ca/td8p2vb/,1 bath,"900 – 1,400 sq ft",900,,,
,Hayward,Townhomes,CA,94541,"22189-22211 S Garden Ave Hayward, CA 94541",https://www.apartments.com/the-townhomes-of-casa-de-luna-hayward-ca/2948kcc/,1 bath,"900 – 1,400 sq ft",900,,,
2195.0,Oceanside,Townhomes,CA,92058,"2070 Poplar Rd Oceanside, CA 92058",https://www.apartments.com/ocean-breeze-oceanside-ca/dmnn0gj/,2.5 baths,"1,000 sq ft","1,000",,,
,Bakersfield,Townhomes,CA,93309,"4249 Parker Ave Bakersfield, CA 93309",https://www.apartments.com/parker-avenue-townhouse-apartments-bakersfield-ca/fw35b6r/,2.5 baths,"1,000 sq ft","1,000",,,
1850.0,Whittier,Townhomes,CA,90601,"13433 Camilla St Whittier, CA 90601",https://www.apartments.com/townhouse-apartments-whittier-ca/5ngn1vm/,1 bath,900 sq ft,900,,,
,Fairfield,Townhomes,CA,94533,"662 Pacific Ave Fairfield, CA 94533",https://www.apartments.com/pacific-heights-townhouse-apartments-fairfield-ca/xryvesn/,1 bath,900 sq ft,900,,,
2695.0,Sunnyvale,Townhomes,CA,94087,"1674 Hollenbeck Ave Sunnyvale, CA 94087",https://www.apartments.com/village-square-townhouses-sunnyvale-ca/83ll8n1/,1 bath,"1,000 sq ft","1,000",,,
1150.0,Bakersfield,Townhomes,CA,93306,"5112 Fairfax Rd Bakersfield, CA 93306",https://www.apartments.com/highland-oaks-apartments-arcadia-townhomes-bakersfield-ca/vqpxhqg/,2 baths,"1,090 sq ft","1,090",,,1475.0
2150.0,Napa,Townhomes,CA,94558,"1624 Pueblo Ave Napa, CA 94558",https://www.apartments.com/vineyard-townhomes-napa-ca/h813s82/,1 bath,870 sq ft,870,,1800.0,
1630.0,Bakersfield,Townhomes,CA,93301,"1001 18th St Bakersfield, CA 93301",https://www.apartments.com/17th-place-townhomes-bakersfield-ca/4re41zh/,1.5 baths,"1,080 sq ft","1,080",,,
