1 bed,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,3 beds,2 beds,4 beds,5 beds,Studio
2250,oakland,Townhomes,CA,94606,"832 7th Ave oakland, CA 94606",https://www.apartments.com/832-7th-ave-oakland-ca/xwbr3cq/,1 bath,300 sq ft,300,,,,,
,Santa Monica,Townhomes,CA,90405,"2203 3rd Street Santa Monica, CA 90405",https://www.apartments.com/2203-3rd-street-santa-monica-ca/j7ekmg4/,2.5 baths,"1,950 sq ft","1,950",8495,,,,
,Carlsbad,Townhomes,CA,92009,"2838 Luciernaga St Carlsbad, CA 92009",https://www.apartments.com/2838-luciernaga-st-carlsbad-ca/s3psqe6/,3 baths,"1,824 sq ft","1,824",3500,,,,
,Pasadena,Townhomes,CA,91106,"269 Ohio St Pasadena, CA 91106",https://www.apartments.com/269-ohio-st-pasadena-ca/vxk62gg/,2 baths,"1,200 sq ft","1,200",,2700,,,
1100,Kelseyville,Townhomes,CA,95451,"3536 Pine Ave Kelseyville, CA 95451",https://www.apartments.com/3536-pine-ave-kelseyville-ca/7dbv5lx/,1 bath,960 sq ft,960,,,,,
,Los Angeles,Townhomes,CA,90039,"2921 N Coolidge Ave Los Angeles, CA 90039",https://www.apartments.com/2921-n-coolidge-ave-los-angeles-ca/3j0mjmd/,1 bath,800 sq ft,800,,2100,,,
,Joshua Tree,Townhomes,CA,92252,"61786 Desert Air Rd Joshua Tree, CA 92252",https://www.apartments.com/61786-desert-air-rd-joshua-tree-ca/2rqlpjc/,2 baths,"1,120 sq ft","1,120",,1650,,,
,Monrovia,Townhomes,CA,91016,"319 W Duarte Rd Monrovia, CA 91016",https://www.apartments.com/319-w-duarte-rd-monrovia-ca/c7g6dhf/,2.5 baths,"1,380 sq ft","1,380",2700,,,,
,Richmond,Townhomes,CA,94804,"830 Marina Way S Richmond, CA 94804",https://www.apartments.com/830-marina-way-s-richmond-ca/fj99rzv/,2.5 baths,"1,530 sq ft","1,530",,1395,,,
,San Rafael,Townhomes,CA,94903,"55 Almond Ct San Rafael, CA 94903",https://www.apartments.com/55-almond-ct-san-rafael-ca/qv3jq7y/,2.5 baths,"1,534 sq ft","1,534",3950,,,,
,Burbank,Townhomes,CA,91501,"621 E Olive Ave Burbank, CA 91501",https://www.apartments.com/621-e-olive-ave-burbank-ca/tszsm7b/,2.5 baths,"1,440 sq ft","1,440",,2950,,,
,San Francisco,Townhomes,CA,94131,"14 Perego Ter San Francisco, CA 94131",https://www.apartments.com/14-perego-ter-san-francisco-ca/beg19rc/,2 baths,"1,098 sq ft","1,098",,3500,,,
,Pasadena,Townhomes,CA,91106,"999 San Pasqual St Pasadena, CA 91106",https://www.apartments.com/999-san-pasqual-st-pasadena-ca/3fre1fd/,2.5 baths,"1,234 sq ft","1,234",,3600,,,
,San Diego,Townhomes,CA,92109,"4278 Noyes St San Diego, CA 92109",https://www.apartments.com/4278-noyes-st-san-diego-ca/m98kcfl/,1 bath,725 sq ft,725,,2495,,,
,Santa Monica,Townhomes,CA,90403,"1112 17th St Santa Monica, CA 90403",https://www.apartments.com/1112-17th-st-santa-monica-ca/qv949yw/,2.5 baths,"1,900 sq ft","1,900",4500,,,,
,Sherman Oaks,Townhomes,CA,91423,"14435 Riverside Dr Sherman Oaks, CA 91423",https://www.apartments.com/14435-riverside-dr-sherman-oaks-ca/hr0mqd1/,2.5 baths,"1,250 sq ft","1,250",,2900,,,
,Burbank,Townhomes,CA,91501,"1751 Cam De Villas Burbank, CA 91501",https://www.apartments.com/1751-cam-de-villas-burbank-ca/87k6wx3/,3 baths,"1,500 sq ft","1,500",4595,,,,
,San Jose,Townhomes,CA,95134,"73 Mirabelli Cir San Jose, CA 95134",https://www.apartments.com/73-mirabelli-cir-san-jose-ca/eq69y6n/,2.5 baths,"1,130 sq ft","1,130",,3100,,,
,Morgan Hill,Townhomes,CA,95037,"17045 Laurel Rd Morgan Hill, CA 95037",https://www.apartments.com/17045-laurel-rd-morgan-hill-ca/em87zcm/,2.5 baths,"1,750 sq ft","1,750",3500,,,,
,Albany,Townhomes,CA,94706,"525 Jackson St Albany, CA 94706",https://www.apartments.com/525-jackson-st-albany-ca/8jfkqx3/,1.5 baths,"1,400 sq ft","1,400",3650,,,,
,Palo Alto,Townhomes,CA,94301,"424 Homer Ave Palo Alto, CA 94301",https://www.apartments.com/424-homer-ave-palo-alto-ca/0689c93/,2 baths,"1,200 sq ft","1,200",4950,,,,
,Los Angeles,Townhomes,CA,91405,"14655 Vanowen St Los Angeles, CA 91405",https://www.apartments.com/14655-vanowen-st-los-angeles-ca/g52s3gx/,2 baths,"1,000 sq ft","1,000",,2296,,,
,Newark,Townhomes,CA,94560,"8649 Seawind Way Newark, CA 94560",https://www.apartments.com/8649-seawind-way-newark-ca/htslb03/,2.5 baths,"1,484 sq ft","1,484",,3750,,,
,Los Angeles,Townhomes,CA,90004,"112 N Oxford Ave Los Angeles, CA 90004",https://www.apartments.com/112-n-oxford-ave-los-angeles-ca/ebts4fp/,5 baths,"1,511 sq ft","1,511",,,5860,6970,
