2 beds,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,3 beds,1 bed,Studio,4 beds
2295.0,Oakland,Townhomes,CA,94605,"2550 75th Ave Oakland, CA 94605",https://www.apartments.com/2550-75th-ave-oakland-ca/sfseqe5/,1 bath,750 sq ft,750,,,,
,Hawthorne,Townhomes,CA,90250,"5401 W 149th Plz Hawthorne, CA 90250",https://www.apartments.com/5401-w-149th-plz-hawthorne-ca/lynwwsg/,3 baths,"1,660 sq ft","1,660",4000.0,,,
5995.0,Santa Monica,Townhomes,CA,90403,"818 18th St Santa Monica, CA 90403",https://www.apartments.com/818-18th-st-santa-monica-ca/yvfsqds/,2.5 baths,"1,500 sq ft","1,500",,,,
,North Hollywood,Townhomes,CA,91606,"6246 Morse Ave North Hollywood, CA 91606",https://www.apartments.com/6246-morse-ave-north-hollywood-ca/504mc7n/,2 baths,"1,197 sq ft","1,197",3100.0,,,
2200.0,Concord,Townhomes,CA,94520,"1106 Eureka Ln Concord, CA 94520",https://www.apartments.com/1106-eureka-ln-concord-ca/5llhwkn/,1 bath,805 sq ft,805,,,,
,Milpitas,Townhomes,CA,95035,"235 Metropolitan Dr Milpitas, CA 95035",https://www.apartments.com/235-metropolitan-dr-milpitas-ca/xq70rpp/,1 bath,100 sq ft,100,,999.0,,
2600.0,San Jose,Townhomes,CA,95126,"869 Villa Ave San Jose, CA 95126",https://www.apartments.com/869-villa-ave-san-jose-ca/mrk69xj/,1 bath,"1,170 sq ft","1,170",,,,
,Oakland,Townhomes,CA,94607,"1075 12th St Oakland, CA 94607",https://www.apartments.com/1075-12th-st-oakland-ca/jgwmcc4/,1 bath,600 sq ft,600,,1999.0,,
,Mountain View,Townhomes,CA,94043,"850 Avery Dr Mountain View, CA 94043",https://www.apartments.com/850-avery-dr-mountain-view-ca/3463vhd/,2.5 baths,"1,700 sq ft","1,700",4985.0,,,
,Los Angeles,Townhomes,CA,90027,"1804 N Serrano Ave Los Angeles, CA 90027",https://www.apartments.com/1804-n-serrano-ave-los-angeles-ca/pxwsflv/,2 baths,"1,150 sq ft","1,150",3300.0,,,
3800.0,Playa del Rey,Townhomes,CA,90293,"8158 Manitoba St Playa del Rey, CA 90293",https://www.apartments.com/8158-manitoba-st-playa-del-rey-ca/x1y39sp/,2.5 baths,"1,280 sq ft","1,280",,,,
,San Pedro,Townhomes,CA,90731,"714 W 31st St San Pedro, CA 90731",https://www.apartments.com/714-w-31st-st-san-pedro-ca/0ff1tv0/,1 bath,450 sq ft,450,,,1900.0,
3000.0,Ventura,Townhomes,CA,93001,"2765 E Harbor Blvd Ventura, CA 93001",https://www.apartments.com/2765-e-harbor-blvd-ventura-ca/ylgj57t/,1 bath,904 sq ft,904,,,,
,Los Angeles,Townhomes,CA,90033,"2031 Sheridan St Los Angeles, CA 90033",https://www.apartments.com/2031-sheridan-st-los-angeles-ca/e7drqzn/,1 bath,750 sq ft,750,,1885.0,,
,Culver City,Townhomes,CA,90232,"4227 Ince Blvd Culver City, CA 90232",https://www.apartments.com/4227-ince-blvd-culver-city-ca/c7nd32d/,3.5 baths,"2,550 sq ft","2,550",,,,8800.0
2890.0,Los Angeles,Townhomes,CA,90036,"541 N Spaulding Ave Los Angeles, CA 90036",https://www.apartments.com/541-n-spaulding-ave-los-angeles-ca/e2w9z1p/,2.5 baths,820 sq ft,820,,,,
