Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Rent_zestimate,Zillow_price/sqft,House_website
"$479,000","555 Maine Ave UNIT 225, Long Beach, CA 90802",555 Maine Ave UNIT 225,LongBeach,CA,90802,2,2,906,null,null,Condominium,1991,2 Attached Garage spaces,$326 monthly,"$503,200","$2,366/mo",$529,https://www.zillow.com/homedetails/555-Maine-Ave-UNIT-225-Long-Beach-CA-90802/21239153_zpid/
"$339,900","26152 Los Viveros APT H, Mission Viejo, CA 92691",26152 Los Viveros APT H,MissionViejo,CA,92691,2,1,812,null,null,Condominium,1984,No Data,$331 monthly,"$433,700","$2,318/mo",$419,https://www.zillow.com/homedetails/26152-Los-Viveros-APT-H-Mission-Viejo-CA-92691/25770560_zpid/
"$469,000","5454 Zelzah Ave APT 301, Encino, CA 91316",5454 Zelzah Ave APT 301,Encino,CA,91316,2,2,"1,228",null,null,Condominium,1970,2 Garage spaces,$390 monthly,"$490,700","$2,659/mo",$382,https://www.zillow.com/homedetails/5454-Zelzah-Ave-APT-301-Encino-CA-91316/19939290_zpid/
"$317,000","3606 Vista Rey UNIT 25, Oceanside, CA 92057",3606 Vista Rey UNIT 25,Oceanside,CA,92057,2,2,"1,177",null,null,"All Other Attached, Condominium",1972,1 Garage space,$370 monthly,"$318,000","$2,159/mo",$269,https://www.zillow.com/homedetails/3606-Vista-Rey-UNIT-25-Oceanside-CA-92057/16599108_zpid/
"$574,900","3300 Wolcott Cmn APT 102, Fremont, CA 94538",3300 Wolcott Cmn APT 102,Fremont,CA,94538,2,2,"1,013",null,null,Condominium,1983,Carport,$417 monthly,null,null,$568,https://www.zillow.com/homedetails/3300-Wolcott-Cmn-APT-102-Fremont-CA-94538/64966712_zpid/
"$1,349,950","1379 Midvale Ave APT 107, Los Angeles, CA 90024",1379 Midvale Ave APT 107,LosAngeles,CA,90024,3,3,"1,812",null,null,Condominium,1982,2 Garage spaces,$540 monthly,"$1,194,400","$4,949/mo",$745,https://www.zillow.com/homedetails/1379-Midvale-Ave-APT-107-Los-Angeles-CA-90024/20503454_zpid/
"$499,000","16533 Caminito Vecinos UNIT 52, San Diego, CA 92128",16533 Caminito Vecinos UNIT 52,SanDiego,CA,92128,2,2,"1,134",null,null,Condominium,1971,1 Carport space,$373 monthly,null,null,$440,https://www.zillow.com/homedetails/16533-Caminito-Vecinos-UNIT-52-San-Diego-CA-92128/2069765122_zpid/
"$415,000","33609 Emerson Way UNIT A, Temecula, CA 92592",33609 Emerson Way UNIT A,Temecula,CA,92592,3,3,"1,674",null,null,Condominium,2003,2 Attached Garage spaces,$318 monthly,"$458,500","$2,749/mo",$248,https://www.zillow.com/homedetails/33609-Emerson-Way-UNIT-A-Temecula-CA-92592/61302479_zpid/
"$458,888","1556 Drake Dr, Davis, CA 95616",1556 Drake Dr,Davis,CA,95616,3,2,"1,192",null,null,Condo,1975,0 spaces,$258 monthly,"$458,900","$2,375/mo",$385,https://www.zillow.com/homedetails/1556-Drake-Dr-Davis-CA-95616/16521011_zpid/
"$529,000","224 Arborwood St, Fillmore, CA 93015",224 Arborwood St,Fillmore,CA,93015,3,3,"1,534",null,null,Condominium,2016,2 Attached Garage spaces,$163 monthly,"$551,268","$2,999/mo",$345,https://www.zillow.com/homedetails/224-Arborwood-St-Fillmore-CA-93015/241533635_zpid/
"$675,000","6124 Buckingham Pkwy UNIT 305, Culver City, CA 90230",6124 Buckingham Pkwy UNIT 305,CulverCity,CA,90230,2,2,"1,276",null,null,Condominium,1968,2 Garage spaces,$302 monthly,"$698,700","$3,731/mo",$529,https://www.zillow.com/homedetails/6124-Buckingham-Pkwy-UNIT-305-Culver-City-CA-90230/2089367834_zpid/
"$688,800","1422 Foothill Meadows Ct, San Jose, CA 95131",1422 Foothill Meadows Ct,SanJose,CA,95131,2,2,988,null,null,Condominium,1984,1 Garage space,$414 monthly,"$707,200","$2,500/mo",$697,https://www.zillow.com/homedetails/1422-Foothill-Meadows-Ct-San-Jose-CA-95131/19560366_zpid/
"$425,000","1685 Arch St APT 4, Berkeley, CA 94709",1685 Arch St APT 4,Berkeley,CA,94709,1,1,687,null,null,Condominium,1939,1 Carport space,$490 monthly,"$459,900","$2,651/mo",$619,https://www.zillow.com/homedetails/1685-Arch-St-APT-4-Berkeley-CA-94709/2080325864_zpid/
"$399,000","254 Sequoia Ct APT 15, Thousand Oaks, CA 91360",254 Sequoia Ct APT 15,ThousandOaks,CA,91360,2,1,836,null,null,Condominium,1978,1 Garage space,$350 monthly,"$407,600","$2,199/mo",$477,https://www.zillow.com/homedetails/254-Sequoia-Ct-APT-15-Thousand-Oaks-CA-91360/16426706_zpid/
"$300,000","76892 Joetta Pl, Palm Desert, CA 92211",76892 Joetta Pl,PalmDesert,CA,92211,2,3,"1,380",null,null,Condominium,1991,2 Attached Garage spaces,$659 monthly,"$300,751","$3,499/mo",$217,https://www.zillow.com/homedetails/76892-Joetta-Pl-Palm-Desert-CA-92211/18094401_zpid/
"$2,895,000","413 Lyon St, San Francisco, CA 94117",413 Lyon St,SanFrancisco,CA,94117,4,4,"2,450",null,null,Condominium,1900,1 Attached Garage space,null,"$2,108,000","$4,403/mo","$1,182",https://www.zillow.com/homedetails/413-Lyon-St-San-Francisco-CA-94117/15085994_zpid/
