Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Rent_zestimate,Zillow_price/sqft,House_website
"$1,650,000","573 Page St, San Francisco, CA 94117",573 Page St,SanFrancisco,CA,94117,2,1,"1,544",null,null,MultiFamily,1910,2 Parking spaces,null,"$1,261,100","$4,251/mo","$1,069",https://www.zillow.com/homedetails/573-Page-St-San-Francisco-CA-94117/59779280_zpid/
"$1,200,000","210 Southside Dr, San Jose, CA 95111",210 Southside Dr,SanJose,CA,95111,3,1,"1,500","9,709 sqft",9709.0,MultiFamily,1948,Garage - Attached,null,"$730,700","$2,784/mo",$800,https://www.zillow.com/homedetails/210-Southside-Dr-San-Jose-CA-95111/19736926_zpid/
"$2,199,999","9560 Cordero Ave, Tujunga, CA 91042",9560 Cordero Ave,Tujunga,CA,91042,5,6,"2,605",0.31 Acres,13503.6,MultiFamily,1960,4 Parking spaces,null,"$1,185,900","$3,691/mo",$845,https://www.zillow.com/homedetails/9560-Cordero-Ave-Tujunga-CA-91042/20101750_zpid/
"$1,199,999","2519 W Jefferson Blvd, Los Angeles, CA 90018",2519 W Jefferson Blvd,LosAngeles,CA,90018,5,3,"2,251","5,254 sqft",5254.0,MultiFamily,1909,4 Parking spaces,null,"$941,300","$3,960/mo",$533,https://www.zillow.com/homedetails/2519-W-Jefferson-Blvd-Los-Angeles-CA-90018/135507982_zpid/
"$930,300","25312 Narbonne Ave, Lomita, CA 90717",25312 Narbonne Ave,Lomita,CA,90717,6,2,"1,844","10,179 sqft",10179.0,MultiFamily,1944,3 Parking spaces,null,"$930,200","$3,899/mo",$505,https://www.zillow.com/homedetails/25312-Narbonne-Ave-Lomita-CA-90717/21281530_zpid/
"$990,500","25318 Narbonne Ave, Lomita, CA 90717",25318 Narbonne Ave,Lomita,CA,90717,5,2,"2,255","10,097 sqft",10097.0,MultiFamily,1952,5 Parking spaces,null,"$984,500","$4,205/mo",$439,https://www.zillow.com/homedetails/25318-Narbonne-Ave-Lomita-CA-90717/136249287_zpid/
"$3,999,950","8214 Norton Ave, West Hollywood, CA 90046",8214 Norton Ave,WestHollywood,CA,90046,12,6,"4,176","7,331 sqft",7331.0,MultiFamily,1932,6 Parking spaces,null,null,null,$958,https://www.zillow.com/homedetails/8214-Norton-Ave-West-Hollywood-CA-90046/20943015_zpid/
"$1,750,000","448 S 10th St, San Jose, CA 95112",448 S 10th St,SanJose,CA,95112,6,4,"3,220","6,534 sqft",6534.0,MultiFamily,1898,6 Parking spaces,null,"$1,487,200","$5,600/mo",$543,https://www.zillow.com/homedetails/448-S-10th-St-San-Jose-CA-95112/2122373377_zpid/
"$518,000","1762 Willis St, Redding, CA 96001",1762 Willis St,Redding,CA,96001,6,3,"3,000","9,844 sqft",9844.0,MultiFamily,1946,Garage,null,"$389,400","$1,652/mo",$173,https://www.zillow.com/homedetails/1762-Willis-St-Redding-CA-96001/15233052_zpid/
"$1,799,000","25 Howard Ave #22, June Lake, CA 93529",25 Howard Ave #22,JuneLake,CA,93529,--,--,--,null,null,MultiFamily,No Data,0 spaces,null,"$1,777,300","$2,300/mo",null,https://www.zillow.com/homedetails/25-Howard-Ave-22-June-Lake-CA-93529/2069677188_zpid/
