Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Rent_zestimate,Zillow_price/sqft,House_website
"$209,999","7210 Doris Ave, Winton, CA 95388",7210 Doris Ave,Winton,CA,95388,4,2,"1,594","6,534 sqft",6534.0,Flat,1973,1 Covered Parking space,null,"$210,099","$1,814/mo",$132,https://www.zillow.com/homedetails/7210-Doris-Ave-Winton-CA-95388/19191745_zpid/
"$4,950,000","7431 Franklin Ave, Los Angeles, CA 90046",7431 Franklin Ave,LosAngeles,CA,90046,4,3,"3,100","9,700 sqft",9700.0,Single Family Residence,2017,2 Garage spaces,null,"$4,739,361","$17,249/mo","$1,597",https://www.zillow.com/homedetails/7431-Franklin-Ave-Los-Angeles-CA-90046/20803447_zpid/
"$350,000","60213 Katie Cir, La Quinta, CA 92253",60213 Katie Cir,LaQuinta,CA,92253,3,3,"1,641","7,841 sqft",7841.0,Single Family Residence,2005,2 Attached Garage spaces,$381 monthly,"$361,100","$3,800/mo",$213,https://www.zillow.com/homedetails/60213-Katie-Cir-La-Quinta-CA-92253/69277461_zpid/
"$340,000","12726 Valentano Ave, Bakersfield, CA 93312",12726 Valentano Ave,Bakersfield,CA,93312,3,2,"1,531","7,841 sqft",7841.0,Single Family Residence,2002,2 Garage spaces,null,"$346,700","$1,950/mo",$222,https://www.zillow.com/homedetails/12726-Valentano-Ave-Bakersfield-CA-93312/63110667_zpid/
"$414,000","917 Amador Ave, Galt, CA 95632",917 Amador Ave,Galt,CA,95632,3,2,"1,077","7,840 sqft",7840.0,Single Family Residence,1993,2 Parking spaces,null,"$452,300","$1,898/mo",$384,https://www.zillow.com/homedetails/917-Amador-Ave-Galt-CA-95632/25956975_zpid/
"$2,940,000","3515 Camino Purisima, Arroyo Grande, CA 93420",3515 Camino Purisima,ArroyoGrande,CA,93420,4,5,"4,085",1.76 Acres,76665.6,Single Family Residence,2011,3 Attached Garage spaces,null,"$2,940,000","$7,677/mo",$720,https://www.zillow.com/homedetails/3515-Camino-Purisima-Arroyo-Grande-CA-93420/114452335_zpid/
"$200,000","4779 Deer Creek Ave, Shasta Lake, CA 96019",4779 Deer Creek Ave,ShastaLake,CA,96019,4,2,"1,919",0.32 Acres,13939.2,SingleFamily,1958,4 Parking spaces,null,"$327,200","$2,295/mo",$104,https://www.zillow.com/homedetails/4779-Deer-Creek-Ave-Shasta-Lake-CA-96019/15202848_zpid/
"$575,000","12682 Carissa Ave, Chino, CA 91710",12682 Carissa Ave,Chino,CA,91710,3,2,"1,600","7,200 sqft",7200.0,Single Family Residence,1974,2 Attached Garage spaces,null,"$603,500","$2,749/mo",$359,https://www.zillow.com/homedetails/12682-Carissa-Ave-Chino-CA-91710/17537000_zpid/
"$379,500","5462 W Floradora Ave, Fresno, CA 93722",5462 W Floradora Ave,Fresno,CA,93722,3,2,"1,766","5,201 sqft",5201.0,SingleFamily,2018,2 Parking spaces,null,null,null,$215,https://www.zillow.com/homedetails/5462-W-Floradora-Ave-Fresno-CA-93722/248680986_zpid/
"$399,000","13287 Wells Fargo Dr, Groveland, CA 95321",13287 Wells Fargo Dr,Groveland,CA,95321,3,2,"1,504",0.59 Acres,25700.4,SingleFamily,1972,2 Parking spaces,$176 monthly,null,null,$265,https://www.zillow.com/homedetails/13287-Wells-Fargo-Dr-Groveland-CA-95321/16205502_zpid/
