Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Rent_zestimate,Zillow_price/sqft,House_website
"$600,000","414625 Scott Rd, Doyle, CA 96109",414625 Scott Rd,Doyle,CA,96109,3,2,"1,660",20 Acres,871200.0,SingleFamily,1984,0 spaces,null,"$349,700","$1,964/mo",$361,https://www.zillow.com/homedetails/414625-Scott-Rd-Doyle-CA-96109/2069671319_zpid/
"$610,000","4053 Summer Ct, Merced, CA 95340",4053 Summer Ct,Merced,CA,95340,5,3,"2,899","9,583 sqft",9583.0,SingleFamily,2004,3 Covered Parking spaces,null,"$542,700","$2,528/mo",$210,https://www.zillow.com/homedetails/4053-Summer-Ct-Merced-CA-95340/61486727_zpid/
"$760,000","5347 Holly Ridge Dr, Camarillo, CA 93012",5347 Holly Ridge Dr,Camarillo,CA,93012,4,2,"1,636","6,098 sqft",6098.0,SingleFamily,1975,2 Parking spaces,null,"$775,833","$3,249/mo",$465,https://www.zillow.com/homedetails/5347-Holly-Ridge-Dr-Camarillo-CA-93012/16373733_zpid/
"$345,000","31472 Mohawk Rd, Coarsegold, CA 93614",31472 Mohawk Rd,Coarsegold,CA,93614,3,2,"1,680",1 Acres,43560.0,SingleFamily,1989,5 Parking spaces,null,"$343,100","$2,400/mo",$205,https://www.zillow.com/homedetails/31472-Mohawk-Rd-Coarsegold-CA-93614/19142011_zpid/
"$325,000","916 S Farragut St, Ridgecrest, CA 93555",916 S Farragut St,Ridgecrest,CA,93555,4,2,"1,847","6,098 sqft",6098.0,SingleFamily,2016,Garage - Attached,null,"$313,400","$1,814/mo",$176,https://www.zillow.com/homedetails/916-S-Farragut-St-Ridgecrest-CA-93555/249712315_zpid/
"$300,000","22507 Robin Hood Dr, Twain Harte, CA 95383",22507 Robin Hood Dr,TwainHarte,CA,95383,2,2,940,0.45 Acres,19602.0,SingleFamily,1988,2 Parking spaces,null,"$288,800","$1,294/mo",$319,https://www.zillow.com/homedetails/22507-Robin-Hood-Dr-Twain-Harte-CA-95383/242152638_zpid/
"$640,000","29823 Old Sycamore Ln, Murrieta, CA 92563",29823 Old Sycamore Ln,Murrieta,CA,92563,3,3,"2,125","6,899 sqft",6899.0,SingleFamily,2000,2 Parking spaces,null,"$631,600","$2,999/mo",$301,https://www.zillow.com/homedetails/29823-Old-Sycamore-Ln-Murrieta-CA-92563/52477167_zpid/
"$300,000","1517 C St, Fresno, CA 93706",1517 C St,Fresno,CA,93706,5,2,"1,589","5,227 sqft",5227.0,SingleFamily,2005,Garage - Attached,null,"$239,000","$1,849/mo",$189,https://www.zillow.com/homedetails/1517-C-St-Fresno-CA-93706/174929141_zpid/
"$377,000","340 Trinity Cir, Hanford, CA 93230",340 Trinity Cir,Hanford,CA,93230,3,2,"1,778","10,018 sqft",10018.0,SingleFamily,1986,Garage - Attached,null,"$347,900","$1,864/mo",$212,https://www.zillow.com/homedetails/340-Trinity-Cir-Hanford-CA-93230/95622646_zpid/
"Est. $1,886,000","4490 Arcadia Ave, Oakland, CA 94602",4490 Arcadia Ave,Oakland,CA,94602,5,4,"2,866",0.32 Acres,13939.2,SingleFamily,1968,Garage - Attached,null,null,null,null,https://www.zillow.com/homedetails/4490-Arcadia-Ave-Oakland-CA-94602/24773678_zpid/
"$499,900","605 Violet St, Modesto, CA 95356",605 Violet St,Modesto,CA,95356,4,2,"2,163","7,601 sqft",7601.0,SingleFamily,1973,2 Covered Parking spaces,null,"$472,900","$2,591/mo",$231,https://www.zillow.com/homedetails/605-Violet-St-Modesto-CA-95356/16026059_zpid/
"$659,000","6511 Short Way, Los Angeles, CA 90042",6511 Short Way,LosAngeles,CA,90042,1,1,559,"5,644 sqft",5644.0,SingleFamily,1921,0 spaces,null,"$671,200","$1,849/mo","$1,179",https://www.zillow.com/homedetails/6511-Short-Way-Los-Angeles-CA-90042/82874249_zpid/
"$385,000","6624 Jetta Ave, Bakersfield, CA 93308",6624 Jetta Ave,Bakersfield,CA,93308,3,2,"1,670",0.29 Acres,12632.4,SingleFamily,1963,3 Parking spaces,null,"$305,000","$1,849/mo",$231,https://www.zillow.com/homedetails/6624-Jetta-Ave-Bakersfield-CA-93308/18989951_zpid/
"Est. $674,500","13221 Bombay St, Sylmar, CA 91342",13221 Bombay St,Sylmar,CA,91342,3,2,"1,236","6,098 sqft",6098.0,SingleFamily,1956,2 Parking spaces,null,null,null,null,https://www.zillow.com/homedetails/13221-Bombay-St-Sylmar-CA-91342/20075427_zpid/
"$1,250,000","2440 Soda Canyon Rd, Napa, CA 94558",2440 Soda Canyon Rd,Napa,CA,94558,3,2,"1,268",5.30 Acres,230868.0,SingleFamily,1956,0 spaces,null,"$1,174,700","$3,850/mo",$986,https://www.zillow.com/homedetails/2440-Soda-Canyon-Rd-Napa-CA-94558/19404944_zpid/
"$850,000","28212 Picadilly Pl, Castaic, CA 91384",28212 Picadilly Pl,Castaic,CA,91384,4,3,"2,870","8,075 sqft",8075.0,SingleFamily,2003,0 spaces,$87 monthly,"$821,900","$4,025/mo",$296,https://www.zillow.com/homedetails/28212-Picadilly-Pl-Castaic-CA-91384/55822402_zpid/
"$1,070,000","1266 Cyndie Ln, Santa Maria, CA 93455",1266 Cyndie Ln,SantaMaria,CA,93455,4,3,"3,078",null,null,Unknown,1995,0 spaces,$77 monthly,null,null,$348,https://www.zillow.com/homedetails/1266-Cyndie-Ln-Santa-Maria-CA-93455/97871902_zpid/
"$520,000","6375 Hemlock Way, Rocklin, CA 95677",6375 Hemlock Way,Rocklin,CA,95677,3,2,"1,382","9,539 sqft",9539.0,SingleFamily,1973,2 Parking spaces,null,"$531,200","$2,394/mo",$376,https://www.zillow.com/homedetails/6375-Hemlock-Way-Rocklin-CA-95677/89666539_zpid/
"$480,000","600 Hobbs Wall Rd, Crescent City, CA 95531",600 Hobbs Wall Rd,CrescentCity,CA,95531,3,2,"1,288",2 Acres,87120.0,SingleFamily,1980,3 Parking spaces,null,"$369,800","$1,627/mo",$373,https://www.zillow.com/homedetails/600-Hobbs-Wall-Rd-Crescent-City-CA-95531/18563137_zpid/
"$594,241","5510 Mable Rose Way, Antelope, CA 95843",5510 Mable Rose Way,Antelope,CA,95843,4,2,"2,009",null,null,Unknown,2003,Garage - Attached,null,null,null,$296,https://www.zillow.com/homedetails/5510-Mable-Rose-Way-Antelope-CA-95843/61291961_zpid/
"$1,825,000","8 Copper Hill Way, Novato, CA 94947",8 Copper Hill Way,Novato,CA,94947,5,4,"3,768","7,318 sqft",7318.0,SingleFamily,2001,3 Parking spaces,$133 monthly,"$1,742,200","$5,658/mo",$484,https://www.zillow.com/homedetails/8-Copper-Hill-Way-Novato-CA-94947/51065014_zpid/
"$499,000","1282 Bonanza Ave, South Lake Tahoe, CA 96150",1282 Bonanza Ave,SouthLakeTahoe,CA,96150,2,1,848,1 Acres,43560.0,SingleFamily,1954,5 Parking spaces,null,"$581,600","$2,084/mo",$588,https://www.zillow.com/homedetails/1282-Bonanza-Ave-South-Lake-Tahoe-CA-96150/18581071_zpid/
"$119,900","23500 The Old Rd SPACE 25, Newhall, CA 91321",23500 The Old Rd SPACE 25,Newhall,CA,91321,3,2,"1,092",No Data,null,SingleFamily,2020,Carport,null,null,null,$110,https://www.zillow.com/homedetails/23500-The-Old-Rd-SPACE-25-Newhall-CA-91321/2077438801_zpid/
"$1,299,000","27836 Country Lane Rd, Laguna Niguel, CA 92677",27836 Country Lane Rd,LagunaNiguel,CA,92677,3,3,"2,367","4,486 sqft",4486.0,SingleFamily,1999,3 Parking spaces,$162 monthly,"$1,229,200","$4,859/mo",$549,https://www.zillow.com/homedetails/27836-Country-Lane-Rd-Laguna-Niguel-CA-92677/25552214_zpid/
"$875,000","16142 Wolf Mountain Rd, Grass Valley, CA 95949",16142 Wolf Mountain Rd,GrassValley,CA,95949,3,3,"2,755",5.08 Acres,221284.8,SingleFamily,2001,6 Parking spaces,$26 monthly,"$850,500","$2,923/mo",$318,https://www.zillow.com/homedetails/16142-Wolf-Mountain-Rd-Grass-Valley-CA-95949/19441993_zpid/
"$339,500","2029 Belcot Rd, Sacramento, CA 95825",2029 Belcot Rd,Sacramento,CA,95825,3,1,"1,008","10,410 sqft",10410.0,SingleFamily,1953,6 Parking spaces,null,"$323,600","$1,944/mo",$337,https://www.zillow.com/homedetails/2029-Belcot-Rd-Sacramento-CA-95825/26091785_zpid/
"$465,000","857 Stetson Way, Galt, CA 95632",857 Stetson Way,Galt,CA,95632,3,2,"1,171","9,975 sqft",9975.0,SingleFamily,1987,Garage - Attached,null,"$423,500","$2,100/mo",$397,https://www.zillow.com/homedetails/857-Stetson-Way-Galt-CA-95632/25952400_zpid/
"$2,400,000","18909 Godinho Ave, Cerritos, CA 90703",18909 Godinho Ave,Cerritos,CA,90703,5,6,"3,655","5,825 sqft",5825.0,SingleFamily,2020,5 Parking spaces,null,"$1,444,700","$7,139/mo",$657,https://www.zillow.com/homedetails/18909-Godinho-Ave-Cerritos-CA-90703/21118193_zpid/
"$479,000","19316 Lexington Ln, Redding, CA 96003",19316 Lexington Ln,Redding,CA,96003,3,2,"1,538",0.37 Acres,16117.2,SingleFamily,1994,Garage - Attached,null,"$415,400","$1,749/mo",$311,https://www.zillow.com/homedetails/19316-Lexington-Ln-Redding-CA-96003/15221818_zpid/
"$399,500","840 Jefferson Ct, Redding, CA 96002",840 Jefferson Ct,Redding,CA,96002,3,2,"1,400",0.27 Acres,11761.2,SingleFamily,2000,12 Parking spaces,null,"$349,200","$1,749/mo",$285,https://www.zillow.com/homedetails/840-Jefferson-Ct-Redding-CA-96002/59678500_zpid/
