Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Rent_zestimate,Zillow_price/sqft,House_website
"$1,695,000","524 Crown Point Ter, Sunnyvale, CA 94087",524 Crown Point Ter,Sunnyvale,CA,94087,3,3,"1,905",945 sqft,945.0,Townhouse,2014,Garage - Attached,$292 monthly,null,null,$890,https://www.zillow.com/homedetails/524-Crown-Point-Ter-Sunnyvale-CA-94087/2069177674_zpid/
"$1,499,000","18400 Overlook Rd UNIT 55, Los Gatos, CA 95030",18400 Overlook Rd UNIT 55,LosGatos,CA,95030,3,3,"2,003","1,507 sqft",1507.0,Townhouse,1967,2 Parking spaces,$73 monthly,"$1,549,356","$5,340/mo",$748,https://www.zillow.com/homedetails/18400-Overlook-Rd-UNIT-55-Los-Gatos-CA-95030/19744294_zpid/
"$795,000","18 Ranch Dr, Novato, CA 94945",18 Ranch Dr,Novato,CA,94945,3,3,"1,896","1,594 sqft",1594.0,Townhouse,2004,2 Attached Garage spaces,$80 monthly,"$814,200","$3,899/mo",$419,https://www.zillow.com/homedetails/18-Ranch-Dr-Novato-CA-94945/61243343_zpid/
"$589,000","231 Via Colinas, Westlake Village, CA 91362",231 Via Colinas,WestlakeVillage,CA,91362,2,2,"1,254","1,254 sqft",1254.0,Townhouse,1985,1 Attached Garage space,$345 monthly,"$613,100","$3,028/mo",$470,https://www.zillow.com/homedetails/231-Via-Colinas-Westlake-Village-CA-91362/16488073_zpid/
"$1,299,000","154 Albacore Ln, Foster City, CA 94404",154 Albacore Ln,FosterCity,CA,94404,3,3,"1,630","1,799 sqft",1799.0,Townhouse,1987,2 Parking spaces,$543 monthly,"$1,396,828","$4,464/mo",$797,https://www.zillow.com/homedetails/154-Albacore-Ln-Foster-City-CA-94404/15616437_zpid/
"$549,999","28131 Bobwhite Cir UNIT 96, Santa Clarita, CA 91350",28131 Bobwhite Cir UNIT 96,SantaClarita,CA,91350,3,3,"1,492",6.53 Acres,284446.8,Townhouse,1989,2 Attached Garage spaces,$302 monthly,"$578,400","$2,966/mo",$369,https://www.zillow.com/homedetails/28131-Bobwhite-Cir-UNIT-96-Santa-Clarita-CA-91350/20316922_zpid/
"$699,999","6198 Lincoln Ave, Cypress, CA 90630",6198 Lincoln Ave,Cypress,CA,90630,4,4,"1,567",No Data,null,Townhouse,2015,2 Attached Garage spaces,$164 monthly,"$729,000","$3,294/mo",$447,https://www.zillow.com/homedetails/6198-Lincoln-Ave-Cypress-CA-90630/246154043_zpid/
"$824,990+","Sol 1 Plan, A-Town   Sol",Sol 1 Plan,A-TownSol,null,null,3,4,"1,978",No Data,null,Townhouse,2021,2 Parking spaces,null,null,null,$417,https://www.zillow.com/community/a-town-sol/2069114414_zpid/
"$450,000","8338 Woodley Pl UNIT 32, North Hills, CA 91343",8338 Woodley Pl UNIT 32,NorthHills,CA,91343,3,3,"1,252",1.35 Acres,58806.0,Townhouse,1984,2 Attached Garage spaces,$330 monthly,"$500,300","$2,749/mo",$359,https://www.zillow.com/homedetails/8338-Woodley-Pl-UNIT-32-North-Hills-CA-91343/20143990_zpid/
"$372,000","1331 Church St APT 4, Redlands, CA 92374",1331 Church St APT 4,Redlands,CA,92374,3,3,"1,160","1,160 sqft",1160.0,Townhouse,1985,2 Attached Garage spaces,$300 monthly,"$352,800","$2,400/mo",$321,https://www.zillow.com/homedetails/1331-Church-St-APT-4-Redlands-CA-92374/17257545_zpid/
