Actual,Predicted,Deviation
" $1,023,000 "," $1,029,551 "," $6,551 "
" $979,000 "," $986,219 "," $7,219 "
" $777,000 "," $784,890 "," $7,890 "
" $659,500 "," $667,166 "," $7,666 "
" $615,000 "," $622,466 "," $7,466 "
" $565,000 "," $572,915 "," $7,915 "
" $545,000 "," $552,651 "," $7,651 "
" $529,900 "," $537,637 "," $7,737 "
" $525,000 "," $532,606 "," $7,606 "
" $459,000 "," $466,862 "," $7,862 "
" $425,000 "," $431,947 "," $6,947 "
" $369,000 "," $376,763 "," $7,763 "
" $358,800 "," $366,242 "," $7,442 "
" $348,000 "," $355,327 "," $7,327 "
" $297,999 "," $305,567 "," $7,568 "
" $212,500 "," $220,329 "," $7,829 "
" $1,448,000 "," $1,455,637 "," $7,637 "
" $1,429,000 "," $1,435,807 "," $6,807 "
" $1,388,000 "," $1,394,410 "," $6,410 "
" $1,325,000 "," $1,331,233 "," $6,233 "
" $1,325,000 "," $1,331,860 "," $6,860 "
" $1,299,000 "," $1,306,473 "," $7,473 "
" $1,285,000 "," $1,292,083 "," $7,083 "
" $1,279,000 "," $1,286,295 "," $7,295 "
" $1,275,000 "," $1,282,236 "," $7,236 "
" $1,250,000 "," $1,254,655 "," $4,655 "
" $1,250,000 "," $1,257,168 "," $7,168 "
" $1,249,000 "," $1,255,880 "," $6,880 "
" $1,238,000 "," $1,245,207 "," $7,207 "
" $1,229,900 "," $1,236,951 "," $7,051 "
" $1,199,000 "," $1,205,816 "," $6,816 "
" $1,099,000 "," $1,105,597 "," $6,597 "
" $1,098,000 "," $1,105,873 "," $7,873 "
" $1,049,000 "," $1,056,452 "," $7,452 "
" $1,049,000 "," $1,056,395 "," $7,395 "
" $1,023,000 "," $1,030,058 "," $7,058 "
" $599,000 "," $606,078 "," $7,078 "
" $599,000 "," $606,825 "," $7,825 "
" $598,000 "," $605,327 "," $7,327 "
" $595,000 "," $602,368 "," $7,368 "
" $595,000 "," $602,368 "," $7,368 "
" $590,000 "," $597,549 "," $7,549 "
" $589,999 "," $597,299 "," $7,300 "
" $585,950 "," $593,482 "," $7,532 "
" $579,900 "," $587,489 "," $7,589 "
" $579,900 "," $587,457 "," $7,557 "
" $579,900 "," $587,457 "," $7,557 "
" $579,000 "," $586,454 "," $7,454 "
" $577,000 "," $584,656 "," $7,656 "
" $574,999 "," $582,375 "," $7,376 "
" $569,999 "," $577,156 "," $7,157 "
" $569,999 "," $577,156 "," $7,157 "
" $569,950 "," $577,401 "," $7,451 "
" $567,000 "," $574,181 "," $7,181 "
" $560,000 "," $567,405 "," $7,405 "
" $559,900 "," $566,750 "," $6,850 "
" $329,900 "," $337,528 "," $7,628 "
" $325,000 "," $332,583 "," $7,583 "
" $319,900 "," $327,395 "," $7,495 "
" $315,000 "," $322,484 "," $7,484 "
" $315,000 "," $322,778 "," $7,778 "
" $315,000 "," $322,812 "," $7,812 "
" $315,000 "," $322,614 "," $7,614 "
" $309,900 "," $317,493 "," $7,593 "
" $309,000 "," $316,438 "," $7,438 "
" $299,900 "," $307,378 "," $7,478 "
" $299,900 "," $307,378 "," $7,478 "
" $295,000 "," $302,581 "," $7,581 "
" $294,500 "," $302,366 "," $7,866 "
" $290,000 "," $297,615 "," $7,615 "
" $289,950 "," $297,444 "," $7,494 "
" $289,900 "," $297,700 "," $7,800 "
" $279,900 "," $287,372 "," $7,472 "
" $279,000 "," $286,615 "," $7,615 "
" $275,000 "," $283,051 "," $8,051 "
" $269,999 "," $277,556 "," $7,557 "
" $239,900 "," $247,429 "," $7,529 "
" $225,900 "," $233,490 "," $7,590 "
" $11,995,000 "," $12,000,686 "," $5,686 "
" $9,500,000 "," $9,506,250 "," $6,250 "
" $3,750,000 "," $3,756,737 "," $6,737 "
" $2,695,000 "," $2,702,064 "," $7,064 "
" $2,495,000 "," $2,501,807 "," $6,807 "
" $2,450,000 "," $2,454,978 "," $4,978 "
" $2,395,000 "," $2,402,398 "," $7,398 "
" $2,299,000 "," $2,304,642 "," $5,642 "
" $2,275,000 "," $2,282,502 "," $7,502 "
" $2,199,000 "," $2,205,784 "," $6,784 "
" $1,880,000 "," $1,885,667 "," $5,667 "
" $1,599,000 "," $1,605,814 "," $6,814 "
" $1,499,000 "," $1,506,741 "," $7,741 "
" $1,400,000 "," $1,408,202 "," $8,202 "
" $1,375,000 "," $1,382,381 "," $7,381 "
" $1,299,000 "," $1,306,686 "," $7,686 "
" $1,249,000 "," $1,256,202 "," $7,202 "
" $1,189,000 "," $1,197,105 "," $8,105 "
" $1,499,000 "," $1,505,953 "," $6,953 "
" $1,498,888 "," $1,506,007 "," $7,119 "
" $1,498,888 "," $1,506,007 "," $7,119 "
" $1,495,000 "," $1,501,080 "," $6,080 "
" $1,489,000 "," $1,495,186 "," $6,186 "
" $1,450,000 "," $1,456,982 "," $6,982 "
" $1,395,000 "," $1,401,726 "," $6,726 "
" $1,325,000 "," $1,332,352 "," $7,352 "
" $1,325,000 "," $1,332,382 "," $7,382 "
" $1,325,000 "," $1,332,382 "," $7,382 "
" $1,300,000 "," $1,307,407 "," $7,407 "
" $1,299,900 "," $1,306,373 "," $6,473 "
" $1,299,900 "," $1,307,168 "," $7,268 "
" $1,299,000 "," $1,306,345 "," $7,345 "
" $1,295,000 "," $1,301,659 "," $6,659 "
" $1,250,000 "," $1,256,102 "," $6,102 "
" $1,219,000 "," $1,226,217 "," $7,217 "
" $1,200,000 "," $1,207,514 "," $7,514 "
" $1,199,000 "," $1,206,804 "," $7,804 "
" $1,185,000 "," $1,192,319 "," $7,319 "
" $700,000 "," $707,070 "," $7,070 "
" $700,000 "," $707,563 "," $7,563 "
" $699,999 "," $707,660 "," $7,661 "
