"
                        1 Bedroom
                            –
2 Bedrooms                    ","
                        1 Bedroom
                            –
3 Bedrooms                    ","
                        Studio
                            –
2 Bedrooms                    ",1 Bedroom,2 Bedrooms,3 Bedrooms,4 Bedrooms,4+ Bedrooms,Bedroom_Info,City_Rent,Property_Name_Rent,State_Rent,Studio,Type,Zip_code
,,,,,"$2,150 ",,,"[{'bedroom_type': '3 Bedrooms', 'price': '$2,150 '}]",Santa Maria,Refugio,CA,,Apartment,93455
,,,"$1,754 ","$2,078 ","$3,049 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,754 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,078 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,049 '}]",Roseville,Campus Oaks Apartments,CA,,Apartment,95747
,,,"$3,759 ","$4,484 ",,,,"[{'bedroom_type': 'Studio', 'price': '$3,219 '}, {'bedroom_type': '1 Bedroom', 'price': '$3,759 '}, {'bedroom_type': '2 Bedrooms', 'price': '$4,484 '}]",Redwood City,Huxley,CA,"$3,219 ",Apartment,94063
,,,"$1,630 ","$2,195 ","$2,550 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,630 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,195 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,550 '}]",Corona,Terrano,CA,,Apartment,92883
,,,"$1,851 ","$2,104 ",,,,"[{'bedroom_type': 'Studio', 'price': '$1,358 '}, {'bedroom_type': '1 Bedroom', 'price': '$1,851 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,104 '}]",Vista,Creekside Apartments,CA,"$1,358 ",Apartment,92083
,,,"$2,144 ","$2,446 ","$3,365 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,144 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,446 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,365 '}]",Camarillo,Andorra Apartments,CA,,Apartment,93012
,,,"$2,150 ","$2,340 ","$2,875 ","$3,145 ",,"[{'bedroom_type': '1 Bedroom', 'price': '$2,150 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,340 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,875 '}, {'bedroom_type': '4 Bedrooms', 'price': '$3,145 '}]",Chino Hills,Santa Barbara At Chino Hills,CA,,Apartment,91709
,,,,,,,,"[{'bedroom_type': '\r\n                        1 Bedroom\r\n                            –\r\n3 Bedrooms                    ', 'price': ''}]",Folsom,Pique at Iron Point,CA,,Apartment,95630
,,,,"$3,730 ","$4,102 ",,,"[{'bedroom_type': '2 Bedrooms', 'price': '$3,730 '}, {'bedroom_type': '3 Bedrooms', 'price': '$4,102 '}]",Los Angeles,Windsor Square Villas,CA,,Apartment,90005
,,,"$1,795 ","$2,125 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,795 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,125 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Paso Robles,Blue Oak,CA,,Apartment,93446
,,,,"$7,450 ","$17,000 ",,,"[{'bedroom_type': '2 Bedrooms', 'price': '$7,450 '}, {'bedroom_type': '3 Bedrooms', 'price': '$17,000 '}, {'bedroom_type': '4+ Bedrooms', 'price': ''}]",Palo Alto,430 Forest Avenue,CA,,Apartment,94301
,,,"$1,725 ","$1,825 ","$2,340 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,725 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,825 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,340 '}]",Huntington Beach,Ocean Breeze Villas,CA,,Apartment,92647
,,,"$1,835 ","$2,285 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,835 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,285 '}]",Laguna Hills,Aliso Town Center Apartment Homes,CA,,Apartment,92656
,,,"$2,326 ","$2,758 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,326 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,758 '}]",San Jose,eaves San Jose,CA,,Apartment,95132
,,,,"$1,695 ","$1,840 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,055 '}, {'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': '$1,695 '}, {'bedroom_type': '3 Bedrooms', 'price': '$1,840 '}]",La Habra,La Habra Hill Apartments,CA,"$1,055 ",Apartment,90631
,,,"$1,529 ","$2,049 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,529 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,049 '}]",Vista,Shadowridge Summerwind,CA,,Apartment,92081
,,,"$1,640 ","$1,945 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,640 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,945 '}]",Fullerton,Uptown Fullerton,CA,,Apartment,92835
,,,,"$1,710 ","$2,040 ",,,"[{'bedroom_type': '2 Bedrooms', 'price': '$1,710 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,040 '}, {'bedroom_type': '4 Bedrooms', 'price': ''}]",Anaheim,Tara Hill Apartments,CA,,Apartment,92801
,,,"$3,252 ","$3,542 ","$4,599 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$3,252 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,542 '}, {'bedroom_type': '3 Bedrooms', 'price': '$4,599 '}]",Sunnyvale,Avana Sunnyvale,CA,,Apartment,94085
,,,"$2,399 ","$3,209 ",,,,"[{'bedroom_type': 'Studio', 'price': '$2,149 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,399 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,209 '}]",San Francisco,Lakewood Apartments at Lake Merced,CA,"$2,149 ",Apartment,94132
,,,,,,,,"[{'bedroom_type': '\r\n                        1 Bedroom\r\n                            –\r\n2 Bedrooms                    ', 'price': ''}]",Folsom,The Legends At Willow Creek,CA,,Apartment,95630
,,,"$1,850 ","$2,505 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,850 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,505 '}]",Sherman Oaks,The Grand,CA,,Apartment,91403
,,,"$1,699 ","$1,932 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,699 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,932 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Chino Hills,The Heights at Chino Hills,CA,,Apartment,91709
,,,,"$2,595 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': '$2,595 '}]",Los Alamitos,Ascent Apartment Homes,CA,,Apartment,90720
,,,"$1,760 ","$1,980 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,760 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,980 '}]",San Diego,Prado Apartments,CA,,Apartment,92108
,,,"$2,630 ","$2,847 ",,,,"[{'bedroom_type': 'Studio', 'price': '$2,098 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,630 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,847 '}]",San Rafael,The Lofts at Albert Park,CA,"$2,098 ",Apartment,94901
,,,"$1,418 ","$1,514 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,418 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,514 '}]",Via,Country Hills,Co,,Apartment,rona
,,,"$1,740 ","$2,305 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,740 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,305 '}]",Anaheim Hills,Sycamore Canyon Apartment Homes,CA,,Apartment,92808
,,,"$2,059 ","$2,599 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,059 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,599 '}]",Long Beach,Camden Harbor View,CA,,Apartment,90802
