"
                        1 Bedroom
                            –
2 Bedrooms                    ","
                        1 Bedroom
                            –
3 Bedrooms                    ","
                        Studio
                            –
2 Bedrooms                    ","
                        Studio
                            –
3 Bedrooms                    ","
                        Studio
                            –
4 Bedrooms                    ",1 Bedroom,2 Bedrooms,3 Bedrooms,Bedroom_Info,City_Rent,Property_Name_Rent,State_Rent,Studio,Type,Zip_code
,,,,,"$2,045 ","$2,234 ",,"[{'bedroom_type': '1 Bedroom', 'price': '$2,045 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,234 '}]",Santa Ana,PRISMA,CA,,Apartment,92705
,,,,,,,,"[{'bedroom_type': '\r\n                        Studio\r\n                            –\r\n3 Bedrooms                    ', 'price': ''}]",Los Angeles,THE MANSFIELD,CA,,Apartment,90036
,,,,,"$2,628 ","$3,173 ",,"[{'bedroom_type': '1 Bedroom', 'price': '$2,628 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,173 '}]",Fremont,Artist Walk,CA,,Apartment,94536
,,,,,"$2,175 ","$3,280 ",,"[{'bedroom_type': 'Studio', 'price': '$2,065 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,175 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,280 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Irvine,Rize Irvine Apartments,CA,"$2,065 ",Apartment,92614
,,,,,"$2,265 ","$3,650 ",,"[{'bedroom_type': 'Studio', 'price': '$1,995 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,265 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,650 '}]",Los Angeles,The Roy,CA,"$1,995 ",Apartment,90034
,,,,,"$2,615 ","$2,930 ",,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': '$2,615 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,930 '}]",Dublin,Aster,CA,,Apartment,94568
,,,,,"$2,775 ","$3,465 ",,"[{'bedroom_type': '1 Bedroom', 'price': '$2,775 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,465 '}]",San Francisco,Waterbend,CA,,Apartment,94124
,,,,,"$3,190 ","$3,795 ",,"[{'bedroom_type': '1 Bedroom', 'price': '$3,190 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,795 '}]",Playa Vista,Villas at Playa Vista - Malibu,CA,,Apartment,90094
,,,,,"$2,645 ","$4,150 ",,"[{'bedroom_type': 'Studio', 'price': '$2,400 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,645 '}, {'bedroom_type': '2 Bedrooms', 'price': '$4,150 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",San Diego,AV8,CA,"$2,400 ",Apartment,92101
,,,,,"$3,185 ","$3,640 ",,"[{'bedroom_type': '1 Bedroom', 'price': '$3,185 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,640 '}]",Oakland,777 Broadway,CA,,Apartment,94607
,,,,,"$1,810 ","$2,332 ","$2,705 ","[{'bedroom_type': '1 Bedroom', 'price': '$1,810 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,332 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,705 '}]",Chula Vista,Enclave Otay Ranch,CA,,Apartment,91913
