1 Bedroom,2 Bedrooms,3 Bedrooms,4 Bedrooms,Bedroom_Info,City_Rent,Property_Name_Rent,State_Rent,Studio,Type,Zip_code
"$2,356 ","$2,890 ",,,"[{'bedroom_type': 'Studio', 'price': '$2,030 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,356 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,890 '}]",Los Angeles,Sakura Crossing,CA,"$2,030 ",Apartment,90012
"$1,849 ","$2,379 ","$3,424 ",,"[{'bedroom_type': 'Studio', 'price': '$1,669 '}, {'bedroom_type': '1 Bedroom', 'price': '$1,849 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,379 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,424 '}]",Costa Mesa,27 Seventy Five Mesa Verde,CA,"$1,669 ",Apartment,92626
"$3,300 ",,,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': '$3,300 '}, {'bedroom_type': '2 Bedrooms', 'price': ''}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Berkeley,Parker,CA,,Apartment,94704
"$3,215 ","$3,800 ","$5,355 ",,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': '$3,215 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,800 '}, {'bedroom_type': '3 Bedrooms', 'price': '$5,355 '}]",West Hollywood,Avalon West Hollywood,CA,,Apartment,90046
"$2,180 ","$3,070 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,180 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,070 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Woodland Hills,Motif,CA,,Apartment,91367
"$1,400 ","$1,805 ",,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': '$1,400 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,805 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",La Mesa,The Hills At Spring Street Apartments,CA,,Apartment,91941
"$2,655 ","$2,860 ","$4,080 ",,"[{'bedroom_type': '1 Bedroom', 'price': '$2,655 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,860 '}, {'bedroom_type': '3 Bedrooms', 'price': '$4,080 '}]",Fremont,Avalon Fremont,CA,,Apartment,94538
"$2,639 ","$3,765 ",,,"[{'bedroom_type': 'Studio', 'price': '$2,405 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,639 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,765 '}]",Mountain View,eaves Mt. View at Middlefield,CA,"$2,405 ",Apartment,94043
,"$1,425 ",,,"[{'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': '$1,425 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Ontario,Mission Village,CA,,Apartment,91762
"$2,165 ","$2,745 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,950 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,165 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,745 '}]",Irvine,Park Place Apartment Homes,CA,"$1,950 ",Apartment,92612
"$2,015 ","$2,700 ","$3,670 ",,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': '$2,015 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,700 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,670 '}]",Huntington Beach,Luce,CA,,Apartment,92647
"$1,425 ","$1,570 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,425 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,570 '}]",Vista,Sycamore Ridge Apartments,CA,,Apartment,92081
"$2,725 ","$3,647 ","$5,583 ",,"[{'bedroom_type': '1 Bedroom', 'price': '$2,725 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,647 '}, {'bedroom_type': '3 Bedrooms', 'price': '$5,583 '}]",Santa Monica,AO Santa Monica,CA,,Apartment,90404
"$1,382 ","$1,502 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,375 '}, {'bedroom_type': '1 Bedroom', 'price': '$1,382 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,502 '}]",Redlands,Redlands Lawn and Tennis,CA,"$1,375 ",Apartment,92373
"$3,760 ","$4,625 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$3,760 '}, {'bedroom_type': '2 Bedrooms', 'price': '$4,625 '}]",Playa Vista,Villas at Playa Vista - Montecito,CA,,Apartment,90094
"$1,592 ","$2,319 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,542 '}, {'bedroom_type': '1 Bedroom', 'price': '$1,592 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,319 '}]",Anaheim,The Mix at CTR City,CA,"$1,542 ",Apartment,92805
"$3,259 ","$3,519 ","$5,959 ",,"[{'bedroom_type': 'Studio', 'price': '$3,430 '}, {'bedroom_type': '1 Bedroom', 'price': '$3,259 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,519 '}, {'bedroom_type': '3 Bedrooms', 'price': '$5,959 '}]",Redwood City,Indigo Apartment Homes,CA,"$3,430 ",Apartment,94063
"$1,897 ","$2,696 ",,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': '$1,897 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,696 '}]",Aliso Viejo,Vantis,CA,,Apartment,92656
"$1,985 ","$2,520 ","$2,826 ","$3,154 ","[{'bedroom_type': '1 Bedroom', 'price': '$1,985 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,520 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,826 '}, {'bedroom_type': '4 Bedrooms', 'price': '$3,154 '}]",Rancho Cucamonga,The Enclave at Homecoming Terra Vista,CA,,Apartment,91730
"$2,718 ","$3,541 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,718 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,541 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",San Jose,Avalon on the Alameda,CA,,Apartment,95126
"$2,240 ","$2,905 ","$3,360 ",,"[{'bedroom_type': 'Studio', 'price': '$1,905 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,240 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,905 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,360 '}]",San Diego,Pacific Ridge,CA,"$1,905 ",Apartment,92110
"$3,410 ","$4,153 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$3,410 '}, {'bedroom_type': '2 Bedrooms', 'price': '$4,153 '}]",Sunnyvale,Loft House,CA,,Apartment,94086
