2 Bedrooms,3 Bedrooms,4 Bedrooms,4+ Bedrooms,Bedroom_Info,City_Rent,Property_Name_Rent,State_Rent,Type,Zip_code
,,,,"[{'bedroom_type': '4 Bedrooms', 'price': ''}]",Tustin,12093 Hermon Dr,CA,House,92782
,,,,"[{'bedroom_type': '4 Bedrooms', 'price': ''}]",Frazier Park,2405 Yellowstone Ct,CA,House,93225
,,,,"[{'bedroom_type': '3 Bedrooms', 'price': ''}]",Los Angeles,8527 Noble Ave,CA,House,91343
,,,,"[{'bedroom_type': '4+ Bedrooms', 'price': ''}]",Yorba Linda,26082 Big Horn Mountain Way,CA,House,92887
,,,,"[{'bedroom_type': '4+ Bedrooms', 'price': ''}]",Canyon Lake,29642 Vacation Dr,CA,House,92587
,,,,"[{'bedroom_type': '4 Bedrooms', 'price': ''}]",Yorba Linda,24402 Avenida de Marcia,CA,House,92887
,,,,"[{'bedroom_type': '4 Bedrooms', 'price': ''}]",Anaheim,437 S Westridge Cir,CA,House,92807
,,,,"[{'bedroom_type': '4 Bedrooms', 'price': ''}]",Tustin,10887 Osterman Ave,CA,House,92782
,,,,"[{'bedroom_type': '3 Bedrooms', 'price': ''}]",Chino Hills,16462 Turnbury Ct,CA,House,91709
,,,,"[{'bedroom_type': '4+ Bedrooms', 'price': ''}]",Palmdale,37212 Liana Ln,CA,House,93551
,,,,"[{'bedroom_type': '2 Bedrooms', 'price': ''}]",San Pedro,422 W 40th St,CA,House,90731
,,,,"[{'bedroom_type': '4+ Bedrooms', 'price': ''}]",Chino,7781 Garden Park St,CA,House,91708
,,,,"[{'bedroom_type': '4+ Bedrooms', 'price': ''}]",Duarte,814 Cotter Ave,CA,House,91010
,,,,"[{'bedroom_type': '4 Bedrooms', 'price': ''}]",Yorba Linda,20342 Via Juana,CA,House,92886
,,,,"[{'bedroom_type': '3 Bedrooms', 'price': ''}]",Palm Desert,45379 Sunset Ln,CA,House,92260
,,,,"[{'bedroom_type': '2 Bedrooms', 'price': ''}]",Agoura Hills,28921 Crest Dr,CA,House,91301
,,,,"[{'bedroom_type': '3 Bedrooms', 'price': ''}]",Malibu,3700 S Malibu Vista Dr,CA,House,90265
,,,,"[{'bedroom_type': '4 Bedrooms', 'price': ''}]",Los Angeles,6201 Le Sage Ave,CA,House,91367
,,,,"[{'bedroom_type': '4 Bedrooms', 'price': ''}]",San Marcos,1830 Redwing St,CA,House,92078
,,,,"[{'bedroom_type': '4+ Bedrooms', 'price': ''}]",Yorba Linda,27902 Elk Mountain Dr,CA,House,92887
,,,,"[{'bedroom_type': '3 Bedrooms', 'price': ''}]",Los Angeles,7322 Wilbur Ave,CA,House,91335
,,,,"[{'bedroom_type': '3 Bedrooms', 'price': ''}]",Malibu,31341 Birdella Rd,CA,House,90265
,,,,"[{'bedroom_type': '2 Bedrooms', 'price': ''}]",Los Angeles,5210 N Avenida Oriente,CA,House,91356
,,,,"[{'bedroom_type': '4 Bedrooms', 'price': ''}]",Trabuco Canyon,10 Vintage Way,CA,House,92679
,,,,"[{'bedroom_type': '4 Bedrooms', 'price': ''}]",Irvine,25 Ohio,CA,House,92606
