Bath,Bed,City,Half-bath,House_type,Latitude,Listing_type,Longitude,Price,Square_Feet,State,Street,Zip_code
2,2,Laguna Woods,0,Co op,33.6049602349011,FOR SALE,-117.710865510578,"$329,000","1,009",CA,84-H Calle Aragon,92637
2,2,Laguna Woods,0,Co op,33.607484967,FOR SALE,-117.716356003,"$249,500","1,040",CA,389-O Avenida Castilla,92637
1,2,Laguna Woods,1,Co op,33.602855704,FOR SALE,-117.705952577,"$375,000",953,CA,180-B Avenida Majorca,92637
2,2,Laguna Woods,0,Co op,33.619265,FOR SALE,-117.720671,"$250,000","1,009",CA,2282-A Via Mariposa,92637
2,2,Laguna Woods,0,Co op,33.607957098,FOR SALE,-117.714182613,"$220,000","1,040",CA,29-O Calle Aragon,92637
2,2,Torrance,0,Co op,33.82979,FOR SALE,-118.34198,"$485,000","1,300",CA,3110 Merrill Drive 85,90503
2,2,Laguna Woods,0,Co op,33.596903069,FOR SALE,-117.704510971,"$240,000","1,057",CA,870-Q Avenida Sevilla,92637
1,2,Laguna Woods,0,Co op,33.607472182,FOR SALE,-117.717850476,"$273,000",940,CA,308-H Avenida Castilla,92637
2,2,Laguna Woods,0,Co op,33.596903069,FOR SALE,-117.704510971,"$339,000","1,010",CA,829-A Via Alhambra,92637
2,2,Torrance,0,Co op,33.8301750343789,FOR SALE,-118.34265835919,"$485,000","1,339",CA,3210 Merrill Dr 40,90503
1,2,Laguna Woods,0,Co op,33.602327434,FOR SALE,-117.716288644,"$249,000",940,CA,447-F Avenida Sevilla,92637
2,2,Laguna Woods,0,Co op,33.609627104,FOR SALE,-117.717286058,"$240,000","1,079",CA,8-Q Via Castilla,92637
1,2,Laguna Woods,1,Co op,33.614394024,FOR SALE,-117.716176461,"$259,000","1,076",CA,2212 Via Mariposa E D,92637
1,1,Sun Valley,0,Co op,34.22523,FOR SALE,-118.36533,"$350,000",539,CA,8500 Sunland Blvd #23,91352
2,2,Laguna Woods,0,Co op,33.596814478,FOR SALE,-117.707620454,"$435,000","1,300",CA,690-C Avenida Sevilla,92637
2,2,Laguna Woods,0,Co op,33.599632558,FOR SALE,-117.712052936,"$215,000","1,009",CA,620-A Avenida Sevilla,92637
2,2,Laguna Woods,0,Co op,33.595936957,FOR SALE,-117.709491735,"$239,900","1,009",CA,893-Q Ronda Sevilla,92637
1,2,Laguna Woods,0,Co op,33.605843363,FOR SALE,-117.718906669,"$293,000","1,000",CA,341-G Avenida Sevilla,92637
