Bath,Bed,City,Half-bath,House_type,Latitude,Listing_type,Longitude,Price,Square_Feet,State,Street,Zip_code,Rent
1,1,Los Angeles,0,Apartment,34.04582,FOR SALE,-118.2606,449000,650,CA,645 9th Street 224,90015,2853
1,1,Chula Vista,0,Condo/Townhome,32.6468,FOR SALE,-117.1,242900,796,CA,695 Sea Vale St 105,91910,1495
1,1,Corona,0,Condo/Townhome,33.9006,FOR SALE,-117.532,230000,724,CA,1980 Las Colinas Circle 204,92879,1614
1,1,Fullerton,1,Condo/Townhome,33.902284,FOR SALE,-117.8824014,350000,831,CA,2757 Quail Ridge Circle #38 #38,92835,1640
1,1,los angeles,0,Condo/Townhome,34.0408,FOR SALE,-118.26319,665000,920,CA,1155 South GRAND Avenue 1605,90015,2853
1,1,los angeles,0,Condo/Townhome,34.04799,FOR SALE,-118.23751,575000,735,CA,100 South ALAMEDA Street 279,90012,2025
1,1,Los Angeles,0,Condo/Townhome,34.0811,FOR SALE,-118.343,475000,622,CA,525 N Sycamore Avenue 430,90036,3200
1,1,Long Beach,0,Condo/Townhome,33.7644,FOR SALE,-118.171,459000,632,CA,1750 E Ocean Boulevard 302,90802,1995
1,1,Ladera Ranch,1,Condo/Townhome,33.5546,FOR SALE,-117.646,425000,1057,CA,51 Sansovino,92694,2259
1,1,Fullerton,0,Condo/Townhome,33.9045,FOR SALE,-117.882,289000,676,CA,3046 Associated Road 43,92835,1640
1,1,Santa Ana,0,Condo/Townhome,33.696,FOR SALE,-117.881,277000,647,CA,1001 W Stevens Avenue 425,92707,1925
1,1,Lake Balboa,0,Condo/Townhome,34.1986,FOR SALE,-118.484,259000,608,CA,7035 Woodley Avenue 118,91406,1950
1,1,Sherman Oaks,0,Condo/Townhome,34.1531,FOR SALE,-118.45384,379000,698,CA,4501 CEDROS Avenue 130,91403,1850
1,1,San Diego,0,Condo/Townhome,32.7828,FOR SALE,-117.112,259900,530,CA,5958 Rancho Mission Rd 209,92108,1760
1,1,Burbank,0,Condo/Townhome,34.1513,FOR SALE,-118.343,449000,768,CA,151 N Maple Street 208,91505,1960
1,1,Oceanside,0,Condo/Townhome,33.2461,FOR SALE,-117.2824,265000,762,CA,5070 Via Manos E,92057,1850
1,1,Santa Clara,0,Condo/Townhome,37.32592,FOR SALE,-121.97147,649000,656,CA,121 Buckingham Dr 46,95051,2333
1,1,Long Beach,0,Condo/Townhome,33.7723,FOR SALE,-118.176,259000,521,CA,416 Orange Avenue 6,90802,1995
1,1,San Diego,0,Condo/Townhome,32.7159,FOR SALE,-117.151,359900,795,CA,1480 Broadway 2319,92101,2645
