1 Bed,2 Beds,3 Beds,4 Beds,Bedroom_Info,City_Rent,Full_Address,Property_Name_Rent,Rent_link,State_Rent,Studio,Type,Zip_code
"$1,756 ","$1,698 ","$2,035 ",,"[{'bedroom_type': '1 Bed', 'price': '$1,756'}, {'bedroom_type': '2 Beds', 'price': '$1,698'}, {'bedroom_type': '3 Beds', 'price': '$2,035'}]",Sacramento,"2900 Weald Way, Sacramento, CA 95833",Larkspur Woods,https://www.apartments.com/larkspur-woods-sacramento-ca/tkzr4h8/,CA,,Apartment,95833
"$1,890 ","$2,335 ","$2,865 ",,"[{'bedroom_type': '1 Bed', 'price': '$1,890'}, {'bedroom_type': '2 Beds', 'price': '$2,335'}, {'bedroom_type': '3 Beds', 'price': '$2,865'}]",Valencia,"24905 Magic Mountain Pky, Valencia, CA 91355",Promenade at Town Center,https://www.apartments.com/promenade-at-town-center-valencia-ca/g7tyh1y/,CA,,Apartment,91355
"$1,430 ","$1,520 ",,,"[{'bedroom_type': '1 Bed', 'price': '$1,430'}, {'bedroom_type': '2 Beds', 'price': '$1,520'}]",Corona,"1171 E Baywood Dr, Corona, CA 92881",Hensley at Corona Pointe Apartments,https://www.apartments.com/hensley-at-corona-pointe-apartments-corona-ca/h80fqb0/,CA,,Apartment,92881
"$1,340 ","$1,769 ","$2,256 ",,"[{'bedroom_type': '1 Bed', 'price': '$1,340'}, {'bedroom_type': '2 Beds', 'price': '$1,769'}, {'bedroom_type': '3 Beds', 'price': '$2,256'}]",Sacramento,"4850 Natomas Blvd, Sacramento, CA 95835",Miramonte & Trovas,https://www.apartments.com/miramonte-trovas-sacramento-ca/ny5803q/,CA,,Apartment,95835
"$2,036 ","$2,284 ",,,"[{'bedroom_type': '1 Bed', 'price': '$2,036'}, {'bedroom_type': '2 Beds', 'price': '$2,284'}]",San Diego,"1281 9th Ave, San Diego, CA 92101",Vantage Pointe,https://www.apartments.com/vantage-pointe-san-diego-ca/fwd4mwt/,CA,,Apartment,92101
"$2,000 ","$2,325 ",,,"[{'bedroom_type': '1 Bed', 'price': '$2,000'}, {'bedroom_type': '2 Beds', 'price': '$2,325'}]",Fremont,"39900 Blacow Rd, Fremont, CA 94538",Sundale,https://www.apartments.com/sundale-fremont-ca/r5wtmn2/,CA,,Apartment,94538
"$1,366 ","$1,596 ",,,"[{'bedroom_type': '1 Bed', 'price': '$1,366'}, {'bedroom_type': '2 Beds', 'price': '$1,596'}]",Bermuda Dunes,"40300 Washington St, Bermuda Dunes, CA 92203",MIRABELLA,https://www.apartments.com/mirabella-bermuda-dunes-ca/8yf5880/,CA,,Apartment,92203
"$1,435 ","$1,630 ","$1,900 ",,"[{'bedroom_type': '1 Bed', 'price': '$1,435'}, {'bedroom_type': '2 Beds', 'price': '$1,630'}, {'bedroom_type': '3 Beds', 'price': '$1,900'}]",Moreno Valley,"12640 Memorial Way, Moreno Valley, CA 92553",Fresco,https://www.apartments.com/fresco-moreno-valley-ca/dxr97ph/,CA,,Apartment,92553
"$1,975 ","$2,649 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,866'}, {'bedroom_type': '1 Bed', 'price': '$1,975'}, {'bedroom_type': '2 Beds', 'price': '$2,649'}]",Los Angeles,"609 St Paul Ave, Los Angeles, CA 90017",The Piero,https://www.apartments.com/the-piero-los-angeles-ca/13pkvp6/,CA,"$1,866 ",Apartment,90017
"$1,860 ","$2,345 ",,,"[{'bedroom_type': '1 Bed', 'price': '$1,860'}, {'bedroom_type': '2 Beds', 'price': '$2,345'}]",Rancho Santa Margarita,"381 Sable, Rancho Santa Margarita, CA 92688",Las Flores Apartment Homes,https://www.apartments.com/las-flores-apartment-homes-rancho-santa-margarita-ca/fb5d3cs/,CA,,Apartment,92688
