1 Bed,2 Beds,3 Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
,,"$2,900 ",Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,900'}]",Encino,"5400 Lindley Ave, Encino, CA 91316",12 Month Lease,https://www.apartments.com/5400-lindley-ave-encino-ca-unit-120/m9fe5jj/,"1,600","1,600 Sq Ft",CA,,Condos,91316
,,"$5,800 ",Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,800'}]",Santa Monica,"813 15th St, Santa Monica, CA 90403",12 Month Lease,https://www.apartments.com/813-15th-st-santa-monica-ca-unit-d/l5nmwtg/,"1,000","1,000 Sq Ft",CA,,Condos,90403
,,"$2,995 ",Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,995'}]",Long Beach,"229 W 5th St, Long Beach, CA 90802",12 Month Lease,https://www.apartments.com/229-w-5th-st-long-beach-ca-unit-1/9wbvwz5/,"1,500","1,500 Sq Ft",CA,,Condos,90802
,"$2,950 ",,26-Jan,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,950'}]",San Diego,"2251 Worden St, San Diego, CA 92107",3 Month Lease,https://www.apartments.com/2251-worden-st-san-diego-ca-unit-10/sef7xn4/,"1,008","1,008 Sq Ft",CA,,Condos,92107
"$1,700 ",,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,700'}]",Los Angeles,"5460 White Oak Ave, Los Angeles, CA 91316",12 Month Lease,https://www.apartments.com/5460-white-oak-ave-los-angeles-ca-unit-a229/6s2n5wr/,683,683 Sq Ft,CA,,Condos,91316
,"$4,350 ",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,350'}]",Los Angeles,"1515 S Beverly Dr, Los Angeles, CA 90035",12 Month Lease,https://www.apartments.com/1515-s-beverly-dr-los-angeles-ca-unit-a/kppp9qb/,"1,027","1,027 Sq Ft",CA,,Condos,90035
,,"$2,800 ",Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,800'}]",Long Beach,"225 W 5th St, Long Beach, CA 90802",12 Month Lease,https://www.apartments.com/225-w-5th-st-long-beach-ca-unit-1/y5gq17s/,"1,000","1,000 Sq Ft",CA,,Condos,90802
,"$3,250 ",,1-Dec,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,250'}]",Los Angeles,"2491 Purdue Ave, Los Angeles, CA 90064",12 Month Lease,https://www.apartments.com/2491-purdue-ave-los-angeles-ca-unit-115/xv065en/,"1,479","1,479 Sq Ft",CA,,Condos,90064
,"$3,100 ",,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,100'}]",Los Angeles,"4236 Longridge Ave, Los Angeles, CA 91604",12 Month Lease,https://www.apartments.com/4236-longridge-ave-los-angeles-ca-unit-201/mvsc00h/,"1,337","1,337 Sq Ft",CA,,Condos,91604
"$2,100 ",,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,100'}]",Glendale,"1935 Alpha Rd, Glendale, CA 91208",12 Month Lease,https://www.apartments.com/1935-alpha-rd-glendale-ca-unit-341/l8ghtqd/,700,700 Sq Ft,CA,,Condos,91208
,"$4,795 ",,Available Now,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,795'}]",Beverly Hills,"165 N Swall Dr, Beverly Hills, CA 90211",12 Month Lease,https://www.apartments.com/165-n-swall-dr-beverly-hills-ca-unit-105c/w4ewvpk/,991,991 Sq Ft,CA,,Condos,90211
"$2,695 ",,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,695'}]",Huntington Beach,"1200 Pacific Coast Hwy, Huntington Beach, CA 92648",12 Month Lease,https://www.apartments.com/1200-pacific-coast-hwy-huntington-beach-ca-unit-116/7hg87ny/,781,781 Sq Ft,CA,,Condos,92648
,,"$3,395 ",Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,395'}]",Los Angeles,"635 N Berendo St, Los Angeles, CA 90004",12 Month Lease,https://www.apartments.com/635-n-berendo-st-los-angeles-ca-unit-635/bzh2gl8/,"1,500","1,500 Sq Ft",CA,,Condos,90004
,,"$2,700 ",Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,700'}]",Downey,"12429 Benedict Ave, Downey, CA 90242",6 Month Lease,https://www.apartments.com/12429-benedict-ave-downey-ca-unit-address/q1p8l9y/,"1,600","1,600 Sq Ft",CA,,Condos,90242
,"$4,395 ",,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,395'}]",Santa Monica,"1020 Ocean Park Blvd, Santa Monica, CA 90405",12 Month Lease,https://www.apartments.com/1020-ocean-park-blvd-santa-monica-ca-unit-8/q00tv3w/,"1,750","1,750 Sq Ft",CA,,Condos,90405
,"$5,500 ",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$5,500'}]",San Diego,"939 Coast Blvd, San Diego, CA 92037",12 Month Lease,https://www.apartments.com/939-coast-blvd-san-diego-ca-unit-9c/tjnpnlb/,"1,840","1,840 Sq Ft",CA,,Condos,92037
"$2,095 ",,,1-Nov,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,095'}]",Playa Del Rey,"7742 Redlands St, Playa Del Rey, CA 90293",12 Month Lease,https://www.apartments.com/7742-redlands-st-playa-del-rey-ca-unit-d3047/mmxzvzk/,722,722 Sq Ft,CA,,Condos,90293
,"$4,500 ",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,500'}]",Los Angeles,"4115 Glencoe Ave, Los Angeles, CA 90292",12 Month Lease,https://www.apartments.com/4115-glencoe-ave-los-angeles-ca-unit-203/gzq4v0x/,"1,370","1,370 Sq Ft",CA,,Condos,90292
,"$5,000 ",,1-Dec,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$5,000'}]",Marina del Rey,"4338 Redwood Ave, Marina del Rey, CA 90292",12 Month Lease,https://www.apartments.com/4338-redwood-ave-marina-del-rey-ca-unit-114/59rhjtp/,"1,886","1,886 Sq Ft",CA,,Condos,90292
,"$2,250 ",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,250'}]",Tarzana,"18640 Collins St, Tarzana, CA 91356",12 Month Lease,https://www.apartments.com/18640-collins-st-tarzana-ca-unit-207/f8294ms/,"1,100","1,100 Sq Ft",CA,,Condos,91356
,"$2,950 ",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,950'}]",Culver City,"4828 Hollow Corner Rd, Culver City, CA 90230",12 Month Lease,https://www.apartments.com/4828-hollow-corner-rd-culver-city-ca-unit-293/vk7mste/,"1,000","1,000 Sq Ft",CA,,Condos,90230
"$3,795 ",,,Available Now,1½ BAs,"[{'bedroom_type': '1 Bed', 'price': '$3,795'}]",West Hollywood,"906 N Kings Rd, West Hollywood, CA 90069",12 Month Lease,https://www.apartments.com/906-n-kings-rd-west-hollywood-ca-unit-1/hvxj961/,844,844 Sq Ft,CA,,Condos,90069
,,"$4,475 ",Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,475'}]",West Hollywood,"1153 N Formosa Ave, West Hollywood, CA 90046",12 Month Lease,https://www.apartments.com/1153-n-formosa-ave-west-hollywood-ca-unit-104/7bf0ktz/,"2,000","2,000 Sq Ft",CA,,Condos,90046
,"$3,195 ",,Available Now,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,195'}]",Santa Monica,"1125 Pico Blvd, Santa Monica, CA 90405",12 Month Lease,https://www.apartments.com/1125-pico-blvd-santa-monica-ca-unit-103/gr0pbyw/,850,850 Sq Ft,CA,,Condos,90405
,"$1,750 ",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,750'}]",Santa Clarita,"17847 Beneda Ln, Santa Clarita, CA 91351",12 Month Lease,https://www.apartments.com/17847-beneda-ln-santa-clarita-ca-unit-19/wssj9nh/,850,850 Sq Ft,CA,,Condos,91351
"$2,550 ",,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,550'}]",Beverly Hills,"117 S Doheny Dr, Beverly Hills, CA 90211",12 Month Lease,https://www.apartments.com/117-s-doheny-dr-beverly-hills-ca-unit-406/cx33gff/,800,800 Sq Ft,CA,,Condos,90211
,,"$3,150 ",Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,150'}]",Sherman Oaks,"14412 Killion St, Sherman Oaks, CA 91401",12 Month Lease,https://www.apartments.com/14412-killion-st-sherman-oaks-ca-unit-205/srqb754/,"1,570","1,570 Sq Ft",CA,,Condos,91401
,,"$3,900 ",Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,900'}]",Beverly Hills,"344 S Spalding Dr, Beverly Hills, CA 90212",24 Month Lease,https://www.apartments.com/344-s-spalding-dr-beverly-hills-ca-unit-2/bs1hcwb/,"1,800","1,800 Sq Ft",CA,,Condos,90212
,"$3,600 ",,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,600'}]",Los Angeles,"600 W 9th St, Los Angeles, CA 90015",12 Month Lease,https://www.apartments.com/600-w-9th-st-los-angeles-ca-unit-1508/xsh6q7p/,"1,650","1,650 Sq Ft",CA,,Condos,90015
