1 Bed,2 Beds,3 Beds,4 Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
,,"$5,000 ",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,000'}]",West Hollywood,"723 Westmount Dr, West Hollywood, CA 90069",12 Month Lease,https://www.apartments.com/723-westmount-dr-west-hollywood-ca-unit-305/btvkyb8/,"1,550","1,550 Sq Ft",CA,,Condos,90069
,"$1,875 ",,,1-Nov,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,875'}]",Long Beach,"1066 Gladys Ave, Long Beach, CA 90804",12 Month Lease,https://www.apartments.com/1066-gladys-ave-long-beach-ca-unit-3/ej2jscp/,850,850 Sq Ft,CA,,Condos,90804
,"$4,500 ",,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,500'}]",Los Angeles,"5831 Seawalk Dr, Los Angeles, CA 90094",12 Month Lease,https://www.apartments.com/5831-seawalk-dr-los-angeles-ca-unit-118/5f8bdbq/,"1,804","1,804 Sq Ft",CA,,Condos,90094
,"$3,100 ",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,100'}]",Culver City,"5651 N Sumner Way, Culver City, CA 90230",12 Month Lease,https://www.apartments.com/5651-n-sumner-way-culver-city-ca-unit-310/efzxs0q/,"1,133","1,133 Sq Ft",CA,,Condos,90230
,,"$5,300 ",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,300'}]",Santa Monica,"1020 Ocean Park Blvd, Santa Monica, CA 90405",12 Month Lease,https://www.apartments.com/1020-ocean-park-blvd-santa-monica-ca-unit-4/kzqxkf8/,"1,776","1,776 Sq Ft",CA,,Condos,90405
,"$6,795 ",,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$6,795'}]",Marina del Rey,"13700 Marina Pointe Dr, Marina del Rey, CA 90292",12 Month Lease,https://www.apartments.com/13700-marina-pointe-dr-marina-del-rey-ca-unit-1503/fkj83wr/,"1,481","1,481 Sq Ft",CA,,Condos,90292
,,"$3,100 ",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,100'}]",Glendale,"331 W Wilson Ave, Glendale, CA 91203",12 Month Lease,https://www.apartments.com/331-w-wilson-ave-glendale-ca-unit-105/5c6g66q/,"1,218","1,218 Sq Ft",CA,,Condos,91203
,,"$2,400 ",,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,400'}]",Los Angeles,"19355 Sherman Way, Los Angeles, CA 91335",12 Month Lease,https://www.apartments.com/19355-sherman-way-los-angeles-ca-unit-19/jdrp207/,"1,449","1,449 Sq Ft",CA,,Condos,91335
"$2,350 ",,,,1-Nov,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,350'}]",Los Angeles,"1745 Camino Palmero St, Los Angeles, CA 90046",12 Month Lease,https://www.apartments.com/1745-camino-palmero-st-los-angeles-ca-unit-441/sv5l6g7/,900,900 Sq Ft,CA,,Condos,90046
"$4,195 ",,,,25-Nov,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$4,195'}]",Marina del Rey,"13700 Marina Pointe Dr, Marina del Rey, CA 90292",12 Month Lease,https://www.apartments.com/13700-marina-pointe-dr-marina-del-rey-ca-unit-1606/5mc6nep/,891,891 Sq Ft,CA,,Condos,90292
,"$2,950 ",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,950'}]",Long Beach,"525 E Seaside Way, Long Beach, CA 90802",12 Month Lease,https://www.apartments.com/525-e-seaside-way-long-beach-ca-unit-1804/yh8t66r/,"1,030","1,030 Sq Ft",CA,,Condos,90802
