1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Type,Zip_code
"$1,999",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,999'}]",Los Angeles,"3385 Troy Dr, Los Angeles, CA 90068",12 Month Lease,https://www.apartments.com/3385-troy-dr-los-angeles-ca/vsnb0gd/,475,475 Sq Ft,CA,Houses,90068
,,"$4,200",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,200'}]",Agoura Hills,"29151 Paiute Dr, Agoura Hills, CA 91301",,https://www.apartments.com/29151-paiute-dr-agoura-hills-ca/f6zp42s/,"1,700","1,700 Sq Ft",CA,Houses,91301
,,,"$7,500",,Available Now,3 BAs,"[{'bedroom_type': '4 Beds', 'price': '$7,500'}]",Los Angeles,"469 S Bundy Dr, Los Angeles, CA 90049",12 Month Lease,https://www.apartments.com/469-s-bundy-dr-los-angeles-ca/spfj144/,"2,507","2,507 Sq Ft",CA,Houses,90049
,,"$4,000",,,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,000'}]",Los Angeles,"16251 Dickens St, Los Angeles, CA 91436",12 Month Lease,https://www.apartments.com/16251-dickens-st-los-angeles-ca/r7jphc2/,"1,929","1,929 Sq Ft",CA,Houses,91436
,"$4,000",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$4,000'}]",Santa Monica,"1915 Arizona Ave, Santa Monica, CA 90404",12 Month Lease,https://www.apartments.com/1915-arizona-ave-santa-monica-ca/ygwxtxr/,"1,000","1,000 Sq Ft",CA,Houses,90404
"$1,850",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,850'}]",Los Angeles,"11064 Oxnard St, Los Angeles, CA 91606",12 Month Lease,https://www.apartments.com/11064-oxnard-st-los-angeles-ca/y9jf3rt/,600,600 Sq Ft,CA,Houses,91606
,"$2,800",,,,Nov 5,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,800'}]",Burbank,"1819 Landis St, Burbank, CA 91504",12 Month Lease,https://www.apartments.com/1819-landis-st-burbank-ca/g0by92w/,900,900 Sq Ft,CA,Houses,91504
,,,,"$13,000",Available Now,5½ BAs,"[{'bedroom_type': '4+ Beds', 'price': '$13,000'}]",Los Angeles,"16157 Anoka Dr, Los Angeles, CA 90272",12 Month Lease,https://www.apartments.com/16157-anoka-dr-los-angeles-ca/nnb506p/,"5,100","5,100 Sq Ft",CA,Houses,90272
,,"$5,795",,,Nov 1,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,795'}]",Los Angeles,"1963 Benecia Ave, Los Angeles, CA 90025",12 Month Lease,https://www.apartments.com/1963-benecia-ave-los-angeles-ca/b0n7479/,"1,891","1,891 Sq Ft",CA,Houses,90025
,,"$5,295",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,295'}]",Manhattan Beach,"1514 Mathews Ave, Manhattan Beach, CA 90266",12 Month Lease,https://www.apartments.com/1514-mathews-ave-manhattan-beach-ca/vym3t4e/,"2,500","2,500 Sq Ft",CA,Houses,90266
,"$6,950",,,,Dec 1,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$6,950'}]",Manhattan Beach,"3512 Vista Dr, Manhattan Beach, CA 90266",12 Month Lease,https://www.apartments.com/3512-vista-dr-manhattan-beach-ca/m993zhk/,"1,880","1,880 Sq Ft",CA,Houses,90266
,,"$3,500",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,500'}]",Oxnard,"129 Anacapa Ave, Oxnard, CA 93035",24 Month Lease,https://www.apartments.com/129-anacapa-ave-oxnard-ca/stvtmj6/,"2,100","2,100 Sq Ft",CA,Houses,93035
,,,"$7,690",,Available Now,4 BAs,"[{'bedroom_type': '4 Beds', 'price': '$7,690'}]",Manhattan Beach,"447 23rd Pl, Manhattan Beach, CA 90266",6 Month Lease,https://www.apartments.com/447-23rd-pl-manhattan-beach-ca/574c7zp/,"2,300","2,300 Sq Ft",CA,Houses,90266
