1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Type,Zip_code
,"$2,100",,,,Available Now,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,100'}]",Sacramento,"Sacramento, CA 95816",12 Month Lease,https://www.apartments.com/1043-39th-st-sacramento-ca/vr9qnvd/,950,950 Sq Ft,CA,Townhomes,95816
,"$1,050",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$1,050'}]",San Bernardino,"San Bernardino, CA 92404",12 Month Lease,https://www.apartments.com/2640-del-rosa-ave-n-san-bernardino-ca/xvfjbhp/,890,890 Sq Ft,CA,Townhomes,92404
$900,,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$900'}]",Chula Vista,"Chula Vista, CA 91913",,https://www.apartments.com/1890-fargo-ln-chula-vista-ca/xsde68m/,150,150 Sq Ft,CA,Townhomes,91913
"$1,995",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,995'}]",Los Angeles,"Los Angeles, CA 90019",12 Month Lease,https://www.apartments.com/1033-meadowbrook-ave-los-angeles-ca/0nsl553/,400,400 Sq Ft,CA,Townhomes,90019
,,,"$3,400",,Nov 25,2½ BAs,"[{'bedroom_type': '4 Beds', 'price': '$3,400'}]",San Marcos,"San Marcos, CA 92078",,https://www.apartments.com/1359-dolomite-way-san-marcos-ca/3l2rxbf/,"2,072","2,072 Sq Ft",CA,Townhomes,92078
,"$2,600",,,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,600'}]",Irvine,"Irvine, CA 92612",12 Month Lease,https://www.apartments.com/59-oxford-irvine-ca/f7v8m4s/,"1,242","1,242 Sq Ft",CA,Townhomes,92612
,"$2,900",,,,Nov 15,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,900'}]",Los Angeles,"Los Angeles, CA 91367",,https://www.apartments.com/22213-erwin-st-los-angeles-ca/nxdqhvq/,"1,450","1,450 Sq Ft",CA,Townhomes,91367
,"$3,100",,,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,100'}]",San Clemente,"San Clemente, CA 92672",12 Month Lease,https://www.apartments.com/617-via-presa-san-clemente-ca/q3kww1z/,"1,616","1,616 Sq Ft",CA,Townhomes,92672
,,"$4,250",,,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,250'}]",Pasadena,"Pasadena, CA 91107",,https://www.apartments.com/158-s-sierra-madre-blvd-pasadena-ca/kgev9vb/,"1,781","1,781 Sq Ft",CA,Townhomes,91107
,"$4,250",,,,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,250'}]",Malibu,"Malibu, CA 90265",12 Month Lease,https://www.apartments.com/28320-rey-de-copas-ln-malibu-ca/7ntjrry/,"1,306","1,306 Sq Ft",CA,Townhomes,90265
"$1,675",,,,,Dec 1,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,675'}]",Long Beach,"Long Beach, CA 90803",12 Month Lease,https://www.apartments.com/3939-e-2nd-st-long-beach-ca/r8c4b23/,800,800 Sq Ft,CA,Townhomes,90803
,,"$1,550",,,Nov 1,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$1,550'}]",Stockton,"Stockton, CA 95219",6 Month Lease,https://www.apartments.com/6473-embarcadero-dr-stockton-ca/03xehk1/,"1,756","1,756 Sq Ft",CA,Townhomes,95219
,"$2,850",,,,Oct 31,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,850'}]",Los Angeles,"Los Angeles, CA 90029",12 Month Lease,https://www.apartments.com/5219-romaine-st-los-angeles-ca/brhb0wb/,"1,000","1,000 Sq Ft",CA,Townhomes,90029
,"$2,000",,,,Nov 1,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,000'}]",Cerritos,"Cerritos, CA 90703",,https://www.apartments.com/16728-chaparral-ave-cerritos-ca/m88yd2l/,905,905 Sq Ft,CA,Townhomes,90703
,"$2,800",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,800'}]",Los Angeles,"Los Angeles, CA 91606",12 Month Lease,https://www.apartments.com/6705-fair-ave-los-angeles-ca/l8m6c3g/,950,950 Sq Ft,CA,Townhomes,91606
,,"$6,241",,,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$6,241'}]",Marina del Rey,"Marina del Rey, CA 90292",1 Month Lease,https://www.apartments.com/13242-mindanao-way-marina-del-rey-ca/dvbszdj/,"1,582","1,582 Sq Ft",CA,Townhomes,90292
,"$2,300",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,300'}]",Signal Hill,"Signal Hill, CA 90755",12 Month Lease,https://www.apartments.com/3241-lewis-ave-signal-hill-ca/jtdcpr5/,"1,200","1,200 Sq Ft",CA,Townhomes,90755
,,"$2,350",,,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,350'}]",Chino Hills,"Chino Hills, CA 91709",12 Month Lease,https://www.apartments.com/15821-deer-trail-dr-chino-hills-ca/xk8d5nq/,"1,234","1,234 Sq Ft",CA,Townhomes,91709
,,"$1,500",,,Available Now,1½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$1,500'}]",Cathedral City,"Cathedral City, CA 92234",12 Month Lease,https://www.apartments.com/69180-victoria-dr-cathedral-city-ca/9pnz4p4/,"1,230","1,230 Sq Ft",CA,Townhomes,92234
,,"$2,500",,,Nov 17,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,500'}]",Palm Desert,"Palm Desert, CA 92260",12 Month Lease,https://www.apartments.com/74403-abronia-trail-palm-desert-ca/f25mk8v/,"1,576","1,576 Sq Ft",CA,Townhomes,92260
,"$2,000",,,,Nov 20,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,000'}]",San Diego,"San Diego, CA 92111",12 Month Lease,https://www.apartments.com/2307-ulric-st-san-diego-ca/sms0374/,900,900 Sq Ft,CA,Townhomes,92111
