1 Bed,2 Beds,3 Beds,4 Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
,,"$4,200",,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,200'}]",3279 Mt Diablo Ct,"Lafayette, CA 94549",,https://www.apartments.com/3279-mt-diablo-ct-lafayette-ca/xpk7cfq/,"1,731","1,731 Sq Ft",Lafayette,,Townhomes,CA
,"$2,095",,,Available Now,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,095'}]",9 S Lake Dr,"Antioch, CA 94509",,https://www.apartments.com/9-s-lake-dr-antioch-ca/2362prb/,"3,900","3,900 Sq Ft",Antioch,,Townhomes,CA
,,"$5,450",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,450'}]",6401 Commodore Sloat Dr,"Los Angeles, CA 90048",,https://www.apartments.com/6401-commodore-sloat-dr-los-angeles-ca/pp31hwt/,,,Los Angeles,,Townhomes,CA
,,"$3,800",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,800'}]",222 S Marengo Ave,"Pasadena, CA 91101",,https://www.apartments.com/222-s-marengo-ave-pasadena-ca/j97pl67/,,,Pasadena,,Townhomes,CA
,,"$3,900",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,900'}]",148 Tivoli Ln,"Danville, CA 94506",,https://www.apartments.com/148-tivoli-ln-danville-ca/xl071nn/,"1,939","1,939 Sq Ft",Danville,,Townhomes,CA
,"$1,695",,,Available Now,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,695'}]",4331 53rd St,"San Diego, CA 92115",,https://www.apartments.com/4331-53rd-st-san-diego-ca/r2y9jt0/,950,950 Sq Ft,San Diego,,Townhomes,CA
,"$3,300",,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,300'}]",305 Windstream Pl,"Danville, CA 94526",,https://www.apartments.com/305-windstream-pl-danville-ca/b6hssgb/,"1,764","1,764 Sq Ft",Danville,,Townhomes,CA
"$4,250",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$4,250'}]",22605 Pacific Coast Hwy,"Malibu, CA 90265",,https://www.apartments.com/22605-pacific-coast-hwy-malibu-ca/kc5r4sc/,,,Malibu,,Townhomes,CA
,,"$2,900",,Available Now,1 BA,"[{'bedroom_type': '3 Beds', 'price': '$2,900'}]",4286 S Hobart Blvd,"Los Angeles, CA 90062",,https://www.apartments.com/4286-s-hobart-blvd-los-angeles-ca/l223e7e/,,,Los Angeles,,Townhomes,CA
,"$8,000",,,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$8,000'}]",185 S Rodeo Dr,"Beverly Hills, CA 90212",,https://www.apartments.com/185-s-rodeo-dr-beverly-hills-ca/5t0nx9n/,,,Beverly Hills,,Townhomes,CA
