Bath,Bed,City,Full_address,House_type,House_website,Listing_type,Price,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
3,3,SantaMaria,"1700 Lynne Dr UNIT 52, Santa Maria, CA 93454",Apartment,https://www.zillow.com/homedetails/1700-Lynne-Dr-UNIT-52-Santa-Maria-CA-93454/15952177_zpid/,Apartment for sale,"$278,000","1,226",CA,1700 Lynne Dr UNIT 52,1979,"$271,034",$227,93454
6,Studio,Carlsbad,"3570 Camino Arena, Carlsbad, CA 92009",Apartment,https://www.zillow.com/homedetails/3570-Camino-Arena-Carlsbad-CA-92009/16730128_zpid/,For sale by owner,"$2,099,000","4,868",CA,3570 Camino Arena,2000,None,$431,92009
--,Studio,LosAngeles,"444 N Sycamore Ave, Los Angeles, CA 90036",Apartment,https://www.zillow.com/homedetails/444-N-Sycamore-Ave-Los-Angeles-CA-90036/2125417632_zpid/,Apartment for sale,"$3,975,000","7,220",CA,444 N Sycamore Ave,1928,"$3,975,883",$551,90036
4,6,NorthHighlands,"4025 4027 Renick Way, North Highlands, CA 95660",Apartment,https://www.zillow.com/homedetails/4025-4027-Renick-Way-North-Highlands-CA-95660/2082342331_zpid/,Apartment for sale,"$394,000","2,116",CA,4025 4027 Renick Way,1979,None,$186,95660
2,3,FortBragg,"17900 Ocean Dr SPC 57, Fort Bragg, CA 95437",Apartment,https://www.zillow.com/homedetails/17900-Ocean-Dr-SPC-57-Fort-Bragg-CA-95437/2083772680_zpid/,For sale by owner,"$45,000","1,020",CA,17900 Ocean Dr SPC 57,1976,None,$44,95437
3,3,SanPedro,"706 W 29th St, San Pedro, CA 90731",Apartment,https://www.zillow.com/homedetails/706-W-29th-St-San-Pedro-CA-90731/21313169_zpid/,For sale by owner,"$3,100,000","2,350",CA,706 W 29th St,1958,None,"$1,319",90731
3,4,Roseville,"319 321 Tahoe Ave, Roseville, CA 95678",Apartment,https://www.zillow.com/homedetails/319-321-Tahoe-Ave-Roseville-CA-95678/2082477067_zpid/,Apartment for sale,"$519,000","1,996",CA,319 321 Tahoe Ave,1937,None,$260,95678
2,4,Roseville,"130 130.5 Nevada Ave, Roseville, CA 95678",Apartment,https://www.zillow.com/homedetails/130-130-5-Nevada-Ave-Roseville-CA-95678/2082477068_zpid/,Apartment for sale,"$529,000","2,042",CA,130 130.5 Nevada Ave,1933,None,$259,95678
4,4,GraniteBay,"6910 6912 Folsom Oaks Ct, Granite Bay, CA 95746",Apartment,https://www.zillow.com/homedetails/6910-6912-Folsom-Oaks-Ct-Granite-Bay-CA-95746/2082508853_zpid/,Apartment for sale,"$750,000","2,214",CA,6910 6912 Folsom Oaks Ct,1977,None,$339,95746
2,2,DiamondBar,"22852 Hilton Head Dr UNIT 164, Diamond Bar, CA 91765",Apartment,https://www.zillow.com/homedetails/22852-Hilton-Head-Dr-UNIT-164-Diamond-Bar-CA-91765/21675309_zpid/,For sale by owner,"$335,000",934,CA,22852 Hilton Head Dr UNIT 164,1981,None,$359,91765
3,5,Sacramento,"1701 P St, Sacramento, CA 95811",Apartment,https://www.zillow.com/homedetails/1701-P-St-Sacramento-CA-95811/25783256_zpid/,Apartment for sale,"$825,000","2,474",CA,1701 P St,1890,None,$333,95811
2.5,3,RanchoCucamonga,"11221 Terra Vista Pkwy APT D, Rancho Cucamonga, CA 91730",Apartment,https://www.zillow.com/homedetails/11221-Terra-Vista-Pkwy-APT-D-Rancho-Cucamonga-CA-91730/2082567544_zpid/,Apartment for sale,"$412,000","1,417",CA,11221 Terra Vista Pkwy APT D,1994,None,$291,91730
--,Studio,PlumasLake,"2233 Sheridan Ranch Cir, Plumas Lake, CA 95961",Apartment,https://www.zillow.com/homedetails/2233-Sheridan-Ranch-Cir-Plumas-Lake-CA-95961/63070241_zpid/,For sale by owner,"$450,000","2,439",CA,2233 Sheridan Ranch Cir,2003,"$412,070",$185,95961
1,3,Ridgecrest,"309 Sahara Dr, Ridgecrest, CA 93555",Apartment,https://www.zillow.com/homedetails/309-Sahara-Dr-Ridgecrest-CA-93555/72172822_zpid/,For sale by owner,"$50,000","1,015",CA,309 Sahara Dr,1954,None,$49,93555
