Bath,Bed,City,Full_address,House_type,House_website,Listing_type,Price,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
2,2,Murrieta,"30286 Pelican Bay UNIT F, Murrieta, CA 92563",Condo,https://www.zillow.com/homedetails/30286-Pelican-Bay-UNIT-F-Murrieta-CA-92563/61302922_zpid/,Condo for sale,"$270,900",961,CA,30286 Pelican Bay UNIT F,2003,"$270,901",$282,92563
1,1,SanFrancisco,"260 King St UNIT 713, San Francisco, CA 94107",Condo,https://www.zillow.com/homedetails/260-King-St-UNIT-713-San-Francisco-CA-94107/80738932_zpid/,Condo for sale,"$182,818",814,CA,260 King St UNIT 713,2004,None,$225,94107
1,2,SanFrancisco,"870 Harrison St UNIT 305, San Francisco, CA 94107",Condo,https://www.zillow.com/homedetails/870-Harrison-St-UNIT-305-San-Francisco-CA-94107/184817748_zpid/,Condo for sale,"$466,345",889,CA,870 Harrison St UNIT 305,2014,"$471,952",$525,94107
1,2,SanFrancisco,"75 Ora Way UNIT D306, San Francisco, CA 94131",Condo,https://www.zillow.com/homedetails/75-Ora-Way-UNIT-D306-San-Francisco-CA-94131/2082367545_zpid/,Condo for sale,"$387,713",890,CA,75 Ora Way UNIT D306,1975,"$416,001",$436,94131
2,2,PalmDesert,"76511 Daffodil Dr, Palm Desert, CA 92211",Condo,https://www.zillow.com/homedetails/76511-Daffodil-Dr-Palm-Desert-CA-92211/18082006_zpid/,Condo for sale,"$346,900","1,650",CA,76511 Daffodil Dr,1984,"$332,018",$210,92211
3,3,RanchoMirage,"7 Kevin Lee Ln, Rancho Mirage, CA 92270",Condo,https://www.zillow.com/homedetails/7-Kevin-Lee-Ln-Rancho-Mirage-CA-92270/17744624_zpid/,Condo for sale,"$495,000","2,128",CA,7 Kevin Lee Ln,1981,"$484,484",$233,92270
3,3,SantaAna,"2522 N Tustin Ave # 62, Santa Ana, CA 92705",Condo,https://www.zillow.com/homedetails/2522-N-Tustin-Ave-62-Santa-Ana-CA-92705/25704216_zpid/,Condo for sale,"$260,000","1,617",CA,2522 N Tustin Ave # 62,1974,"$260,000",$161,92705
1,Studio,SanFrancisco,"766 Harrison St, San Francisco, CA 94107",Condo,https://www.zillow.com/homedetails/766-Harrison-St-San-Francisco-CA-94107/2103133252_zpid/,Condo for sale,"$188,515",276,CA,766 Harrison St,2008,None,$683,94107
3,3,SanGabriel,"1258 Elm Ave, San Gabriel, CA 91775",Condo,https://www.zillow.com/homedetails/1258-Elm-Ave-San-Gabriel-CA-91775/2091240680_zpid/,Foreclosure,"$499,900","1,660",CA,1258 Elm Ave,2005,"$504,012",$301,91775
2,2,Vista,"333 N Melrose Dr UNIT A, Vista, CA 92083",Condo,https://www.zillow.com/homedetails/333-N-Melrose-Dr-UNIT-A-Vista-CA-92083/16610712_zpid/,Condo for sale,"$339,900","1,172",CA,333 N Melrose Dr UNIT A,1981,"$339,900",$290,92083
1.5,1,SanFrancisco,"88 Hoff St APT 107, San Francisco, CA 94110",Condo,https://www.zillow.com/homedetails/88-Hoff-St-APT-107-San-Francisco-CA-94110/2082462189_zpid/,Condo for sale,"$450,190","1,109",CA,88 Hoff St APT 107,1999,"$507,991",$406,94110
2,2,CulverCity,"4900 Overland Ave UNIT 333, Culver City, CA 90230",Condo,https://www.zillow.com/homedetails/4900-Overland-Ave-UNIT-333-Culver-City-CA-90230/20434080_zpid/,Condo for sale,"$585,000",962,CA,4900 Overland Ave UNIT 333,1973,"$592,817",$608,90230
1,1,SanFrancisco,"3620 19th St APT 33, San Francisco, CA 94110",Condo,https://www.zillow.com/homedetails/3620-19th-St-APT-33-San-Francisco-CA-94110/89239038_zpid/,Condo for sale,"$307,400",798,CA,3620 19th St APT 33,2008,"$335,816",$385,94110
4,3,Irvine,"332 Floral Vw, Irvine, CA 92618",Condo,https://www.zillow.com/homedetails/332-Floral-Vw-Irvine-CA-92618/2082333228_zpid/,Condo for sale,"$725,000","1,489",CA,332 Floral Vw,2017,"$715,705",$487,92618
1,1,HuntingtonBeach,"1200 Pacific Coast Hwy APT 201, Huntington Beach, CA 92648",Condo,https://www.zillow.com/homedetails/1200-Pacific-Coast-Hwy-APT-201-Huntington-Beach-CA-92648/25767689_zpid/,Condo for sale,"$509,000",781,CA,1200 Pacific Coast Hwy APT 201,1987,"$499,020",$652,92648
1,1,SanDiego,"3929 Texas St UNIT 6, San Diego, CA 92104",Condo,https://www.zillow.com/homedetails/3929-Texas-St-UNIT-6-San-Diego-CA-92104/62824898_zpid/,Condo for sale,"$302,000",527,CA,3929 Texas St UNIT 6,1990,"$302,001",$573,92104
2,2,Ontario,"3706 Lytle Creek Loop APT D, Ontario, CA 91761",Condo,https://www.zillow.com/homedetails/3706-Lytle-Creek-Loop-APT-D-Ontario-CA-91761/17305533_zpid/,Condo for sale,"$230,000",743,CA,3706 Lytle Creek Loop APT D,1984,"$225,257",$310,91761
2,3,HuntingtonBeach,"4852 Cabana Dr APT 202, Huntington Beach, CA 92649",Condo,https://www.zillow.com/homedetails/4852-Cabana-Dr-APT-202-Huntington-Beach-CA-92649/25740474_zpid/,Condo for sale,"$345,000","1,272",CA,4852 Cabana Dr APT 202,1980,"$343,391",$271,92649
3,4,AlisoViejo,"11 El Caserio, Aliso Viejo, CA 92656",Condo,https://www.zillow.com/homedetails/11-El-Caserio-Aliso-Viejo-CA-92656/25742532_zpid/,Condo for sale,"$800,000","2,040",CA,11 El Caserio,1997,"$793,005",$392,92656
3,3,Covina,"580 E Cypress St, Covina, CA 91723",Condo,https://www.zillow.com/homedetails/580-E-Cypress-St-Covina-CA-91723/21547570_zpid/,Condo for sale,"$373,000","1,235",CA,580 E Cypress St,1981,"$373,002",$302,91723
8,4,LosAngeles,"1 W Century Dr PH 40, Los Angeles, CA 90067",Condo,https://www.zillow.com/homedetails/1-W-Century-Dr-PH-40-Los-Angeles-CA-90067/2083285221_zpid/,Condo for sale,"$35,000,000","9,290",CA,1 W Century Dr PH 40,2010,"$30,800,000","$3,767",90067
2,2,SantaAna,"521 S Lyon St UNIT 1, Santa Ana, CA 92701",Condo,https://www.zillow.com/homedetails/521-S-Lyon-St-UNIT-1-Santa-Ana-CA-92701/25716880_zpid/,Condo for sale,"$249,900","1,080",CA,521 S Lyon St UNIT 1,1964,"$249,721",$231,92701
2,2,LosAngeles,"4040 Grand View Blvd UNIT 82, Los Angeles, CA 90066",Condo,https://www.zillow.com/homedetails/4040-Grand-View-Blvd-UNIT-82-Los-Angeles-CA-90066/20446829_zpid/,Condo for sale,"$660,000",858,CA,4040 Grand View Blvd UNIT 82,1961,"$671,011",$769,90066
2,2,PalmSprings,"223 W Via Escuela, Palm Springs, CA 92262",Condo,https://www.zillow.com/homedetails/223-W-Via-Escuela-Palm-Springs-CA-92262/18023061_zpid/,Condo for sale,"$289,000","1,088",CA,223 W Via Escuela,1980,"$279,891",$266,92262
2,2,SanDiego,"6750 Beadnell Way UNIT 27, San Diego, CA 92117",Condo,https://www.zillow.com/homedetails/6750-Beadnell-Way-UNIT-27-San-Diego-CA-92117/64636760_zpid/,Condo for sale,"$349,900",883,CA,6750 Beadnell Way UNIT 27,1994,"$346,559",$396,92117
1,2,SanDiego,"7070 Fulton St, San Diego, CA 92111",Condo,https://www.zillow.com/homedetails/7070-Fulton-St-San-Diego-CA-92111/87792796_zpid/,Condo for sale,"$300,000",832,CA,7070 Fulton St,2008,"$261,879",$361,92111
1,2,SanFrancisco,"2785 Union St, San Francisco, CA 94123",Condo,https://www.zillow.com/homedetails/2785-Union-St-San-Francisco-CA-94123/116157748_zpid/,Condo for sale,"$995,000","1,266",CA,2785 Union St,1911,"$1,152,509",$786,94123
2,2,LosAngeles,"5620 Yolanda Ave APT 214, Los Angeles, CA 91356",Condo,https://www.zillow.com/homedetails/5620-Yolanda-Ave-APT-214-Los-Angeles-CA-91356/19937093_zpid/,Condo for sale,"$350,000",779,CA,5620 Yolanda Ave APT 214,1988,"$350,002",$449,91356
