Bath,Bed,City,Full_address,House_type,House_website,Listing_type,Lot,Lot_conversion_to_sqft,Price,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
2,3,RedondoBeach,"1525 Goodman Ave, Redondo Beach, CA 90278",Single Family,https://www.zillow.com/homedetails/1525-Goodman-Ave-Redondo-Beach-CA-90278/20412173_zpid/,House for sale,"2,509 sqft",2509.0,"$1,199,000","1,824",CA,1525 Goodman Ave,1982,"$1,199,959",$657,90278
3,4,SanJose,"1773 Michon Dr, San Jose, CA 95124",Single Family,https://www.zillow.com/homedetails/1773-Michon-Dr-San-Jose-CA-95124/19675761_zpid/,House for sale,"5,959 sqft",5959.0,"$1,288,000","1,928",CA,1773 Michon Dr,1965,"$1,327,359",$668,95124
2,3,WalnutCreek,"490 La Vista Rd, Walnut Creek, CA 94598",Single Family,https://www.zillow.com/homedetails/490-La-Vista-Rd-Walnut-Creek-CA-94598/18414492_zpid/,House for sale,0.63 acres,27442.8,"$895,000","1,974",CA,490 La Vista Rd,1941,"$951,730",$453,94598
1,2,Eureka,"2101 Spring St, Eureka, CA 95501",Single Family,https://www.zillow.com/homedetails/2101-Spring-St-Eureka-CA-95501/18815451_zpid/,House for sale,"3,484 sqft",3484.0,"$239,950",992,CA,2101 Spring St,1937,"$238,613",$242,95501
2,4,SanLorenzo,"789 Videll St, San Lorenzo, CA 94580",Single Family,https://www.zillow.com/homedetails/789-Videll-St-San-Lorenzo-CA-94580/24895140_zpid/,House for sale,"1,311 sqft",1311.0,"$625,000","1,313",CA,789 Videll St,1951,"$642,368",$476,94580
2,5,Modesto,"2238 Glendale Ave, Modesto, CA 95354",Single Family,https://www.zillow.com/homedetails/2238-Glendale-Ave-Modesto-CA-95354/16000639_zpid/,House for sale,"5,353 sqft",5353.0,"$289,900","1,769",CA,2238 Glendale Ave,1965,"$289,901",$164,95354
8,4,LaJolla,"6266 Camino De La Costa, La Jolla, CA 92037",Single Family,https://www.zillow.com/homedetails/6266-Camino-De-La-Costa-La-Jolla-CA-92037/16850614_zpid/,House for sale,1.03 acres,44866.8,"$16,900,000","6,338",CA,6266 Camino De La Costa,1970,"$14,735,954","$2,666",92037
6,5,Tarzana,"18938 Wells Dr, Tarzana, CA",Single Family,https://www.zillow.com/homedetails/18938-Wells-Dr-Tarzana-CA-91356/19947021_zpid/,New construction,0.42 acres,18295.2,"$2,999,999","5,800",CA,18938 Wells Dr,2019,"$2,927,147",$517,null
2,4,Berkeley,"1418 Bonita Ave, Berkeley, CA 94709",Single Family,https://www.zillow.com/homedetails/1418-Bonita-Ave-Berkeley-CA-94709/24840573_zpid/,House for sale,"8,102 sqft",8102.0,"$1,950,000","2,490",CA,1418 Bonita Ave,1892,"$2,282,379",$783,94709
2,3,Anaheim,"2553 W Glencrest Ave, Anaheim, CA 92801",Single Family,https://www.zillow.com/homedetails/2553-W-Glencrest-Ave-Anaheim-CA-92801/25154387_zpid/,House for sale,"6,002 sqft",6002.0,"$589,900","1,284",CA,2553 W Glencrest Ave,1954,"$590,936",$459,92801
10,6,BeverlyHills,"813 N Alpine Dr, Beverly Hills, CA 90210",Single Family,https://www.zillow.com/homedetails/813-N-Alpine-Dr-Beverly-Hills-CA-90210/20519817_zpid/,House for sale,0.51 acres,22215.600000000002,"$19,800,000","11,000",CA,813 N Alpine Dr,2012,"$17,538,737","$1,800",90210
2,4,BuenaPark,"7912 Poinsettia Dr, Buena Park, CA 90620",Single Family,https://www.zillow.com/homedetails/7912-Poinsettia-Dr-Buena-Park-CA-90620/25150346_zpid/,House for sale,"6,599 sqft",6599.0,"$589,900","1,552",CA,7912 Poinsettia Dr,1958,"$589,945",$380,90620
4,5,SantaClarita,"24216 Creekside Dr, Santa Clarita, CA 91321",Single Family,https://www.zillow.com/homedetails/24216-Creekside-Dr-Santa-Clarita-CA-91321/20205831_zpid/,House for sale,"10,419 sqft",10419.0,"$787,700","3,240",CA,24216 Creekside Dr,1983,"$787,700",$243,91321
2,2,SouthLakeTahoe,"2976 Oakland Ave, South Lake Tahoe, CA 96150",Single Family,https://www.zillow.com/homedetails/2976-Oakland-Ave-South-Lake-Tahoe-CA-96150/18576825_zpid/,House for sale,"6,098 sqft",6098.0,"$388,000","1,497",CA,2976 Oakland Ave,1976,"$378,602",$259,96150
