Bath,Bed,City,Full_address,House_type,House_website,Listing_type,Lot,Lot_conversion_to_sqft,Price,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
3,3,RanchoCucamonga,"7435 Solstice Pl, Rancho Cucamonga, CA",Townhouse,https://www.zillow.com/homedetails/7435-Solstice-Pl-Rancho-Cucamonga-CA-91739/2082390896_zpid/,New construction,No Data,58806.00000000001,"$508,190","1,851",CA,7435 Solstice Pl,2019,"$546,607",$275,null
4,3,MountainHouse,"1144 S Jacobs Dr, Mountain House, CA",Townhouse,https://www.zillow.com/homedetails/1144-S-Jacobs-Dr-Mountain-House-CA-95391/129891151_zpid/,New construction,"5,553 sqft",5553.0,"$749,000","3,101",CA,1144 S Jacobs Dr,2019,"$729,481",$242,null
3,3,Fremont,"40719 Penstemon Ter, Fremont, CA",null,https://www.zillow.com/community/boulevard-heights/2083487685_zpid/,New construction,null,null,"$1,016,990+","1,975",CA,40719 Penstemon Ter,null,None,null,null
4,4,Dublin,"Residence Four, Boulevard   Madison, Dublin, CA 94568",Townhouse,https://www.zillow.com/community/boulevard-madison/2087975425_zpid/,New construction,No Data,null,"$899,000+","2,128",CA,Residence Four Plan,2019,"$889,575",$422,94568
3,3,Carlsbad,"2815 Luciernaga St, Carlsbad, CA 92009",Townhouse,https://www.zillow.com/homedetails/2815-Luciernaga-St-Carlsbad-CA-92009/81959573_zpid/,Townhouse for sale,"10,153 sqft",10153.0,"$649,900","1,266",CA,2815 Luciernaga St,1978,"$642,735",$513,92009
3,3,Whittier,"13228 Cullen St APT B, Whittier, CA 90602",Townhouse,https://www.zillow.com/homedetails/13228-Cullen-St-APT-B-Whittier-CA-90602/21439590_zpid/,Townhouse for sale,0.78 acres,33976.8,"$515,000","1,559",CA,13228 Cullen St APT B,1987,"$515,003",$330,90602
2.5,2,Ontario,"Plan 2, Holiday at Emerald Park, Ontario, CA 91761",Townhouse,https://www.zillow.com/community/holiday-at-emerald-park/2084333453_zpid/,New construction,No Data,33976.8,"$357,400+","1,048",CA,Plan 2 Plan,2019,"$357,400",$341,91761
3,3,Fremont,"37321 Hatchling Ter, Fremont, CA", 3,https://www.zillow.com/community/renato/2094437510_zpid/,New construction, 0,33976.8,"$928,990+","1,774",CA,37321 Hatchling Ter, 3,None," 1,774 sqft",null
3,3,Oceanside,"Residence 3, Hideaway at St. Cloud, Oceanside, CA 92056",Townhouse,https://www.zillow.com/community/hideaway-at-st-cloud/2088487877_zpid/,New construction,No Data,33976.8,"$569,990+","1,685",CA,Residence 3 Plan,2019,"$543,750",$338,92056
3,3,Oceanside,"Residence 2, Lucero at Pacific Ridge, Oceanside, CA 92056",Townhouse,https://www.zillow.com/community/lucero-at-pacific-ridge/2087473466_zpid/,New construction,No Data,33976.8,"$496,990+","1,563",CA,Residence 2 Plan,2019,"$540,000",$318,92056
3,3,Rancho Mission Viejo,"Residence 1, Veranda at Esencia by MBK Homes, Rancho Mission Viejo, CA 92694",Townhouse,https://www.zillow.com/community/veranda-at-esencia-by-mbk-homes/2096844771_zpid/,New construction,No Data,33976.8,"$599,000+","1,681",CA,Residence 1 Plan,2019,"$804,300",$356,92694
4,3,Costa Mesa,"Residence A3, 17 West - The Gallery, Costa Mesa, CA 92627",Townhouse,https://www.zillow.com/community/17-west-gallery/2088909633_zpid/,New construction,No Data,33976.8,"$872,990+","2,051",CA,Residence A3 Plan,2019,"$866,927",$426,92627
4,4,Anaheim,"Mason 3, Lewis+Mason, Anaheim, CA 92805",Townhouse,https://www.zillow.com/community/lewis-mason/2090604958_zpid/,New construction,No Data,33976.8,"$757,705+","2,185",CA,Mason 3 Plan,2019,"$794,381",$347,92805
2.5,2,La Habra,"Plan 3, La Habra - Luna, La Habra, CA 90631",Townhouse,https://www.zillow.com/community/la-habra-luna/2087496884_zpid/,New construction,No Data,33976.8,"$529,990+","1,366",CA,Plan 3 Plan,2019,"$632,955",$388,90631
2.5,3,Buellton,"Plan 8, Vineyard Village, Buellton, CA 93427",Townhouse,https://www.zillow.com/community/vineyard-village/2097607795_zpid/,New construction,No Data,33976.8,"$598,000+","1,902",CA,Plan 8 Plan,2019,"$805,496",$314,93427
2.5,4,Simi Valley,"Plan Five, The Westerly, Simi Valley, CA 93065",Townhouse,https://www.zillow.com/community/westerly/2089228919_zpid/,New construction,No Data,33976.8,"$566,990+","1,990",CA,Plan Five Plan,2019,"$767,347",$285,93065
3,4,Scotts Valley,"Available for 900-922 (even addresses only), Pinnacle View Townhomes, Scotts Valley, CA 95066",Townhouse,https://www.zillow.com/community/pinnacle-view-townhomes/2085334666_zpid/,New construction,No Data,33976.8,"$979,000+","2,183",CA,Available for 900-922 (even addresses only) Plan,2019,"$971,506",$448,95066
